packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
ced8f10b0829,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0113,True
29082dd55674,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0063,True
3881b8859d4a,spielberg_FP1,speed_v2,schema_drift,detection,0.0067,False
fa6096951cc2,spielberg_FP1,heart_rate,null_value,detection,0.0049,True
2ec0a3c67085,spielberg_FP1,speed_new,schema_drift,detection,0.0013,False
04cb0c4d1a5f,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0036,True
481dae1d558e,spielberg_FP1,speed,bit_flip_low,detection,0.0037,True
a73222c64bf2,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0029,True
9bbc1fe20712,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0028,True
c6de71768187,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0024,False
ab8f063f884d,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.001,False
4e988367f7c5,spielberg_FP1,rpm,string_in_numeric,detection,0.0011,True
39d7b32013f0,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0009,True
461b3e80ae31,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0034,True
2f50d11e2b66,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0012,True
92122c9a3167,spielberg_FP1,speed,bit_flip_high,detection,0.0043,True
2c9b172433b6,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0013,True
b2c4d395bb43,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
d45e57432c88,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0015,True
90d5390b0264,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0037,True
b221592bb9df,spielberg_FP1,throttle,bit_flip_high,detection,0.0036,True
336368cd0e23,spielberg_FP1,speed,null_value,detection,0.001,True
504d9c675c68,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0008,True
986d3a8fbbaf,spielberg_FP1,speed_alt,schema_drift,detection,0.0013,False
d2f95d99b7b4,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0014,True
bc96301e0315,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0012,True
0ba691e65ac9,spielberg_FP1,tyre_pressure,null_value,detection,0.0008,True
f098c2612216,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0037,True
4554f0ebfa8c,spielberg_FP1,aero_load,null_value,detection,0.0007,True
a63e5db2b431,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0013,False
32864bdec664,spielberg_FP1,throttle,null_value,detection,0.0008,True
9dfd6c9c117d,spielberg_FP1,engine_temp,string_in_numeric,detection,0.001,True
aba6e4597fa3,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
be3e0e00eb45,spielberg_FP1,aero_load,sensor_dropout,detection,0.0009,True
a2db2cb00b40,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0012,False
0a05c40d68d7,spielberg_FP1,speed,bit_flip_low,detection,0.0035,True
9cd5e6a4bea5,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0015,False
c8e03e43b160,spielberg_FP1,aero_load,bit_flip_high,detection,0.0028,True
cece76c58522,spielberg_FP1,tyre_pressure,null_value,detection,0.0011,True
ab4d3e8f111c,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0026,True
607bdb3cf6ee,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0009,True
2bbf1e296337,spielberg_FP1,throttle,bit_flip_low,detection,0.0032,True
f423d72cbd1d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0012,True
8b165774a25b,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0033,True
812491f8cd1f,spielberg_FP1,speed,bit_flip_high,detection,0.0034,True
1cc09e770065,spielberg_FP1,speed,sensor_dropout,detection,0.001,True
30e2ce3cc8a9,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.001,True
438ce162fe0b,spielberg_FP1,aero_load,bit_flip_low,detection,0.0034,True
8d36a310825b,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0008,True
17bcc06da3fe,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0032,True
11f4be066570,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0014,False
695118bf8f67,spielberg_FP1,throttle_raw,schema_drift,detection,0.0012,False
9c5843c25a01,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.001,True
98f86c0acca3,spielberg_FP1,rpm_raw,schema_drift,detection,0.0012,False
383d0ae8e94a,spielberg_FP1,speed,duplicate_timestamp,detection,0.0011,True
5bd92f3ff1b1,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0033,True
94f893d6ba55,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0036,True
250450d1d28c,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0009,True
35d124bfc4c8,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0012,True
31870610d953,spielberg_FP1,rpm,bit_flip_low,detection,0.0041,True
b05b8aa8c601,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0008,True
752d201fc861,spielberg_FP1,speed,bit_flip_high,detection,0.0036,True
f606115c47c4,spielberg_FP1,speed,bit_flip_high,detection,0.0025,True
43a5f0d6d867,spielberg_FP1,throttle,null_value,detection,0.001,True
d66e6bb0e865,spielberg_FP1,throttle,bit_flip_high,detection,0.0037,True
f9e39428b589,spielberg_FP1,brake_temp,sensor_dropout,detection,0.001,True
06a225a173d9,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0015,True
154297cf8e29,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0011,True
8151a8408e14,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0014,False
aa0ef53b8932,spielberg_FP1,aero_load,null_value,detection,0.001,True
271a4784d860,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0009,True
b5017bc69fa8,spielberg_FP1,speed,null_value,detection,0.001,True
a7f987c90fb9,spielberg_FP1,g_force_lateral,null_value,detection,0.0009,True
b78b468452cd,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.001,False
26cd9c8d6a3c,spielberg_FP1,g_force_lateral,null_value,detection,0.001,True
4bf37d558923,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0017,True
116e21cd5561,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0013,True
76d29363edaa,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0011,True
64d442b5fecc,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0011,True
89380bc2e4a3,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0007,True
2d373fa8bdc2,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0034,True
8ff7d768d6fc,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0011,True
d457231724e6,spielberg_FP1,throttle,bit_flip_low,detection,0.0052,True
fcbfacc2d0da,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0011,True
64d629bf64b1,spielberg_FP1,aero_load_new,schema_drift,detection,0.0013,False
6fb4cb9d6371,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0011,True
50b082cef5d0,spielberg_FP1,engine_temp,null_value,detection,0.0008,True
0f830cc26eee,spielberg_FP1,rpm,bit_flip_low,detection,0.0033,True
a2d24948b7dd,spielberg_FP1,speed_canbus,schema_drift,detection,0.0013,False
eac500e22a03,spielberg_FP1,aero_load,bit_flip_low,detection,0.0034,True
1d54d6ef0743,spielberg_FP1,tyre_pressure,null_value,detection,0.0009,True
0944a555873b,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0033,True
ebe11b5c6c05,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0038,True
bb946ae97b9d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0012,True
c1ba9b081921,spielberg_FP1,throttle,sensor_dropout,detection,0.001,True
9a5a04968a15,spielberg_FP1,aero_load,sensor_dropout,detection,0.0012,True
fb3f4cec8515,spielberg_FP2,heart_rate,sensor_dropout,detection,0.0009,True
a7496e440722,spielberg_FP2,throttle,sensor_dropout,detection,0.0008,True
355e226bf31e,spielberg_FP2,throttle,sensor_dropout,detection,0.0008,True
f70a18b2d652,spielberg_FP2,tyre_pressure_canbus,schema_drift,detection,0.0015,False
8dc2d9ea37dd,spielberg_FP2,throttle,bit_flip_low,detection,0.0037,True
39f159611334,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0013,True
e488dba10fa8,spielberg_FP2,throttle_raw,schema_drift,detection,0.0014,False
7068b1a681e8,spielberg_FP2,heart_rate,null_value,detection,0.0009,True
e4a9df885246,spielberg_FP2,tyre_pressure,bit_flip_low,detection,0.0032,True
aaa74bba9a05,spielberg_FP2,speed,bit_flip_high,detection,0.0031,True
77afbb5c0d03,spielberg_FP2,heart_rate,bit_flip_high,detection,0.0037,True
a5b299377728,spielberg_FP2,ecu_canbus,bit_flip_high,detection,0.0027,True
442600440c00,spielberg_FP2,engine_temp,sensor_dropout,detection,0.0009,True
5d2bd5adafa0,spielberg_FP2,rpm,null_value,detection,0.0009,True
3bbe089dcb52,spielberg_FP2,speed,duplicate_timestamp,detection,0.001,True
a99576ee34d3,spielberg_FP2,ecu_canbus,null_value,detection,0.0008,True
f7f9f0ea3b5f,spielberg_FP2,tyre_pressure,bit_flip_high,detection,0.0052,True
064790cc9df3,spielberg_FP2,throttle,bit_flip_high,detection,0.0033,True
aa1dc659c6ea,spielberg_FP2,aero_load,sensor_dropout,detection,0.0008,True
2a9c9b497598,spielberg_FP2,tyre_pressure_alt,schema_drift,detection,0.0012,False
