packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
61d6d518c426,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0038,True
d4113f9fea96,spielberg_FP1,rpm,string_in_numeric,detection,0.002,True
13dd2e0fe8c2,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0033,True
9b681b6c70d1,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0038,True
a5be388ac1ed,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0032,True
da943250cb2e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0017,True
541c3e985da3,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0033,True
7ac3704c2dbe,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0018,True
6c9fa230107a,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.003,True
0d5ea6b0a41b,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0027,True
c69d503d0a0b,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0025,True
7029a1ce291a,spielberg_FP1,speed,duplicate_timestamp,detection,0.0033,True
e397066aee61,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0036,True
5019e4ded0bc,spielberg_FP1,rpm_new,schema_drift,detection,0.0037,True
796f16b85ad7,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0029,True
91be6e96dcd6,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0032,True
a06131f71085,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0027,True
576009859994,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0017,True
3560d482cada,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0027,True
bcc03b8120cc,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.003,True
f88d81ceafbd,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0047,True
bd874d70d830,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0028,True
e28c9f8594dc,spielberg_FP2,ecu_canbus,string_in_numeric,detection,0.002,True
29119655ec39,spielberg_FP2,speed,duplicate_timestamp,detection,0.0029,True
7caa94c50c83,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0024,True
bdcd59708bd3,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0032,True
1c0e4607c399,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0032,True
e9a4b6539ff5,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0025,True
4df16277b4c9,spielberg_FP2,rpm_alt,schema_drift,detection,0.0036,True
2e07c5c6c5f7,spielberg_FP2,engine_temp_new,schema_drift,detection,0.0035,True
b7e3cd509caa,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0027,True
c773e025d8f9,spielberg_FP2,rpm,duplicate_timestamp,detection,0.0028,True
4c4241211913,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0018,True
a1a4f1b870c5,spielberg_FP2,throttle_v2,schema_drift,detection,0.0032,True
1cfcf28a5357,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0026,True
106e1bd53edd,spielberg_FP2,heart_rate_canbus,schema_drift,detection,0.0037,True
528ca4260704,spielberg_FP2,ecu_canbus_raw,schema_drift,detection,0.0034,True
8aace52e4b63,spielberg_FP3,g_force_lateral_new,schema_drift,detection,0.0036,True
32d039670741,spielberg_FP3,rpm_v2,schema_drift,detection,0.0036,True
a9939d525691,spielberg_FP3,throttle,duplicate_timestamp,detection,0.0031,True
71ea8a052843,spielberg_FP3,speed,string_in_numeric,detection,0.0019,True
1f31f8ef67db,spielberg_FP3,throttle_raw,schema_drift,detection,0.0037,True
6333bee307a5,spielberg_FP3,rpm_canbus,schema_drift,detection,0.004,True
283104e6807a,spielberg_FP3,tyre_pressure_alt,schema_drift,detection,0.0033,True
c8cbb699a39d,spielberg_FP3,ecu_canbus,string_in_numeric,detection,0.002,True
104569ac1074,spielberg_FP3,heart_rate_alt,schema_drift,detection,0.0034,True
280bd06558f4,spielberg_FP3,aero_load_canbus,schema_drift,detection,0.0045,True
4d2b66cc1659,spielberg_FP3,ecu_canbus_new,schema_drift,detection,0.0094,True
35e09d0e24c6,spielberg_FP3,ecu_canbus,duplicate_timestamp,detection,0.0027,True
253f058416b3,spielberg_FP3,rpm,string_in_numeric,detection,0.0017,True
06da47fc190d,spielberg_FP3,brake_temp,duplicate_timestamp,detection,0.0027,True
969e33928958,spielberg_QUALI,heart_rate_canbus,schema_drift,detection,0.0041,True
d2e56c751871,spielberg_QUALI,tyre_pressure,string_in_numeric,detection,0.0019,True
61f42c221088,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.0028,True
13e55a545951,spielberg_QUALI,brake_temp,duplicate_timestamp,detection,0.0024,True
43faca8c535e,spielberg_QUALI,rpm,string_in_numeric,detection,0.0019,True
46351dfb2be6,spielberg_QUALI,brake_temp_raw,schema_drift,detection,0.0031,True
52821fd05e56,spielberg_QUALI,g_force_lateral_canbus,schema_drift,detection,0.0037,True
8c236d4c32a2,spielberg_QUALI,throttle,string_in_numeric,detection,0.002,True
5f935e1e136a,spielberg_QUALI,throttle,duplicate_timestamp,detection,0.0032,True
7b053de4a48d,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.0029,True
e6b90d72e645,spielberg_QUALI,speed,string_in_numeric,detection,0.0019,True
4302168c09ae,spielberg_QUALI,g_force_lateral,duplicate_timestamp,detection,0.0028,True
c2eef10f96f8,spielberg_RACE,aero_load,duplicate_timestamp,detection,0.0029,True
43ee32303d92,spielberg_RACE,engine_temp_canbus,schema_drift,detection,0.0034,True
2207f1b1a25e,spielberg_RACE,g_force_lateral_canbus,schema_drift,detection,0.0036,True
877bf980dde1,spielberg_RACE,speed_canbus,schema_drift,detection,0.0037,True
8f08de448327,spielberg_RACE,speed,string_in_numeric,detection,0.002,True
781d676075f0,spielberg_RACE,engine_temp,duplicate_timestamp,detection,0.0031,True
14a9589f1b1c,spielberg_RACE,heart_rate,string_in_numeric,detection,0.0019,True
e8a92a4c1d5d,spielberg_RACE,brake_temp_new,schema_drift,detection,0.0036,True
f1875711647d,spielberg_RACE,speed_raw,schema_drift,detection,0.0037,True
088997e52c08,spielberg_RACE,throttle,string_in_numeric,detection,0.0047,True
391004f3c758,spielberg_RACE,brake_temp,string_in_numeric,detection,0.0019,True
1e23de8b6853,spielberg_RACE,engine_temp_alt,schema_drift,detection,0.0035,True
369a5df8002d,spielberg_RACE,engine_temp,duplicate_timestamp,detection,0.0029,True
525dd1c46763,spielberg_RACE,g_force_lateral_alt,schema_drift,detection,0.0036,True
bb511de382b5,spielberg_RACE,ecu_canbus,duplicate_timestamp,detection,0.0031,True
ca6531b57f00,spielberg_RACE,ecu_canbus,duplicate_timestamp,detection,0.0026,True
76cc00556848,spielberg_RACE,brake_temp,duplicate_timestamp,detection,0.0032,True
fbafbd830be4,spielberg_RACE,heart_rate_canbus,schema_drift,detection,0.0036,True
3c167e453423,spielberg_RACE,heart_rate,duplicate_timestamp,detection,0.0026,True
12f48042fccd,spielberg_RACE,speed,duplicate_timestamp,detection,0.0029,True
799504d4d467,spielberg_RACE,speed,duplicate_timestamp,detection,0.0023,True
cff534d76bc2,spielberg_RACE,brake_temp,string_in_numeric,detection,0.0018,True
dd03655e755d,spielberg_RACE,engine_temp,duplicate_timestamp,detection,0.0032,True
3cd4e3b99ee0,silverstone_FP1,heart_rate_canbus,schema_drift,detection,0.0036,True
67fe7b0c21f1,silverstone_FP1,engine_temp,string_in_numeric,detection,0.002,True
b4057a547a79,silverstone_FP1,rpm,duplicate_timestamp,detection,0.0029,True
dda50502da2a,silverstone_FP1,aero_load,string_in_numeric,detection,0.0019,True
1470ab91846c,silverstone_FP1,aero_load,string_in_numeric,detection,0.0021,True
f801ff70b746,silverstone_FP1,throttle,string_in_numeric,detection,0.002,True
fa971c72c885,silverstone_FP1,brake_temp,string_in_numeric,detection,0.0017,True
07779cf31c53,silverstone_FP1,rpm,duplicate_timestamp,detection,0.0028,True
7b450abeb7a1,silverstone_FP1,tyre_pressure_v2,schema_drift,detection,0.0033,True
fec4cd966c44,silverstone_FP1,speed,string_in_numeric,detection,0.0016,True
e271e3b281fd,silverstone_FP1,brake_temp,duplicate_timestamp,detection,0.003,True
eb4a3e3b5d71,silverstone_FP1,engine_temp_canbus,schema_drift,detection,0.0036,True
7ebc0c0e9c20,silverstone_FP1,engine_temp_v2,schema_drift,detection,0.0035,True
1e419e0b9a93,silverstone_FP1,speed,string_in_numeric,detection,0.0018,True
6ec662e47830,silverstone_FP1,aero_load,string_in_numeric,detection,0.0022,True
acecfea09e94,silverstone_FP1,aero_load_v2,schema_drift,detection,0.0036,True
a6b728406764,silverstone_FP1,ecu_canbus,string_in_numeric,detection,0.0018,True
3ebe7793f866,silverstone_FP1,rpm_canbus,schema_drift,detection,0.0038,True
57f154fcfb9f,silverstone_FP1,heart_rate,string_in_numeric,detection,0.002,True
d242d5848457,silverstone_FP2,tyre_pressure_v2,schema_drift,detection,0.0039,True
6cd9380eb22b,silverstone_FP2,speed,string_in_numeric,detection,0.0018,True
e58ecc277680,silverstone_FP2,speed_new,schema_drift,detection,0.0035,True
69d1e7ff3597,silverstone_FP2,throttle,string_in_numeric,detection,0.0019,True
2323b76b9d8e,silverstone_FP2,rpm,duplicate_timestamp,detection,0.0029,True
e21e03502605,silverstone_FP2,ecu_canbus,string_in_numeric,detection,0.0017,True
5e9ca7789017,silverstone_FP2,throttle,string_in_numeric,detection,0.0018,True
ea01320a56ea,silverstone_FP2,g_force_lateral,duplicate_timestamp,detection,0.0028,True
e193cd976fbb,silverstone_FP2,speed,string_in_numeric,detection,0.002,True
3979f0760256,silverstone_FP2,speed,string_in_numeric,detection,0.0018,True
04af511fa403,silverstone_FP2,tyre_pressure_canbus,schema_drift,detection,0.0035,True
caafb3f473c1,silverstone_FP2,speed,duplicate_timestamp,detection,0.0028,True
c1f0c8646f61,silverstone_FP2,rpm_canbus,schema_drift,detection,0.0037,True
