packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
6e6b9017833d,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0011,False
2acc119d8046,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0012,True
c5611f4df7ca,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0011,True
70dedd8d27cf,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0011,True
8212dca400c1,spielberg_FP3,engine_temp,string_in_numeric,detection,0.0013,True
c437b6fe7d06,spielberg_FP3,ecu_canbus_raw,schema_drift,detection,0.0012,False
b18f82344a6d,spielberg_FP3,rpm_canbus,schema_drift,detection,0.0015,False
b58b4211ad48,spielberg_FP3,engine_temp,string_in_numeric,detection,0.0011,True
d786fdcde12e,spielberg_FP3,ecu_canbus,duplicate_timestamp,detection,0.001,True
c16abd9d8e1c,spielberg_QUALI,tyre_pressure,duplicate_timestamp,detection,0.001,True
56bfd9847c26,spielberg_QUALI,ecu_canbus,string_in_numeric,detection,0.0016,True
3a6c356627ac,spielberg_QUALI,heart_rate_raw,schema_drift,detection,0.0014,False
e161edce4c2b,spielberg_RACE,brake_temp,string_in_numeric,detection,0.0018,True
3ce57cf14ccd,spielberg_RACE,engine_temp_v2,schema_drift,detection,0.0011,False
e480e20681bc,spielberg_RACE,aero_load,string_in_numeric,detection,0.0012,True
9461b3713108,spielberg_RACE,speed_alt,schema_drift,detection,0.0012,False
f1d7dda25fa2,silverstone_FP2,brake_temp,duplicate_timestamp,detection,0.0012,True
064b1e2ecbcd,silverstone_FP2,heart_rate_canbus,schema_drift,detection,0.0016,False
02c924f07ddb,silverstone_FP3,brake_temp,duplicate_timestamp,detection,0.0011,True
2c9c1de40501,silverstone_RACE,aero_load,duplicate_timestamp,detection,0.001,True
f19e5745a262,silverstone_RACE,engine_temp,string_in_numeric,detection,0.0013,True
852c7fb677eb,silverstone_RACE,throttle_alt,schema_drift,detection,0.0013,False
5f857692405d,silverstone_RACE,heart_rate_canbus,schema_drift,detection,0.0017,False
04f919e201a7,silverstone_RACE,tyre_pressure,duplicate_timestamp,detection,0.0012,True
1e45d4cf6b4c,budapest_FP2,heart_rate_canbus,schema_drift,detection,0.0015,False
5d587257ff65,budapest_FP2,throttle_alt,schema_drift,detection,0.0018,False
10d45615567d,budapest_FP2,ecu_canbus,string_in_numeric,detection,0.0012,True
f09f8c50b484,budapest_FP3,speed,duplicate_timestamp,detection,0.0011,True
5b9a1f11680a,budapest_QUALI,ecu_canbus_alt,schema_drift,detection,0.0013,False
e51a288311a6,budapest_RACE,heart_rate,string_in_numeric,detection,0.0013,True
71c825003ffa,budapest_RACE,ecu_canbus_v2,schema_drift,detection,0.0013,False
2acc119d8046,,,dlq_repair,repair,0.033,True
70dedd8d27cf,,,dlq_repair,repair,0.0504,False
8212dca400c1,,,dlq_repair,repair,0.0113,True
b58b4211ad48,,,dlq_repair,repair,0.0097,True
d786fdcde12e,,,dlq_repair,repair,0.0208,True
56bfd9847c26,,,dlq_repair,repair,0.0055,True
e161edce4c2b,,,dlq_repair,repair,0.0103,True
f1d7dda25fa2,,,dlq_repair,repair,0.0182,False
02c924f07ddb,,,dlq_repair,repair,0.0116,False
f19e5745a262,,,dlq_repair,repair,0.0043,True
10d45615567d,,,dlq_repair,repair,0.0142,True
c5611f4df7ca,,,dlq_repair,repair,0.0127,True
c16abd9d8e1c,,,dlq_repair,repair,0.0101,True
e480e20681bc,,,dlq_repair,repair,0.0041,True
2c9c1de40501,,,dlq_repair,repair,0.0137,True
04f919e201a7,,,dlq_repair,repair,0.0115,True
f09f8c50b484,,,dlq_repair,repair,0.0155,True
e51a288311a6,,,dlq_repair,repair,0.0029,True
