packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
363c05751822,spielberg_FP2,engine_temp_raw,schema_drift,detection,0.0011,False
06344c57a0c8,spielberg_QUALI,g_force_lateral,duplicate_timestamp,detection,0.0013,True
9037e78707e4,spielberg_QUALI,ecu_canbus,duplicate_timestamp,detection,0.0012,True
d97b03840ac8,spielberg_RACE,brake_temp,string_in_numeric,detection,0.0014,True
520a94fd5e88,spielberg_RACE,ecu_canbus,string_in_numeric,detection,0.0012,True
cdcab9500e26,silverstone_FP1,rpm,duplicate_timestamp,detection,0.0011,True
41c642e66603,silverstone_FP2,speed,duplicate_timestamp,detection,0.0025,True
fdc6ed5dc59d,silverstone_FP3,engine_temp,string_in_numeric,detection,0.0012,True
db4d60d55eee,silverstone_FP3,rpm,string_in_numeric,detection,0.0013,True
6aef4774b99e,silverstone_QUALI,g_force_lateral,string_in_numeric,detection,0.0016,True
2229c18eb439,silverstone_RACE,speed,string_in_numeric,detection,0.0011,True
2a44f51e861a,silverstone_RACE,throttle_raw,schema_drift,detection,0.0015,False
5aa859b4443d,silverstone_RACE,tyre_pressure,duplicate_timestamp,detection,0.0013,True
4d6f2fcaa6cb,silverstone_RACE,heart_rate,duplicate_timestamp,detection,0.0011,True
0e8cc3b10c83,budapest_FP1,speed,duplicate_timestamp,detection,0.0012,True
c6552ca849ec,budapest_FP1,ecu_canbus,string_in_numeric,detection,0.0012,True
b420fcd23c28,budapest_FP2,brake_temp,string_in_numeric,detection,0.0013,True
3c9e86496d24,budapest_FP2,tyre_pressure,string_in_numeric,detection,0.0024,True
0ddf5c4238f6,budapest_QUALI,rpm,duplicate_timestamp,detection,0.0011,True
019f5b898513,budapest_QUALI,rpm,duplicate_timestamp,detection,0.0012,True
88fc4c984f85,budapest_RACE,brake_temp_canbus,schema_drift,detection,0.0015,False
34832934b3aa,budapest_RACE,throttle,duplicate_timestamp,detection,0.0012,True
9834347c16c2,budapest_RACE,tyre_pressure,duplicate_timestamp,detection,0.0011,True
9037e78707e4,,,dlq_repair,repair,0.041,True
d97b03840ac8,,,dlq_repair,repair,0.0957,False
520a94fd5e88,,,dlq_repair,repair,0.0504,True
fdc6ed5dc59d,,,dlq_repair,repair,0.0394,True
c6552ca849ec,,,dlq_repair,repair,0.0349,True
b420fcd23c28,,,dlq_repair,repair,0.0683,False
06344c57a0c8,,,dlq_repair,repair,0.082,True
cdcab9500e26,,,dlq_repair,repair,0.0479,True
41c642e66603,,,dlq_repair,repair,0.0431,True
db4d60d55eee,,,dlq_repair,repair,0.0273,True
6aef4774b99e,,,dlq_repair,repair,0.0513,False
2229c18eb439,,,dlq_repair,repair,0.0325,True
5aa859b4443d,,,dlq_repair,repair,0.0523,True
4d6f2fcaa6cb,,,dlq_repair,repair,0.0658,True
0e8cc3b10c83,,,dlq_repair,repair,0.0569,True
3c9e86496d24,,,dlq_repair,repair,0.0518,False
0ddf5c4238f6,,,dlq_repair,repair,0.0403,True
019f5b898513,,,dlq_repair,repair,0.0321,True
34832934b3aa,,,dlq_repair,repair,0.0588,True
9834347c16c2,,,dlq_repair,repair,0.037,True
