packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
e1166f178fb9,spielberg_FP1,brake_temp,bit_flip_high,detection,0.011,True
808c2df484f9,spielberg_FP1,throttle_raw,schema_drift,detection,0.0078,False
449a1af9fc59,spielberg_FP1,speed,string_in_numeric,detection,0.0038,True
60803323b198,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0032,True
ba00c5f7c5a7,spielberg_FP1,speed_canbus,schema_drift,detection,0.0038,False
2c9e004f174f,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0054,True
f02988f2b157,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0016,False
5c749acf9bc3,spielberg_FP1,aero_load,sensor_dropout,detection,0.0009,True
5463aa347321,spielberg_FP1,aero_load,sensor_dropout,detection,0.0015,True
45b248f5df34,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0045,True
df836fdcf1b2,spielberg_FP1,rpm_alt,schema_drift,detection,0.0018,False
fd52483c2b8d,spielberg_FP1,brake_temp,null_value,detection,0.0016,True
54db3d98ec03,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0053,True
693ddb202e62,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0012,True
0763f69f2ec0,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0027,False
2874551619a1,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0017,True
bf55a90dbe28,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0009,True
f9eb33d5a9d9,spielberg_FP1,throttle,string_in_numeric,detection,0.0018,True
0bf9b74e4b06,spielberg_FP1,speed,duplicate_timestamp,detection,0.0015,True
c3f08d546c5f,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0016,False
ab0fb0b9b947,spielberg_FP1,throttle,null_value,detection,0.0014,True
232359ae95ad,spielberg_FP1,rpm,bit_flip_low,detection,0.0041,True
ffd67774c2e1,spielberg_FP1,throttle,bit_flip_low,detection,0.0032,True
336f215b6306,spielberg_FP1,speed,null_value,detection,0.0009,True
7781da28abc8,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0064,True
c45d2a8d7e8d,spielberg_FP1,rpm,string_in_numeric,detection,0.0012,True
ced75be29dbc,spielberg_FP1,ecu_canbus,null_value,detection,0.0009,True
97a0bcbf2e58,spielberg_FP1,aero_load,null_value,detection,0.0008,True
3bc6b537b618,spielberg_FP1,throttle,sensor_dropout,detection,0.0009,True
e841fb4dc44c,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0013,True
ca2a35e8ec28,spielberg_FP1,aero_load,bit_flip_high,detection,0.0051,True
395fc27ae801,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.001,True
