packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
6332c091f323,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0013,False
2957c784ded4,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0011,False
72ed2a917d5d,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0013,False
4f5a3763feb6,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0013,False
49d400809c17,spielberg_FP1,rpm,string_in_numeric,detection,0.0012,True
327d8730bb1d,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0019,True
a1a58accedb8,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0012,True
2f97a19420d8,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0011,True
a534c030a81a,spielberg_FP1,speed_alt,schema_drift,detection,0.0041,False
a108209826a3,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0013,True
bc200468f603,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0016,True
efd682355313,spielberg_FP1,rpm,string_in_numeric,detection,0.0015,True
726a89c99e68,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0016,False
69491e989825,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0029,True
cdf111280905,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0011,True
b020ac30dfa6,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.001,True
49f14290b6bc,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0017,False
97a047593418,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0013,True
2547e6830abc,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0012,True
420a8cafd140,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0018,True
f72c975a4209,spielberg_FP1,rpm,string_in_numeric,detection,0.0012,True
77c56edbc65f,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0012,True
e3d01bcaf4cf,spielberg_FP1,aero_load,string_in_numeric,detection,0.0013,True
a2090fb96503,spielberg_FP1,rpm,duplicate_timestamp,detection,0.001,True
ffad36857894,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0011,False
3cb622829f02,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0011,True
019f36c7c778,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0014,False
8c8999cee2ed,spielberg_FP1,speed,duplicate_timestamp,detection,0.0011,True
ff973cbecfac,spielberg_FP1,throttle_new,schema_drift,detection,0.0013,False
