packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
0a3d97fb88c2,spielberg_FP1,speed,duplicate_timestamp,detection,0.0014,True
5460d6a69681,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0014,True
ebe921d0985c,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0015,False
6e54329ef562,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0011,False
1015c6da9fd3,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0011,True
ae8e1c9a727f,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0017,True
5bd5b457df5d,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0012,False
76d4fa2f629f,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0011,True
a9baec4890b9,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0013,True
3891a855029f,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0012,True
6d0c71e1c0b1,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0014,True
01060c1a74d4,spielberg_FP1,speed,duplicate_timestamp,detection,0.0011,True
866a21b52c52,spielberg_FP1,throttle,string_in_numeric,detection,0.0013,True
6cfc83b166a9,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0012,True
c2a270c323de,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
2aa63c2e7e41,spielberg_FP1,rpm,string_in_numeric,detection,0.0014,True
3406a17007ad,spielberg_FP1,aero_load,string_in_numeric,detection,0.0013,True
caca76f74db2,spielberg_FP1,throttle,string_in_numeric,detection,0.0012,True
51c86dd34934,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0011,False
2de0e511fc71,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0016,False
be848d03db4e,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0014,False
9d4c3cbe9ccc,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0015,False
56a3ca5ca770,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0013,False
45ab3df9a52c,spielberg_FP1,rpm_new,schema_drift,detection,0.0014,False
407c0d8e63c8,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0011,True
4ce03bcc34ba,spielberg_FP1,throttle,string_in_numeric,detection,0.0011,True
ee57c52c310e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0012,True
6c877a13cad0,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0013,True
f016b5076d96,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0012,False
002d3d92ac14,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0013,False
fa4c7becb001,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0021,False
08989592057c,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0013,True
6d69589c5b7f,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0014,True
96da920d9f04,spielberg_FP1,rpm,string_in_numeric,detection,0.0013,True
23027fb1788b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0011,True
4c5e9fe3be35,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0022,True
77bba7557b10,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0011,True
8ec66287ed45,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0014,True
30e685a12ecd,spielberg_FP1,throttle,duplicate_timestamp,detection,0.001,True
8558078d6469,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0012,True
22a483392125,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0018,False
8a44f7a16a14,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0013,False
d925b2a82a1d,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0012,True
340f0751d3c2,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0011,True
23aafbb02e05,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0012,True
6600fc4be8ba,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0012,True
ffdf7e32865e,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0012,True
8618c1373e93,spielberg_FP1,aero_load,string_in_numeric,detection,0.0013,True
a1e277e9bbf1,spielberg_FP1,speed_alt,schema_drift,detection,0.0012,False
f9709afaed72,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0011,False
cd8b45aaecd1,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0012,True
60f0b93e4a90,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
e4f479bfe94e,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0012,True
f00cd3b971d9,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0016,True
3d1f41e95977,spielberg_FP1,speed,duplicate_timestamp,detection,0.0011,True
79e9cbba5755,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0012,False
51e32a9ebeb1,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0011,True
711167949abe,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0011,False
966b73f4d9f7,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0011,True
