packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
1be276041f9a,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0012,True
47c10ab9b969,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0015,False
1a649c8ffaba,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0012,True
44c0f0d17c22,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0011,True
b3595cc60adb,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0014,False
cca0c13d2907,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0011,True
fe856173f196,spielberg_FP1,rpm,string_in_numeric,detection,0.0012,True
0091eb8303e5,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0011,True
802be8cc67e9,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0012,True
8f62a69c67c7,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0013,True
d8a4fc35ee2a,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.001,True
632361aeabe0,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0013,True
b22150da0da2,spielberg_FP1,throttle,string_in_numeric,detection,0.0015,True
72f88fe9fa27,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0012,True
219f923a8823,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0016,True
c4097cf284a0,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0014,False
e0151107be7e,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0013,True
4e9521b12452,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
9ddfbada4e9c,spielberg_FP1,speed,string_in_numeric,detection,0.0011,True
0abbde419f8c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0012,True
77012ed63a51,spielberg_FP1,rpm,string_in_numeric,detection,0.0012,True
49f36198a4ef,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0016,True
690a5b182d5e,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0011,True
11074c477c49,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0013,False
2fcf4c5cf775,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0012,True
f097dff0fa37,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.001,False
b79b4e071425,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0013,False
9e7c02a0d2f1,spielberg_FP1,aero_load,string_in_numeric,detection,0.0013,True
6d0bd18674f1,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0013,False
3ec5fe1615c9,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0012,True
9989aae2c195,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0012,True
d2a924eab870,spielberg_FP1,rpm_new,schema_drift,detection,0.0013,False
e446faa788a8,spielberg_FP1,rpm_new,schema_drift,detection,0.0014,False
5d66b4e074a8,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0016,False
3c11edadd67f,spielberg_FP1,rpm,string_in_numeric,detection,0.0012,True
2aa9a1aa3d68,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0013,False
6ffa11f64cab,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0015,True
0bf631acfbaa,spielberg_FP1,aero_load,string_in_numeric,detection,0.0016,True
00e4a1ebbc67,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0012,True
0617672858e4,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0012,True
62c06083ec78,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0015,True
7957dbdbb138,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
5bdf99b4d174,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0012,False
19a8e6ae1eb1,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0014,False
48f0703d2dff,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0012,True
5f5e2eb0e313,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.001,True
1abf455707ef,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0015,False
344bb5587e2b,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0012,True
7c018f4f70f4,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0014,True
4936612764f9,spielberg_FP1,throttle_new,schema_drift,detection,0.0014,False
fde166d52eb1,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0012,True
46ce06cd3425,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0012,True
894ff8d6279b,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0019,True
ee212e4ea236,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0013,True
6b627c661ea4,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0026,False
0aa6e9fa84a5,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0011,True
9c95b72717af,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0014,True
50d378d86051,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0012,True
21f6e723e22b,spielberg_FP1,speed_raw,schema_drift,detection,0.0013,False
ef4c5a7a6fe5,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0018,True
39dc8b0263f6,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0012,True
ad2d38e3f83b,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0012,False
cddbc75dc09c,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0013,True
3893b495b631,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0019,False
828a5f75a43f,spielberg_FP1,throttle_raw,schema_drift,detection,0.0015,False
d1557aa3f4b4,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
9c2edee98dd5,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0011,True
8379c07d6771,spielberg_FP1,throttle,string_in_numeric,detection,0.0011,True
d82bc1700f6d,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0012,False
02d0690bfcc5,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0014,True
326b7af0e72d,spielberg_FP1,throttle,string_in_numeric,detection,0.0013,True
7bf814be7ab6,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0013,True
7ea081699bb5,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0012,False
7331befc893e,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0012,True
ca948c4c483d,spielberg_FP1,rpm_v2,schema_drift,detection,0.0014,False
f3791a9a236b,spielberg_FP1,speed_canbus,schema_drift,detection,0.0021,False
936a1ab3c003,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0011,True
6ae24ee6155d,spielberg_FP1,speed,duplicate_timestamp,detection,0.0013,True
6ebdf1d9b211,spielberg_FP1,rpm,string_in_numeric,detection,0.0012,True
e26ee3ef1ec4,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0012,False
b1190a678017,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0014,False
b9c2dcaf83b6,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0013,True
2a24e8ea4436,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.001,True
