packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
fad981aecfa7,spielberg_FP1,rpm_new,schema_drift,detection,0.0041,True
136eee71e691,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0019,True
001fd8d9a107,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.002,True
b890aef5d6d8,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0033,True
200a87f4a5d2,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0029,True
e91babe5cb21,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.002,True
9f7a9ec13af7,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0035,True
c96ac22c1fce,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0027,True
30b3cad4b691,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0034,True
e51035b90ee3,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0031,True
f553f904c519,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.003,True
a7e410ed5b68,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0033,True
808582c9fa0b,spielberg_FP1,rpm,duplicate_timestamp,detection,0.003,True
c13b08957072,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0032,True
a7432ff2766e,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0039,True
ad6e5c891c7b,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0021,True
5ef90cbf6338,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0049,True
a2b145022745,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0032,True
83b09d4917ab,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0033,True
974937122093,spielberg_FP1,speed,string_in_numeric,detection,0.0021,True
107967a00112,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0037,True
09ade62fd63d,spielberg_FP1,throttle,string_in_numeric,detection,0.0019,True
23fbd01d9019,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0019,True
65cea41cccc1,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0024,True
f55a62c51478,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0032,True
f5baf926cb69,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0035,True
cd3a936f9df8,spielberg_FP1,speed_new,schema_drift,detection,0.0036,True
f04f005702dc,spielberg_FP1,throttle,string_in_numeric,detection,0.0017,True
0818563312a0,spielberg_FP1,speed_v2,schema_drift,detection,0.004,True
a77aa563e20a,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0039,True
ddaedeba03e9,spielberg_FP1,throttle,string_in_numeric,detection,0.002,True
8dafc984149f,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0024,True
6ae98039f7bc,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0039,True
28409439cd9c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0033,True
5c2140211463,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0033,True
934cf0885d2d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.003,True
53d8c1f4442e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0019,True
573fe7d4cabd,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0032,True
c237660aeac2,spielberg_FP1,aero_load,string_in_numeric,detection,0.0024,True
13f21641dd6a,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0045,True
35e05014ee01,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0032,True
8e0360b28eb2,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0036,True
e395c7e78dcd,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0031,True
35666b7e9c10,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0032,True
791bce392fb1,spielberg_FP1,throttle_raw,schema_drift,detection,0.0038,True
0b06ee192048,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0021,True
2dd6366d4edf,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0019,True
14b12fc55cda,spielberg_FP1,rpm_raw,schema_drift,detection,0.0038,True
ea70b1a2a36a,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0032,True
481fd5656130,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0046,True
acb17d000a06,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0035,True
ca46dbc11404,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0033,True
2f6f210c1e9b,spielberg_FP1,throttle,string_in_numeric,detection,0.0019,True
4d26bb059fde,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0042,True
5a92664a4d61,spielberg_FP1,rpm,string_in_numeric,detection,0.0017,True
7f0381610601,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0036,True
682b7dba29cb,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0032,True
b981fcb15bd3,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0035,True
f54bea26164a,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.003,True
f9b9dbd15d29,spielberg_FP1,engine_temp,string_in_numeric,detection,0.002,True
a4b5a1f7cbbe,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0041,True
2c60f3a55170,spielberg_FP1,rpm_v2,schema_drift,detection,0.004,True
f46bc597ab9a,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0021,True
9e4b1f6b1b9d,spielberg_FP1,throttle,string_in_numeric,detection,0.0018,True
e06aafc1279c,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0043,True
2104d2263732,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0037,True
080687101e42,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0019,True
91d1c1e4cfb4,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.002,True
70aa207486c2,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0036,True
bfc32e4fe0dd,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0032,True
e5c9dff87217,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0035,True
45c4af03c9eb,spielberg_FP1,throttle_new,schema_drift,detection,0.0038,True
eeea9ac2bea7,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0041,True
5cb0ff808bb9,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0031,True
db72f3b5c918,spielberg_FP1,rpm_raw,schema_drift,detection,0.0037,True
de0c4ca4a269,spielberg_FP1,heart_rate,string_in_numeric,detection,0.002,True
8867512d2aa2,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0019,True
edc4b16e12c6,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.002,True
5d995e8a5fee,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0019,True
42224e54ef1b,spielberg_FP1,speed,string_in_numeric,detection,0.0018,True
7bf5b9ada43e,spielberg_FP1,rpm_new,schema_drift,detection,0.0038,True
24acfa46648f,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0022,True
123012e1b53c,spielberg_FP1,throttle,string_in_numeric,detection,0.0019,True
3c2af74070ad,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.003,True
364c58d8c93b,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0033,True
3af2b89f1142,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0039,True
deddac15b084,spielberg_FP1,rpm_v2,schema_drift,detection,0.0037,True
a4023f49ba29,spielberg_FP1,speed,string_in_numeric,detection,0.0022,True
c46c44a6f241,spielberg_FP1,engine_temp,string_in_numeric,detection,0.002,True
38900a5495d6,spielberg_FP1,speed,string_in_numeric,detection,0.002,True
5dacc69e76ad,spielberg_FP1,speed,duplicate_timestamp,detection,0.0032,True
0afb24fb59de,spielberg_FP1,rpm,duplicate_timestamp,detection,0.003,True
65339cabef23,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0027,True
4eba2696c5a5,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0035,True
97f120816ecf,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0021,True
