packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
e3d3940d6c99,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0009,False
56d8915c33f2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0008,False
b75162b402b0,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0007,False
3890452c74dc,spielberg_FP1,throttle_new,schema_drift,detection,0.0012,False
09d404a459a9,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0009,True
2aaad350f029,spielberg_FP1,throttle,bit_flip_high,detection,0.0038,True
183525a82a4b,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0012,False
2273dff127f8,spielberg_FP1,aero_load,string_in_numeric,detection,0.0008,True
1ebfd050bb1d,spielberg_FP1,heart_rate,null_value,detection,0.0006,True
c8a4718788a1,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.002,True
b70c709c493b,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0017,True
776cb40575a1,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0018,True
22ebba9c727a,spielberg_FP1,rpm,string_in_numeric,detection,0.0009,True
5ad7c47acd72,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0008,False
fcc0979e713b,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0012,False
3899e57b4221,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0007,True
f22b9d241a48,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0005,True
fb969353a7ee,spielberg_FP1,speed,bit_flip_high,detection,0.0022,True
ff0e4167b8b6,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0019,True
b66a954c0b6d,spielberg_FP1,throttle,string_in_numeric,detection,0.0007,True
4795d3ecfeef,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0005,True
6c915ee8ab3c,spielberg_FP1,aero_load,bit_flip_low,detection,0.0018,True
ef26fad5e8f1,spielberg_FP1,rpm,sensor_dropout,detection,0.0006,True
9d603f1cf4af,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0012,False
6453dac17ee8,spielberg_FP1,throttle,sensor_dropout,detection,0.0005,True
88eeb0d0e72c,spielberg_FP1,speed,bit_flip_low,detection,0.0018,True
075512db15df,spielberg_FP1,rpm_alt,schema_drift,detection,0.0011,False
40838c39867d,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0018,True
fe3f328838be,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0015,True
b78cd5db1a4c,spielberg_FP1,aero_load,null_value,detection,0.0007,True
c74bcbd7cac2,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.001,False
0efc734e8808,spielberg_FP1,speed_raw,schema_drift,detection,0.0008,False
06b5339dfab0,spielberg_FP1,aero_load,null_value,detection,0.0004,True
f9d8c7e9a7a3,spielberg_FP1,speed_new,schema_drift,detection,0.001,False
48123a375943,spielberg_FP1,brake_temp,null_value,detection,0.0008,True
b1923d03d620,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0006,False
cc9eb1e3a534,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0006,False
c0a310b10db4,spielberg_FP1,speed,sensor_dropout,detection,0.0005,True
eed2599f437a,spielberg_FP1,speed_new,schema_drift,detection,0.001,False
14e66a6a985b,spielberg_FP1,rpm,sensor_dropout,detection,0.0005,True
f3085137c7f8,spielberg_FP1,throttle_alt,schema_drift,detection,0.0011,False
c05ced6a7e37,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0009,False
c01c22d7c004,spielberg_FP1,throttle,bit_flip_high,detection,0.0026,True
2b6acd621a31,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0007,False
098bb647acdf,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0017,True
0fe0d555e41d,spielberg_FP1,aero_load,sensor_dropout,detection,0.0006,True
7da3b226bc53,spielberg_FP1,brake_temp,null_value,detection,0.0005,True
e467951e8911,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0007,False
1ff0d87b92a3,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0007,True
cdeacb86bdba,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0014,False
8fd4eccd818f,spielberg_FP1,brake_temp,null_value,detection,0.0007,True
c780b08227ee,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0011,False
a9f3fc1099f5,spielberg_FP1,brake_temp,null_value,detection,0.0004,True
0c33ddcce336,spielberg_FP1,throttle,bit_flip_low,detection,0.0021,True
4a8d838c8917,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0006,True
ecaa5ff51660,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0019,True
98b84eb570c6,spielberg_FP1,throttle,null_value,detection,0.0004,True
ba33b9deb983,spielberg_FP1,speed,bit_flip_high,detection,0.0018,True
