packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
53d614263c93,spielberg_FP2,throttle,string_in_numeric,detection,0.002,True
1bed2b69c2d9,spielberg_FP2,aero_load_canbus,schema_drift,detection,0.0039,True
3ba15a0c16d0,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0018,True
f51cdecf26e1,spielberg_QUALI,speed,string_in_numeric,detection,0.0018,True
3cf0fd6ec261,spielberg_RACE,throttle_raw,schema_drift,detection,0.0038,True
995145aa4e2b,silverstone_FP1,throttle_v2,schema_drift,detection,0.0036,True
baac91be3f7b,silverstone_FP2,g_force_lateral,duplicate_timestamp,detection,0.0034,True
778dfeef6c68,silverstone_FP2,throttle_raw,schema_drift,detection,0.0037,True
f1de4f5a94ff,silverstone_QUALI,throttle_new,schema_drift,detection,0.0037,True
d5ffeca7ece2,silverstone_RACE,speed_v2,schema_drift,detection,0.0034,True
adc843b532a4,silverstone_RACE,speed,duplicate_timestamp,detection,0.0031,True
251d48a933ea,silverstone_RACE,throttle,string_in_numeric,detection,0.0019,True
18d13f47792c,budapest_FP1,rpm,string_in_numeric,detection,0.002,True
9814158de7bf,budapest_FP1,brake_temp,duplicate_timestamp,detection,0.0069,True
cfb09a8cd156,budapest_FP1,ecu_canbus,string_in_numeric,detection,0.0018,True
68a935ee71c5,budapest_FP1,brake_temp_raw,schema_drift,detection,0.0035,True
8d7c5bdb9ab3,budapest_FP2,ecu_canbus_canbus,schema_drift,detection,0.0039,True
a644929154d5,budapest_FP3,rpm_new,schema_drift,detection,0.0039,True
852ba022762b,budapest_QUALI,rpm_v2,schema_drift,detection,0.0036,True
9814158de7bf,,,dlq_repair,repair,0.0557,False
cfb09a8cd156,,,dlq_repair,repair,0.0119,False
53d614263c93,,,dlq_repair,repair,0.0074,False
3ba15a0c16d0,,,dlq_repair,repair,0.0039,False
f51cdecf26e1,,,dlq_repair,repair,0.0038,False
baac91be3f7b,,,dlq_repair,repair,0.0158,True
adc843b532a4,,,dlq_repair,repair,0.0125,True
251d48a933ea,,,dlq_repair,repair,0.0032,False
18d13f47792c,,,dlq_repair,repair,0.0026,False
