packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
fed1fc344f2d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0019,True
8850119e568a,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0036,True
54b8fd43c281,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0029,True
25c9bc761c18,spielberg_FP1,engine_temp_new,schema_drift,detection,0.003,True
acaa1d1d08d8,spielberg_FP1,speed,string_in_numeric,detection,0.0018,True
b195c1beae11,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0019,True
6d95b45ad22b,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0029,True
eded3485e3f0,spielberg_FP2,speed,string_in_numeric,detection,0.0017,True
7f1c9a567bb6,spielberg_FP2,g_force_lateral,duplicate_timestamp,detection,0.0031,True
ffef5adffa7d,spielberg_FP2,g_force_lateral_alt,schema_drift,detection,0.0034,True
cda508c448a1,spielberg_FP2,speed,string_in_numeric,detection,0.0016,True
2e3a8da2cf6f,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0032,True
21972eb2d0a5,spielberg_FP2,speed_v2,schema_drift,detection,0.0036,True
8698f0d3ae33,spielberg_FP2,ecu_canbus,string_in_numeric,detection,0.002,True
3fc5115f7be0,spielberg_FP2,ecu_canbus_alt,schema_drift,detection,0.0031,True
5253dfe118f4,spielberg_FP2,brake_temp,string_in_numeric,detection,0.0017,True
0ded19c1f138,spielberg_FP2,throttle_v2,schema_drift,detection,0.0032,True
fd70510a121c,spielberg_FP2,throttle,string_in_numeric,detection,0.0017,True
2938ec1ace4c,spielberg_FP2,tyre_pressure,string_in_numeric,detection,0.0017,True
a32c3cb8443a,spielberg_FP2,speed,string_in_numeric,detection,0.0021,True
ed9b76b79ab1,spielberg_FP2,aero_load_raw,schema_drift,detection,0.0042,True
7e7d48c58709,spielberg_FP3,aero_load_new,schema_drift,detection,0.0041,True
18da4cbbe8ec,spielberg_FP3,speed_alt,schema_drift,detection,0.0032,True
275b41f3b11b,spielberg_FP3,heart_rate,string_in_numeric,detection,0.0018,True
8b896abbaf7b,spielberg_FP3,aero_load,string_in_numeric,detection,0.0018,True
3119dd88595c,spielberg_FP3,speed,string_in_numeric,detection,0.0016,True
b4584dcb1788,spielberg_FP3,g_force_lateral,duplicate_timestamp,detection,0.0028,True
0dde464e649b,spielberg_FP3,tyre_pressure_new,schema_drift,detection,0.0035,True
beef869e8300,spielberg_FP3,engine_temp,duplicate_timestamp,detection,0.0027,True
84012fc287f4,spielberg_QUALI,g_force_lateral,string_in_numeric,detection,0.0017,True
e456c1c9cff4,spielberg_QUALI,throttle,duplicate_timestamp,detection,0.0031,True
3771b9fbc701,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.0026,True
4a2bca97dafd,spielberg_QUALI,ecu_canbus,string_in_numeric,detection,0.0018,True
6432e3fe0795,spielberg_QUALI,throttle_canbus,schema_drift,detection,0.0037,True
1f2d9ca54307,spielberg_QUALI,heart_rate_v2,schema_drift,detection,0.0035,True
4cc4de289056,spielberg_QUALI,aero_load_raw,schema_drift,detection,0.0034,True
6200a46e2999,spielberg_QUALI,engine_temp,string_in_numeric,detection,0.0017,True
58db16092fda,spielberg_QUALI,throttle,duplicate_timestamp,detection,0.0029,True
77d0be2dd938,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.0027,True
cdac6c3a1326,spielberg_QUALI,heart_rate,string_in_numeric,detection,0.0017,True
b325d29f5a8a,spielberg_QUALI,speed,duplicate_timestamp,detection,0.0034,True
b5c498608ccc,spielberg_QUALI,tyre_pressure_alt,schema_drift,detection,0.0048,True
