packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
79becfd08a4c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0018,True
b988352fa0dd,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0032,True
52d04fe002f7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0033,True
0236b929bb3b,spielberg_FP1,throttle,string_in_numeric,detection,0.0017,True
aff82f5064c6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0029,True
3aac9ce3e37b,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0054,True
3ffc9fa91190,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0017,True
01f9f304fca7,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0016,True
57ee63564c76,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0033,True
faf325023906,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0034,True
59bfeb8993e9,spielberg_FP1,speed,duplicate_timestamp,detection,0.003,True
29dc7a7e7f93,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0017,True
2068e06b1131,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0017,True
9af928ac591d,spielberg_FP1,speed,duplicate_timestamp,detection,0.0027,True
2ef41eab1548,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0036,True
0546edce7824,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0034,True
70c21ce26171,spielberg_FP1,throttle,string_in_numeric,detection,0.0018,True
4d18691d2be5,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0018,True
fbad48db3beb,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.003,True
4a58991b300d,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0016,True
da696b7f5202,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0033,True
19f8a1ca02e1,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0021,True
0b00cd2b021e,spielberg_FP1,throttle_raw,schema_drift,detection,0.0036,True
8e852649e72c,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0032,True
93981f8f1d47,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0038,True
398c6d89da17,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.003,True
4a8846999ed4,spielberg_FP1,speed,string_in_numeric,detection,0.0016,True
09b1a6268237,spielberg_FP1,throttle_new,schema_drift,detection,0.0041,True
05f4e34418b0,spielberg_FP1,speed_new,schema_drift,detection,0.0035,True
57a945a71cb6,spielberg_FP1,throttle_alt,schema_drift,detection,0.0036,True
a62131581ac9,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0032,True
0467a5dec5b3,spielberg_FP1,throttle,string_in_numeric,detection,0.0016,True
99d4c77de950,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0029,True
b514eac0b575,spielberg_FP1,throttle,string_in_numeric,detection,0.0016,True
ae05416673ae,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0015,True
bdc02ccb8022,spielberg_FP1,rpm,string_in_numeric,detection,0.0016,True
e4afdc47ae8d,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0015,True
543aa09e2c0e,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0035,True
36c43575c4b4,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0032,True
a7c55b369932,spielberg_FP1,speed,duplicate_timestamp,detection,0.0029,True
a5042439b80e,spielberg_FP1,rpm,string_in_numeric,detection,0.0017,True
897c251f1d3b,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0045,True
6dddf4d89593,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0015,True
9c54cc8285da,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0036,True
ad250f9a54f4,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0016,True
