packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3584cac015fc,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0036,True
731ea390469d,spielberg_FP1,throttle,string_in_numeric,detection,0.0017,True
f348f2097d9f,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0017,True
cc7d18172ddb,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.004,True
7809d47a700e,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0029,True
d188a9f0564a,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0028,True
1109a42c5485,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0028,True
f7d4181d2c85,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0015,True
ca9ea31e4b47,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.003,True
bdb18153cb9a,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0037,True
7e9b7f2a95e9,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0027,True
ca97ac15d97c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0017,True
b881f3da78f4,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0019,True
80e57c7beccd,spielberg_FP1,speed_new,schema_drift,detection,0.0034,True
358a0cf1c17e,spielberg_FP2,speed,string_in_numeric,detection,0.0018,True
6ea3735ad106,spielberg_FP2,speed,string_in_numeric,detection,0.0018,True
1b3f0c900dd2,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0047,True
0a8c758aa181,spielberg_FP2,g_force_lateral_new,schema_drift,detection,0.0041,True
b99020ca6003,spielberg_FP2,rpm,duplicate_timestamp,detection,0.0031,True
d16257083c62,spielberg_FP2,throttle,string_in_numeric,detection,0.0017,True
5e68cde4ce4c,spielberg_FP2,g_force_lateral_v2,schema_drift,detection,0.0032,True
4540a34db6bd,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.002,True
9295810185ed,spielberg_FP2,rpm_raw,schema_drift,detection,0.0034,True
518a781e5e60,spielberg_FP3,brake_temp_canbus,schema_drift,detection,0.0036,True
e805ef8b752d,spielberg_FP3,g_force_lateral,duplicate_timestamp,detection,0.003,True
4444674fd3fa,spielberg_FP3,rpm,duplicate_timestamp,detection,0.0033,True
dbb4bc09dedb,spielberg_FP3,engine_temp,string_in_numeric,detection,0.0018,True
16174029f5f5,spielberg_FP3,speed_raw,schema_drift,detection,0.004,True
9e785ef1059d,spielberg_FP3,ecu_canbus,duplicate_timestamp,detection,0.0042,True
7223151bfdad,spielberg_QUALI,engine_temp,string_in_numeric,detection,0.0018,True
929e52f79621,spielberg_QUALI,ecu_canbus,string_in_numeric,detection,0.0024,True
6036088556e4,spielberg_QUALI,tyre_pressure,duplicate_timestamp,detection,0.0031,True
d8f8f6f6a09f,spielberg_QUALI,rpm,duplicate_timestamp,detection,0.0027,True
4065412f92cf,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.003,True
f69294dae631,spielberg_QUALI,engine_temp,duplicate_timestamp,detection,0.0029,True
d6e358862ae3,spielberg_QUALI,ecu_canbus,duplicate_timestamp,detection,0.0026,True
d6eef869c5f5,spielberg_QUALI,speed_v2,schema_drift,detection,0.0035,True
77a5727fa8bf,spielberg_QUALI,brake_temp,string_in_numeric,detection,0.0019,True
f46181377fe7,spielberg_QUALI,throttle,string_in_numeric,detection,0.0017,True
f80b4416297e,spielberg_QUALI,tyre_pressure,duplicate_timestamp,detection,0.0028,True
