packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
d0d2e79d8596,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0031,True
67801564297e,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0059,True
b11d6a65db7d,spielberg_FP1,ecu_canbus,null_value,detection,0.0025,True
d8a2d5ab2dcd,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0043,True
6054959f0bca,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0018,True
0bd8b63d7720,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0037,True
7281dda1248c,spielberg_FP1,rpm,bit_flip_high,detection,0.0046,True
412abca8574f,spielberg_FP1,engine_temp,null_value,detection,0.0024,True
ec7ef50f3575,spielberg_FP1,rpm,bit_flip_high,detection,0.0038,True
87b30c15c03d,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0031,True
8fcecbe2d3c1,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0028,True
3af19eedadf8,spielberg_FP1,speed,sensor_dropout,detection,0.0023,True
311b480729ce,spielberg_FP1,throttle,sensor_dropout,detection,0.002,True
f27a5ef3bcac,spielberg_FP1,tyre_pressure,null_value,detection,0.0022,True
7407d06f5581,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0022,True
bfc9d12fd0e1,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0028,True
bbb49b4e964a,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0039,True
e0168214590c,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0027,True
339bb3cca630,spielberg_FP1,aero_load,null_value,detection,0.0025,True
8ddeab23003a,spielberg_FP1,heart_rate,null_value,detection,0.0026,True
aed5700ad0c4,spielberg_FP1,speed,bit_flip_low,detection,0.0062,True
8b4cfa44a79b,spielberg_FP1,engine_temp,bit_flip_low,detection,0.004,True
02f6495e0cbc,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0037,True
d3e94258139e,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0038,True
23c795bb96d9,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.005,True
d791cb4fe3ed,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0029,True
54b277a53bf3,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0034,True
29e2ee316317,spielberg_FP1,speed,duplicate_timestamp,detection,0.0024,True
5731ea9427f9,spielberg_FP1,rpm,bit_flip_low,detection,0.005,True
894d57a7aa55,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0022,True
2cf92e33dc66,spielberg_FP1,speed,null_value,detection,0.0021,True
fba2f1773fd2,spielberg_FP1,speed,string_in_numeric,detection,0.0015,True
0eca948a3144,spielberg_FP1,rpm,sensor_dropout,detection,0.0025,True
6d4c6cab6533,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0026,True
e9b7e27d4ef3,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0039,True
a8175c0f75cd,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0035,True
021d34124309,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0031,True
7b574c89a7c0,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0026,True
bf98969ff219,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0022,True
40ff1d72ea08,spielberg_FP1,aero_load_v2,schema_drift,detection,0.003,True
4320613ea432,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0027,True
3a73b58e30c3,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0098,True
1b243d01aaef,spielberg_FP1,ecu_canbus,null_value,detection,0.0029,True
c3d3ed3ef552,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0027,True
c120f36efb49,spielberg_FP1,throttle,bit_flip_high,detection,0.0042,True
d3e07f1865ff,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0031,True
77e419e9417a,spielberg_FP1,speed,bit_flip_high,detection,0.0038,True
96e639e20249,spielberg_FP1,throttle,bit_flip_low,detection,0.0035,True
0364f4ba30e8,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0029,True
26f7948f7383,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0016,True
396d65dd3ffd,spielberg_FP1,rpm,bit_flip_low,detection,0.0051,True
dd47bbf8dd04,spielberg_FP1,throttle,string_in_numeric,detection,0.0017,True
eb176599feee,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0033,True
d04f41de28cc,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0029,True
f69eaa19d0bd,spielberg_FP1,tyre_pressure,null_value,detection,0.0042,True
24e2c67f474b,spielberg_FP1,tyre_pressure,null_value,detection,0.0022,True
c2f33f00c073,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0022,True
b885f0fb1d2b,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0024,True
f0dfc934a368,spielberg_FP1,speed,bit_flip_low,detection,0.0045,True
bd606cf4b45d,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0037,True
9410147068b7,spielberg_FP1,throttle,bit_flip_high,detection,0.0043,True
3c7df0de08b9,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0037,True
df65f7e1a527,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0026,True
5575a6c281d9,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0037,True
3a6733c2e4a1,spielberg_FP1,heart_rate,null_value,detection,0.0024,True
a683e8d62fc7,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0032,True
beb0a5e64e23,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0029,True
50aa93f7c734,spielberg_FP1,speed,null_value,detection,0.002,True
752ea8f70460,spielberg_FP1,throttle,string_in_numeric,detection,0.0016,True
b74cc75631de,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.004,True
082355e5ca1d,spielberg_FP1,tyre_pressure,null_value,detection,0.0032,True
0811ec53fdff,spielberg_FP1,rpm,bit_flip_high,detection,0.0049,True
90020e2c76e2,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0037,True
b3f7843c9fe6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0042,True
9d14115545b0,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0039,True
57aa84d81a59,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0035,True
c2f1c8158069,spielberg_FP1,ecu_canbus,null_value,detection,0.0022,True
48342cff58bd,spielberg_FP1,rpm_v2,schema_drift,detection,0.0082,True
40cd1669fe43,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0023,True
195b44f591eb,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0016,True
225cf0f46af9,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0024,True
1c60d96d931f,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0032,True
29445128e12b,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.004,True
db1853374321,spielberg_FP1,brake_temp,null_value,detection,0.0022,True
88748b03a383,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0038,True
9812ec8dca42,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0015,True
9c9ae4848c98,spielberg_FP1,throttle,string_in_numeric,detection,0.0014,True
f3deee3de1f8,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0021,True
06abd3815199,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0035,True
e34ff24efde7,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0016,True
a259e39c8557,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0049,True
cd03115efa98,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0041,True
412397c87f40,spielberg_FP1,tyre_pressure,null_value,detection,0.002,True
bbee534a73a1,spielberg_FP1,heart_rate,bit_flip_low,detection,0.004,True
38fd38b679e9,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0104,True
310ada93053a,spielberg_FP1,throttle,null_value,detection,0.0023,True
a08b3be394f8,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0036,True
3beb243272fd,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0026,True
b76fda2d38ef,spielberg_FP1,heart_rate,sensor_dropout,detection,0.002,True
3b5c3f686529,spielberg_FP1,throttle,bit_flip_high,detection,0.0043,True
e5703b717760,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0017,True
b8a0097c70b2,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0042,True
4ef22cfa2bf3,spielberg_FP1,throttle,bit_flip_low,detection,0.0042,True
794f174e0193,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0025,True
ac0c9b4fc541,spielberg_FP1,throttle,sensor_dropout,detection,0.0021,True
d1c403968ee4,spielberg_FP1,rpm,bit_flip_low,detection,0.0047,True
