packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
80a1beff1d19,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0011,True
8c1bc23d96b9,spielberg_FP1,brake_temp,null_value,detection,0.0006,True
467f5ca6d953,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0034,True
8a2ebd7065e8,spielberg_FP1,speed_alt,schema_drift,detection,0.001,False
8134e21a3ff6,spielberg_FP1,aero_load,sensor_dropout,detection,0.0006,True
bd7e87b91208,spielberg_FP1,engine_temp,bit_flip_high,detection,0.002,True
91186e1365b6,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0016,True
fcafb1d251ca,spielberg_FP1,speed,bit_flip_high,detection,0.002,True
71e2c9035a99,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0007,True
6cb9a03b4724,spielberg_FP1,brake_temp,null_value,detection,0.0006,True
9f7b87e128c2,spielberg_FP1,speed,null_value,detection,0.0005,True
4a3c59e16bf2,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0006,True
2bdaa9805b8e,spielberg_FP1,g_force_lateral,null_value,detection,0.0005,True
eb4bad943062,spielberg_FP1,rpm,bit_flip_high,detection,0.0026,True
545b8befde86,spielberg_FP1,speed,duplicate_timestamp,detection,0.0008,False
f43f680d8ed7,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0018,True
05d852f453c4,spielberg_FP1,throttle,bit_flip_high,detection,0.0017,True
96ee9c990e7b,spielberg_FP1,aero_load_new,schema_drift,detection,0.0009,False
bcab9165bf16,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0016,True
b2de609fb3b0,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0007,False
8d27198494d5,spielberg_FP1,aero_load_new,schema_drift,detection,0.0009,False
1f39d32d4159,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0017,True
f8ca8c21b1cd,spielberg_FP1,throttle,bit_flip_low,detection,0.0017,True
3631ea13ad07,spielberg_FP1,throttle,bit_flip_low,detection,0.0015,True
01ba869d913d,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0015,True
7e704769e966,spielberg_FP1,rpm,duplicate_timestamp,detection,0.001,False
0b0b054fa3bd,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0007,False
e9fb55ed408d,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0022,True
8e672448d163,spielberg_FP1,heart_rate,null_value,detection,0.0005,True
ee8b85c75ae6,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0017,True
9d316107f8cb,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0011,False
2d681207a5f9,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0008,False
4c2a613799e4,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0005,True
c16f62a0863e,spielberg_FP1,aero_load,bit_flip_high,detection,0.0022,True
c6f96965c6fa,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0009,True
65a9b442421f,spielberg_FP1,heart_rate,null_value,detection,0.0004,True
099c7005f544,spielberg_FP1,aero_load,bit_flip_high,detection,0.0017,True
0d0c26e17479,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0016,True
d7b39b50d590,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.001,False
ad6d78b6df1c,spielberg_FP1,g_force_lateral,null_value,detection,0.0005,True
9f37d3a5ff4c,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.001,True
5359d1f341cb,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0006,True
90fdd24936c7,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0005,True
ed16570862f9,spielberg_FP1,throttle,string_in_numeric,detection,0.0007,True
9b442d69ac32,spielberg_FP1,speed,sensor_dropout,detection,0.0006,True
c7f882790d7e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0007,True
163fe8751166,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0005,True
867c8f55a77f,spielberg_FP1,speed_new,schema_drift,detection,0.0009,False
33dd51fe13fd,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0009,False
3eb8a75b63a9,spielberg_FP1,speed,bit_flip_low,detection,0.0027,True
2d1e45310874,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0005,True
e5efe7a94278,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0007,False
ea8ef1455d71,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0005,False
103cc7597197,spielberg_FP1,aero_load,bit_flip_low,detection,0.0021,True
7b6cf41cddfc,spielberg_FP1,engine_temp,string_in_numeric,detection,0.002,True
e1f1bc4a2d3a,spielberg_FP1,speed,bit_flip_high,detection,0.0064,True
c72ee3bdf132,spielberg_FP1,speed,null_value,detection,0.0008,True
57bc8b4e651f,spielberg_FP1,aero_load,bit_flip_low,detection,0.0029,True
c1100f72e952,spielberg_FP1,speed,bit_flip_high,detection,0.0041,True
7a691a90fceb,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0006,False
fb92cd4fa576,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0031,True
76d06dadcd3a,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0007,True
272d8b838665,spielberg_FP1,speed,sensor_dropout,detection,0.0004,True
57e177201082,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0011,False
8cb04048cdc0,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0006,True
479da2f83231,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0006,False
522484e87d0d,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0007,False
328f0acc142a,spielberg_FP1,speed,string_in_numeric,detection,0.0007,True
be57f8ae6359,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0007,False
461ca3c627b6,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0009,False
c14d1ed50997,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0021,True
183a3ad2756f,spielberg_FP1,speed,null_value,detection,0.0005,True
93238c49d698,spielberg_FP1,speed,sensor_dropout,detection,0.0004,True
a273bc93eb3c,spielberg_FP1,speed_canbus,schema_drift,detection,0.0011,False
9b441cc43572,spielberg_FP1,speed,sensor_dropout,detection,0.0004,True
d22b5533fecf,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0007,False
eef9f2b74eaf,spielberg_FP1,rpm_alt,schema_drift,detection,0.0011,False
1009c3a086d9,spielberg_FP1,ecu_canbus,null_value,detection,0.0008,True
85e536e5da28,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0006,False
c03310054356,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0009,False
79bb921ac3d6,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0008,True
58485af7bca5,spielberg_FP1,rpm,bit_flip_high,detection,0.0026,True
113c6b68b49a,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0008,False
615c2269826a,spielberg_FP1,aero_load,string_in_numeric,detection,0.0007,True
2d1fcc5d2bff,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0006,True
d8a0d1476fe7,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0009,False
91a5949d5e0b,spielberg_FP1,aero_load,null_value,detection,0.0006,True
c8aba70e00b1,spielberg_FP1,speed,sensor_dropout,detection,0.0007,True
bcfe3889884d,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0024,True
85d0215c8ebb,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0019,True
45f4cd947476,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0006,False
045cc866b438,spielberg_FP1,rpm,bit_flip_high,detection,0.0019,True
009c18eb5a89,spielberg_FP1,aero_load,bit_flip_high,detection,0.0017,True
ad7659bc037b,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0007,False
072a67e2786e,spielberg_FP1,rpm,bit_flip_low,detection,0.0017,True
ae4d3c7eba27,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0014,True
0427ec916d88,spielberg_FP1,heart_rate,null_value,detection,0.0004,True
a74056df74d2,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0007,False
784354208f3a,spielberg_FP1,speed,null_value,detection,0.0006,True
bb39780a2feb,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0006,True
1e851fc3cdaf,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0023,True
27e11e35a0b1,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0006,True
bb8f94a824bc,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0008,False
64815b19c41f,spielberg_FP1,speed,null_value,detection,0.0005,True
a7535339cfa9,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0004,True
743fb7987385,spielberg_FP1,speed,bit_flip_high,detection,0.002,True
94803aa6930a,spielberg_FP1,ecu_canbus,null_value,detection,0.0005,True
edfd61d96c40,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0017,True
d19b2c90008f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0006,False
af6adfe12dbb,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0008,False
3b17593a28c9,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0007,True
aa6c0f4ada2a,spielberg_FP1,throttle_raw,schema_drift,detection,0.0009,False
af7c52cd33f1,spielberg_FP1,speed,null_value,detection,0.0007,True
cce5b020ef27,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0009,False
c171538144af,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0023,True
5649e8c15f2e,spielberg_FP1,speed,duplicate_timestamp,detection,0.001,False
7f283a5e47ed,spielberg_FP1,speed,bit_flip_low,detection,0.0023,True
b85716db6834,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0018,True
0c156bcb1a8c,spielberg_FP1,rpm,string_in_numeric,detection,0.0008,True
43fed7d5cfb1,spielberg_FP1,rpm,bit_flip_high,detection,0.0019,True
9839b3da4d2b,spielberg_FP1,throttle,bit_flip_low,detection,0.0023,True
08705f4cb287,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0016,True
b8232f515b0f,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0017,True
8e6b5c3ebb40,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0015,True
533dbc293c65,spielberg_FP1,tyre_pressure,null_value,detection,0.0005,True
032ef0d32774,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0008,False
d14e825f7c1f,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0015,True
bbe9f57152ed,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0007,False
ae67224c0361,spielberg_FP1,speed,sensor_dropout,detection,0.0005,True
566b4ba6314f,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.001,True
d18e748d2340,spielberg_FP1,tyre_pressure,null_value,detection,0.0006,True
f5795164d3a5,spielberg_FP1,aero_load_new,schema_drift,detection,0.001,False
9e561e2a4357,spielberg_FP1,g_force_lateral,null_value,detection,0.0004,True
0dd712d4866d,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0006,True
20cf0bccbdc0,spielberg_FP1,rpm,bit_flip_low,detection,0.0026,True
6917a6e0f0f7,spielberg_FP1,throttle,string_in_numeric,detection,0.0005,True
2581254b2b9d,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0018,True
9533bc96c810,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0007,False
c302f62fc97d,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0015,False
b3509648ef78,spielberg_FP1,aero_load,null_value,detection,0.0007,True
5a0817e60196,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0007,False
1155893fa792,spielberg_FP1,ecu_canbus,null_value,detection,0.0004,True
a7c56e95741b,spielberg_FP1,speed,sensor_dropout,detection,0.0005,True
ce86c76c55e1,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0025,True
764daf0dcac1,spielberg_FP1,aero_load,sensor_dropout,detection,0.0005,True
da38ba6db5e2,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0004,True
0d948047b4b9,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0004,True
858427c45d71,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0006,True
7fcea39c4c33,spielberg_FP1,speed,duplicate_timestamp,detection,0.0009,False
cd40fa93fedc,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0006,True
c3fa451bfab5,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0009,False
5aeaa6d6be67,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0038,True
aa2af8085dea,spielberg_FP1,speed,sensor_dropout,detection,0.0006,True
70ad13a3e0d7,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0005,True
bf55964c53bb,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0006,True
cf7b0faecfd5,spielberg_FP1,rpm,sensor_dropout,detection,0.0005,True
c9324c6c06aa,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0008,False
58738b3c9014,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0005,True
ad1140a5b558,spielberg_FP1,rpm,sensor_dropout,detection,0.0004,True
f1c3944d4cb2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0007,True
4aa95b678e6a,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0022,True
9f9abf03eecf,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0013,True
4d4c2a1ab33f,spielberg_FP1,rpm,bit_flip_high,detection,0.0022,True
2aa32e9ee9cb,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0007,False
5b2ec9cc9860,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0005,True
7ac6fff95c5c,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.001,False
32c604a8d656,spielberg_FP1,rpm,bit_flip_high,detection,0.0021,True
6122df9fee0c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0007,False
8f26a3a35eb4,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0006,True
45373ee295c3,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0007,False
f35a7df5216c,spielberg_FP1,speed,duplicate_timestamp,detection,0.0008,False
dc5eb99d8d85,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0007,True
5e92c38de2ca,spielberg_FP1,rpm,null_value,detection,0.0005,True
9e50a832d10b,spielberg_FP1,throttle,sensor_dropout,detection,0.0004,True
f9a95b7a7b7d,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0006,True
9f74c52cd820,spielberg_FP1,aero_load,sensor_dropout,detection,0.0004,True
444142617fda,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0005,True
3e8629d934ea,spielberg_FP1,speed_canbus,schema_drift,detection,0.0011,False
13b964e0d309,spielberg_FP1,aero_load,sensor_dropout,detection,0.0004,True
040a579b325c,spielberg_FP1,throttle,sensor_dropout,detection,0.0004,True
27da84835a15,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0004,True
e22928b15155,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0009,False
b4413daf3a51,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0006,False
63f9cce20c50,spielberg_FP1,aero_load,null_value,detection,0.0004,True
67332d510618,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0006,False
e6156fa12da4,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0023,True
00088009adfe,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0005,False
de30a0daad30,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0007,True
1aa9654f5382,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0004,True
7a70b18d2e12,spielberg_FP1,speed,sensor_dropout,detection,0.0007,True
7ae35b7b9144,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0008,False
b339018cf7d5,spielberg_FP1,aero_load,sensor_dropout,detection,0.0005,True
6105e4902e10,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0009,False
2e8ca6610832,spielberg_FP1,engine_temp,bit_flip_low,detection,0.002,True
9a706ecfb8e5,spielberg_FP1,throttle_v2,schema_drift,detection,0.0009,False
184478bd79c0,spielberg_FP1,g_force_lateral,null_value,detection,0.0005,True
d7caad532e95,spielberg_FP1,aero_load,string_in_numeric,detection,0.0006,True
1b2a60b4d753,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0005,True
5cb100452f15,spielberg_FP1,throttle,bit_flip_low,detection,0.0033,True
3542177c5ab7,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0006,False
f98af2839e26,spielberg_FP1,aero_load,bit_flip_low,detection,0.0021,True
ca9e16f1e990,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0016,True
cb781bed2268,spielberg_FP1,rpm_raw,schema_drift,detection,0.0011,False
268c453b3b42,spielberg_FP1,engine_temp,null_value,detection,0.0005,True
395c8bb593f7,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0006,True
e188331da3ae,spielberg_FP1,heart_rate,null_value,detection,0.0004,True
0c6cd04ff117,spielberg_FP1,throttle,bit_flip_high,detection,0.0018,True
3def1620e075,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0006,True
802ea36c244e,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0009,False
a97364fd0f59,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0017,True
2b5cfd2d6ce2,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0007,False
b256ff4d6f12,spielberg_FP1,aero_load,bit_flip_low,detection,0.0018,True
6ef054233d06,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0007,False
c1e4d8b615b3,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0015,True
ee505503e9d4,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0014,True
e4832f9ca1ff,spielberg_FP1,aero_load,null_value,detection,0.0005,True
d5c5d39a0d50,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0009,False
a7b5603411bb,spielberg_FP1,speed_new,schema_drift,detection,0.0013,False
3eb63a6f8009,spielberg_FP1,rpm,sensor_dropout,detection,0.0005,True
5058957b0f0c,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0019,True
513f957c15a5,spielberg_FP1,aero_load,bit_flip_high,detection,0.0018,True
1ec6709dab08,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0008,False
51f4f27f2364,spielberg_FP1,rpm_raw,schema_drift,detection,0.001,False
940dbb1867b6,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0006,False
d0c3803b087b,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0015,True
85bb15f41f40,spielberg_FP1,speed,sensor_dropout,detection,0.0004,True
3a93486a5fad,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0009,False
52abbabe8f71,spielberg_FP1,aero_load,bit_flip_low,detection,0.0024,True
1be247e3775e,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0006,True
1219a786210d,spielberg_FP1,speed,null_value,detection,0.0006,True
e15405659bcf,spielberg_FP1,aero_load,bit_flip_low,detection,0.0019,True
d248ff69def9,spielberg_FP1,engine_temp,string_in_numeric,detection,0.001,True
d02f634c878f,spielberg_FP1,speed_canbus,schema_drift,detection,0.001,False
c41dbd40c39a,spielberg_FP1,engine_temp,null_value,detection,0.0005,True
96b897538c13,spielberg_FP1,rpm,sensor_dropout,detection,0.0005,True
13410d25f37b,spielberg_FP1,engine_temp,null_value,detection,0.0005,True
df45766efa53,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0021,True
589c92a677e0,spielberg_FP1,rpm,sensor_dropout,detection,0.0005,True
b4cf4a73a990,spielberg_FP1,aero_load_raw,schema_drift,detection,0.001,False
a42e3451132f,spielberg_FP1,rpm,bit_flip_high,detection,0.0021,True
9f15a56e8fd7,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0017,True
176fca8c3625,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0009,True
f73da6cdcaf6,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0014,False
f3d6b6217fbe,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0009,False
3779440fa498,spielberg_FP1,g_force_lateral,null_value,detection,0.0007,True
e72a2fb86530,spielberg_FP1,rpm,bit_flip_high,detection,0.0033,True
fec462edd99e,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0009,True
fb89d5246d0b,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0006,False
53b97c4a976b,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0018,True
944d4cbe5f95,spielberg_FP1,rpm,sensor_dropout,detection,0.0005,True
444b269a8150,spielberg_FP1,throttle,null_value,detection,0.0009,True
4757171214e7,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0024,True
49e2283dd3f4,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0006,True
00b2167cfd1b,spielberg_FP1,engine_temp,null_value,detection,0.0005,True
c7231080f657,spielberg_FP1,rpm,sensor_dropout,detection,0.0005,True
151a7d065b87,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0007,False
7aacce944400,spielberg_FP1,throttle,null_value,detection,0.0005,True
9421e6ac0658,spielberg_FP1,rpm,bit_flip_high,detection,0.003,True
13dd4c989378,spielberg_FP1,aero_load,string_in_numeric,detection,0.0009,True
2fc18609871b,spielberg_FP1,throttle,sensor_dropout,detection,0.0005,True
6779b52bc75b,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0005,True
5eca6a03c8af,spielberg_FP1,speed_new,schema_drift,detection,0.0011,False
f1bbccb44192,spielberg_FP1,speed,sensor_dropout,detection,0.0006,True
d0b663d00e3c,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0026,True
e10b1e508d7e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.001,True
