packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
f2545cdae375,spielberg_FP1,aero_load,bit_flip_low,detection,0.0058,True
3aa3dd5288e9,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.003,True
ebd7fdfc606a,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0042,True
4b60d65bc528,spielberg_FP1,throttle_v2,schema_drift,detection,0.0033,True
dcdefc890da5,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0031,True
da8a9ca8c380,spielberg_FP1,rpm,sensor_dropout,detection,0.0022,True
f53bc53af084,spielberg_FP1,speed_alt,schema_drift,detection,0.0033,True
c59e0aa64558,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0032,True
f11a57b51499,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0028,True
24d1fa26f393,spielberg_FP1,speed,bit_flip_low,detection,0.005,True
73fa08f4f1b0,spielberg_FP1,aero_load,null_value,detection,0.0021,True
2b1d00e70bd0,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0024,True
ed49159507cb,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0021,True
e01c2606db41,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0021,True
548b15ba861c,spielberg_FP1,aero_load,string_in_numeric,detection,0.0017,True
f8e41a136c89,spielberg_FP1,rpm_new,schema_drift,detection,0.0034,True
770168e0cd14,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0023,True
e5ba2be773c6,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0025,True
3fb462e6b7c0,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0014,True
da732dc0ca66,spielberg_FP1,speed,bit_flip_high,detection,0.0063,True
06f22e5bc7ad,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0039,True
8aed0b3ff473,spielberg_FP1,aero_load,string_in_numeric,detection,0.0018,True
32461d1e428c,spielberg_FP1,g_force_lateral,null_value,detection,0.0025,True
2653512fbf97,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0034,True
72add3d4b9d6,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.002,True
aef9d40f75b0,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.003,True
1a84ffb34bb1,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0026,True
61f7984304a8,spielberg_FP1,speed,null_value,detection,0.0021,True
ce798de599bd,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0022,True
1c2fe4aa0a8d,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.005,True
0c770ffe4337,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0023,True
8176a8f166d9,spielberg_FP1,speed,null_value,detection,0.0022,True
0e5b4c5b365d,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0025,True
51bc27b9bdde,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0051,True
f68c2686fe52,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0036,True
d5f9f6db65bf,spielberg_FP1,engine_temp,null_value,detection,0.002,True
e2b052d17c6d,spielberg_FP1,rpm,null_value,detection,0.002,True
647bb5630efd,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0026,True
66a48b004b37,spielberg_FP1,speed,string_in_numeric,detection,0.0027,True
a03784a8e05a,spielberg_FP1,aero_load,sensor_dropout,detection,0.0025,True
bf77fb15579b,spielberg_FP1,heart_rate,null_value,detection,0.0021,True
cbc92c6f9aa1,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0043,True
d686454f8d3f,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0034,True
40ecabe66d10,spielberg_FP1,aero_load,string_in_numeric,detection,0.0014,True
4e3e0c2f6489,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0016,True
ba9014fc7a9f,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0035,True
75c0bf6d057a,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0013,True
c7f55b9e9522,spielberg_FP1,heart_rate,null_value,detection,0.0021,True
3418e11e59d2,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0038,True
