packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
5e3462b31380,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0017,False
273e2e788b50,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0036,True
af802f6bd8c9,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0007,True
b0cf7eed3a1c,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0004,True
989000ded958,spielberg_FP1,heart_rate,bit_flip_low,detection,0.002,True
38eac05bc9c3,spielberg_FP1,aero_load,bit_flip_low,detection,0.002,True
b93a037ce1bf,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0006,False
22d79b449f98,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0005,True
f009f0c7c050,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0008,False
713d608dcc89,spielberg_FP1,brake_temp,null_value,detection,0.0005,True
a11815ef4046,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0016,True
60fb84e81afd,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0008,True
f8705a693c2c,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0018,True
9cc7c1a9813a,spielberg_FP1,rpm,null_value,detection,0.0007,True
d8d97c21e04b,spielberg_FP1,throttle,string_in_numeric,detection,0.0007,True
c9186ae5ddd8,spielberg_FP1,rpm,string_in_numeric,detection,0.0007,True
2f3196645cda,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0005,True
de572dc156aa,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0008,False
aaf77898f10e,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0022,True
5ae4e7cd51a9,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0007,False
47326efa4a4c,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0016,True
8451540cba33,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0007,True
c4e66e72780f,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0006,True
a119a94a448d,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0011,False
7168c338a420,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0007,True
acd953197249,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0021,True
6144a061bd6b,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0005,False
1575ab21a225,spielberg_FP1,aero_load,bit_flip_low,detection,0.0023,True
b57af93755a2,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0008,False
ebff647c2f7c,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0007,True
693eecf8713e,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0009,False
5151f947c4e6,spielberg_FP1,speed,string_in_numeric,detection,0.0006,True
8d612e88107f,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0018,True
d8f0b0aaaaab,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0006,False
5715317221ff,spielberg_FP1,aero_load,null_value,detection,0.0006,True
043442e1f973,spielberg_FP1,heart_rate,null_value,detection,0.0005,True
840e25b5d8f3,spielberg_FP1,speed,sensor_dropout,detection,0.0005,True
af54fa1d4ba6,spielberg_FP1,rpm,bit_flip_high,detection,0.0024,True
5140fa46fbf0,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0007,False
7a1c6805d5f7,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0008,False
098a679a43ed,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0019,True
fa01877fc23d,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0015,True
b7429a7e6a4e,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0016,True
f9cbd2b575ef,spielberg_FP1,rpm,bit_flip_low,detection,0.0018,True
c6e9786dd84f,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0009,False
d2ad90a3cb57,spielberg_FP1,throttle,string_in_numeric,detection,0.0006,True
2a507416d656,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0006,True
25565ad954d2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0006,False
598293219292,spielberg_FP1,throttle,null_value,detection,0.0007,True
7cd310147725,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0008,False
2f6ba512b62b,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0007,True
f7912e92b382,spielberg_FP1,aero_load,bit_flip_low,detection,0.0023,True
dbd18da69544,spielberg_FP1,speed,sensor_dropout,detection,0.0005,True
3f205a12cb53,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0007,False
3403d3c2c6d9,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0005,False
f1f604c4bf84,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0006,False
180211eb76b2,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0007,False
7a9a3a8dd029,spielberg_FP1,tyre_pressure,null_value,detection,0.0005,True
fa6b47dcea53,spielberg_FP1,tyre_pressure,null_value,detection,0.0004,True
c7c2d0c12d3b,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0017,False
e7a7c567c336,spielberg_FP1,rpm_new,schema_drift,detection,0.001,False
16540946dd15,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0007,False
ffd3d2336159,spielberg_FP1,speed_raw,schema_drift,detection,0.0008,False
70417cb8be68,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0006,True
36a92d66023a,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0024,True
a0b9f5ed6b51,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0019,True
2233d72946e4,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0015,True
f5a8d5046840,spielberg_FP1,rpm,bit_flip_low,detection,0.002,True
0c1f518bc834,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0018,True
d61d07e8b875,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0015,True
82277b6adfc4,spielberg_FP1,rpm,sensor_dropout,detection,0.0006,True
c513709e0f41,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0005,True
ebb066dad586,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0006,False
b00e2baa65ad,spielberg_FP1,speed_v2,schema_drift,detection,0.0009,False
66de91b23475,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0006,False
695138431afa,spielberg_FP1,aero_load_alt,schema_drift,detection,0.001,False
a3df8093f5b6,spielberg_FP1,throttle_raw,schema_drift,detection,0.0009,False
a44b711b2525,spielberg_FP1,aero_load,string_in_numeric,detection,0.0007,True
5c1d74c08b12,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0007,False
f48fe25b1efd,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0007,False
cd356cc48c55,spielberg_FP1,brake_temp,null_value,detection,0.0005,True
8c225677b879,spielberg_FP1,aero_load,bit_flip_high,detection,0.0019,True
dab9f771b22a,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0007,False
ee24ba2a2a3c,spielberg_FP1,throttle,bit_flip_low,detection,0.0019,True
88bb93c73c30,spielberg_FP1,throttle,bit_flip_low,detection,0.0014,True
774922f629e5,spielberg_FP1,throttle,sensor_dropout,detection,0.0005,True
bae3ee86a21e,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0011,False
2065a66ed0a2,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.001,False
279f8697ca89,spielberg_FP1,ecu_canbus,null_value,detection,0.0006,True
5ccd47547f38,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0007,False
36e455caff92,spielberg_FP1,aero_load,bit_flip_high,detection,0.0022,True
0e9461757ded,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0017,True
52ffe2aed3bd,spielberg_FP1,rpm,bit_flip_low,detection,0.0018,True
c45353f9b91a,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0006,False
35ac007e1295,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0014,True
57cc7cf92388,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0008,False
96b2dc1828c0,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0007,False
145e6db051f0,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0022,True
3f7218af3dfd,spielberg_FP1,rpm_new,schema_drift,detection,0.001,False
a09c37189295,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0009,False
78e43bfc4282,spielberg_FP1,speed,bit_flip_low,detection,0.0021,True
919d430e5651,spielberg_FP1,throttle,string_in_numeric,detection,0.0007,True
62614dc6b152,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.001,False
8eba6b90ccae,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0008,False
d4ebeed7c54f,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0008,False
0ee8ce3644c5,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0006,True
116058dd17f8,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0005,True
20076fae5964,spielberg_FP1,rpm,bit_flip_low,detection,0.0019,True
88feed1f5cca,spielberg_FP1,speed,null_value,detection,0.0005,True
b17bc1f1826e,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0007,True
6d0b68e60d7f,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.001,False
50d4560cb447,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0006,False
fa53a4f8a024,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0006,True
30bcb3661e9d,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0009,False
9ff79c9587b4,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0005,True
08ea02cd5b3c,spielberg_FP1,throttle,null_value,detection,0.0004,True
a6b41144aca4,spielberg_FP1,aero_load,bit_flip_low,detection,0.002,True
6f3d82466a39,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0006,True
44ad9690fe29,spielberg_FP1,speed,duplicate_timestamp,detection,0.0009,False
b1473bb048bb,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0004,True
534845e31821,spielberg_FP1,throttle,bit_flip_low,detection,0.0017,True
57c716664ee4,spielberg_FP1,throttle,bit_flip_high,detection,0.0016,True
a8c72fc8b0c3,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0006,False
830c01a68859,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0019,True
81f0aa0ced14,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0008,False
d835d85e9ee5,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0016,True
ffb63ede615a,spielberg_FP1,engine_temp,null_value,detection,0.0005,True
167a31b2b890,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0007,True
ebe87c67c641,spielberg_FP1,rpm,bit_flip_high,detection,0.0023,True
0b7c89bbbd38,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.001,False
33aeca41b8cd,spielberg_FP1,speed,duplicate_timestamp,detection,0.0008,False
caf9aac76be7,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0023,True
44c8ec59c9ac,spielberg_FP1,speed,sensor_dropout,detection,0.0007,True
5c314a64cbcb,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0006,True
b0734e266db5,spielberg_FP1,heart_rate,null_value,detection,0.0006,True
3bf145dd09d4,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0011,False
02291c2b66a9,spielberg_FP1,speed,string_in_numeric,detection,0.0007,True
bce27d7eca14,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0005,True
b1497aee0874,spielberg_FP1,rpm,bit_flip_high,detection,0.0021,True
dfc8771931aa,spielberg_FP1,throttle,null_value,detection,0.0004,True
f0f731dffdb2,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0006,False
3c2199cf651d,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0006,True
d28f975c4cf9,spielberg_FP1,engine_temp,null_value,detection,0.0004,True
224dc966d682,spielberg_FP1,g_force_lateral,null_value,detection,0.0004,True
6421c501d37b,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0009,False
1be83746f9d8,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0017,True
10c7c8a4e6ac,spielberg_FP1,ecu_canbus,null_value,detection,0.0004,True
b1ed5dd05e5a,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0008,False
a7e761844692,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0005,True
72823011cde2,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0019,True
a63c0b0b97c8,spielberg_FP1,tyre_pressure,null_value,detection,0.0005,True
8c4197c24bc0,spielberg_FP1,throttle_raw,schema_drift,detection,0.0011,False
f80082fb3cd0,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0017,True
561f32826e45,spielberg_FP1,speed,sensor_dropout,detection,0.0005,True
b2f7309ec09f,spielberg_FP1,aero_load,sensor_dropout,detection,0.0004,True
785494a004df,spielberg_FP1,speed,sensor_dropout,detection,0.0005,True
db125eadcdc7,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0014,False
3687fbbf41a1,spielberg_FP1,aero_load_new,schema_drift,detection,0.0009,False
e670744e2d4b,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0007,True
ca30006502f6,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0005,True
ebcaafff80bf,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0004,True
0affba35414d,spielberg_FP1,rpm,bit_flip_low,detection,0.0024,True
11d73987b74d,spielberg_FP1,rpm,string_in_numeric,detection,0.0006,True
e00c3888edbe,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0033,True
779f320122e0,spielberg_FP1,ecu_canbus,null_value,detection,0.0008,True
dfe55deff9a1,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0008,False
7a50f69d4a3a,spielberg_FP1,aero_load_new,schema_drift,detection,0.001,False
59097c26ac43,spielberg_FP1,engine_temp,bit_flip_high,detection,0.002,True
10b64a305a67,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0009,False
42ecdfba7a0c,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0007,True
9b4dce02e961,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0017,True
f1475dd2290a,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0005,True
cba69404e903,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0005,True
dd5d5ef1ae7a,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0008,False
41b9971ce03d,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0009,True
f15a50dd1e54,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0009,False
bbe1bd5b962c,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0006,True
19aa5cde8f77,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0022,True
16e8c2cf821c,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.001,False
3fd6e4289337,spielberg_FP1,speed,string_in_numeric,detection,0.0006,True
c3060f361694,spielberg_FP1,speed,bit_flip_low,detection,0.002,True
f23919b8b911,spielberg_FP1,rpm,bit_flip_high,detection,0.0017,True
123af8ab88d7,spielberg_FP1,g_force_lateral,null_value,detection,0.0005,True
2bd3978f40e6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0011,False
c753e3f1c377,spielberg_FP1,g_force_lateral,null_value,detection,0.0006,True
a9ccb0afc8c7,spielberg_FP1,g_force_lateral,null_value,detection,0.0005,True
876031bd5a7a,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0011,False
7afac6261ac1,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0009,False
58167997af21,spielberg_FP1,rpm,bit_flip_low,detection,0.0023,True
8aee828580b8,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0004,True
72eb564e702a,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0009,False
160c70904db6,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.001,True
4c674fa96007,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0006,True
e2e094f890c3,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0019,True
b8d40c85002f,spielberg_FP1,rpm,sensor_dropout,detection,0.0005,True
b1eac63c0bea,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0011,False
26f1e703be51,spielberg_FP1,speed,null_value,detection,0.0005,True
a08325398bde,spielberg_FP1,aero_load,sensor_dropout,detection,0.0005,True
6a258523b470,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0008,False
d56922d726a4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0006,False
7f72afc73a62,spielberg_FP1,throttle,bit_flip_high,detection,0.0018,True
bbaeee5fc020,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.001,False
