packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
963f6d835db1,spielberg_FP1,heart_rate,null_value,detection,0.0029,True
f59ec875be07,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0033,True
f210dc422520,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0018,True
de8da138ce7c,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.005,True
48a21ecf396f,spielberg_FP1,engine_temp,null_value,detection,0.0037,True
5c97e1e5ca7c,spielberg_FP1,speed,string_in_numeric,detection,0.0015,True
6dcc8c0886c7,spielberg_FP1,aero_load,string_in_numeric,detection,0.0014,True
d23035bb1196,spielberg_FP1,aero_load,sensor_dropout,detection,0.002,True
76924b8f4276,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0028,True
898683175184,spielberg_FP1,throttle,null_value,detection,0.003,True
6e09384b9bdd,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0015,True
41f9293b09cd,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0017,True
ade48e97f889,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0061,True
f44d70846007,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0045,True
539e46a07252,spielberg_FP1,heart_rate,bit_flip_high,detection,0.004,True
668010fd60cf,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0032,True
b370b44e7416,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0018,True
0dc36c4a726e,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0024,True
7809d051c7d8,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0038,True
c4e7323bfcae,spielberg_FP1,aero_load,null_value,detection,0.0023,True
f07b09082793,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0035,True
304a0a27431b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0029,True
5cd8fb5d58ae,spielberg_FP1,speed_alt,schema_drift,detection,0.0031,True
f698388224a7,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0051,True
8aa2bf62077f,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0016,True
4530511c6c3f,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0029,True
93d11734be79,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0025,True
8820995bc491,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0021,True
b20b67f79e4b,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0025,True
669735501d28,spielberg_FP1,throttle,bit_flip_high,detection,0.005,True
22492647aed5,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0024,True
49ce968b626a,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0037,True
de6d31b2f91f,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0015,True
5f16a9c2ec43,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0038,True
91b798a69d13,spielberg_FP1,rpm,string_in_numeric,detection,0.0013,True
16355ba25503,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0045,True
55bee39c2166,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0025,True
45efcb667106,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0043,True
c548e72a0d21,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0024,True
0e8273ecda3f,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0038,True
fcac65e12409,spielberg_FP1,rpm,null_value,detection,0.0021,True
ff843a61b398,spielberg_FP1,throttle,bit_flip_low,detection,0.0042,True
fae7eebb5a73,spielberg_FP1,rpm,null_value,detection,0.0026,True
2833b0a68447,spielberg_FP1,engine_temp,bit_flip_low,detection,0.004,True
24bc812fa4db,spielberg_FP1,aero_load,string_in_numeric,detection,0.0017,True
6c9cb060f5dd,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0017,True
a058146c601b,spielberg_FP1,speed,null_value,detection,0.0024,True
b779bb96412f,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0042,True
3cf8deb393a3,spielberg_FP1,heart_rate,null_value,detection,0.0021,True
09eeea06d355,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.004,True
caaf0d69f56c,spielberg_FP1,speed,bit_flip_high,detection,0.0038,True
d37fdf54a0e9,spielberg_FP1,throttle,string_in_numeric,detection,0.0015,True
5aefdcd87f2c,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0025,True
dd2b918591fb,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0044,True
c0cf6eaffe3e,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0026,True
b13540ffe9d5,spielberg_FP1,aero_load,sensor_dropout,detection,0.0023,True
bfbfabcf766c,spielberg_FP1,heart_rate,null_value,detection,0.0023,True
