packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
2992754bcaf6,spielberg_FP1,speed,string_in_numeric,detection,0.0062,True
67a49951c873,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0013,True
e526d40f48a0,spielberg_FP1,throttle_v2,schema_drift,detection,0.0035,True
b6fc2d3cc0e4,spielberg_FP1,aero_load,string_in_numeric,detection,0.0015,True
1d0469aef181,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0026,True
19f561ad1b2e,spielberg_FP1,aero_load,string_in_numeric,detection,0.0019,True
7a5fd659c5fb,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0022,True
b10672ef78fe,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0016,True
fcdec075b436,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0011,True
068d5b3e3771,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0012,True
9a107e343260,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.003,True
930c28be8d78,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0025,True
8db8c31c404f,spielberg_FP1,speed,string_in_numeric,detection,0.0012,True
bda53b3cc74f,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
f1208331b578,spielberg_FP1,rpm,string_in_numeric,detection,0.001,True
3beba64d8e00,spielberg_FP1,aero_load_alt,schema_drift,detection,0.003,True
041c06de93cb,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0032,True
627d4285bc3d,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0028,True
761b12288381,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0023,True
c36650322d96,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0033,True
a28f7af813b5,spielberg_FP1,speed_alt,schema_drift,detection,0.003,True
df86fd0831af,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0028,True
b6ff3588652e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0023,True
2c099e7d9684,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0031,True
a5efa9655da8,spielberg_FP1,rpm_new,schema_drift,detection,0.0032,True
cf72f3fa0a99,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0025,True
8c1f57db0eef,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
e391977972bc,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0023,True
99eb53a67bc0,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0013,True
b9926ecf3ee9,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0014,True
10ef1eb0e62f,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0049,True
