packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
525519c66a4a,spielberg_FP1,rpm,string_in_numeric,detection,0.0016,True
6ecdf0a7ac29,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0014,True
62e482c6900d,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0035,True
8b826744620a,spielberg_FP1,speed,string_in_numeric,detection,0.0015,True
6f4e06753921,spielberg_FP1,rpm,string_in_numeric,detection,0.0018,True
2e45129e1107,spielberg_FP1,speed,null_value,detection,0.0022,True
959fd793cc16,spielberg_FP1,speed_raw,schema_drift,detection,0.0032,True
7f59384cd995,spielberg_FP1,brake_temp,bit_flip_low,detection,0.005,True
2a20431cedc2,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0034,True
137482bd1490,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0033,True
455e2a720a63,spielberg_FP1,speed,null_value,detection,0.0021,True
0c473f510d16,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0026,True
5186d061192a,spielberg_FP1,rpm,string_in_numeric,detection,0.005,True
85a233c5aae2,spielberg_FP1,aero_load,bit_flip_high,detection,0.0045,True
ab79b6197de7,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0035,True
4bbc35c24664,spielberg_FP1,throttle_raw,schema_drift,detection,0.003,True
57e77c2d963c,spielberg_FP1,rpm,null_value,detection,0.0029,True
53831d3acd6c,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0045,True
6bc25fb27437,spielberg_FP1,speed,duplicate_timestamp,detection,0.003,True
582af118906c,spielberg_FP1,brake_temp,null_value,detection,0.002,True
af08d177272a,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0022,True
7ea3f5e8dbda,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.008,True
81255087cbe4,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0025,True
f28190b2a97e,spielberg_FP1,g_force_lateral,null_value,detection,0.0022,True
714a6d24387f,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0038,True
17380ea20ef6,spielberg_FP1,rpm,string_in_numeric,detection,0.0012,True
daa2e4d1499e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0024,True
1e15c7bca4f3,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0032,True
312c4cebdae9,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0015,True
3f9a7c69eeff,spielberg_FP1,aero_load,bit_flip_low,detection,0.0048,True
967fdb3c046c,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0035,True
9d431fbb1889,spielberg_FP1,aero_load,sensor_dropout,detection,0.0025,True
a1cc4913baa6,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0035,True
e723902b114d,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0031,True
9cecadb7a518,spielberg_FP1,brake_temp,null_value,detection,0.0021,True
4888e4ce4fc4,spielberg_FP1,heart_rate,sensor_dropout,detection,0.002,True
fe2a4e7097f0,spielberg_FP1,throttle_raw,schema_drift,detection,0.0029,True
52f0ea8a0d78,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0028,True
5cb03b3edc02,spielberg_FP1,speed,sensor_dropout,detection,0.0019,True
7a1353d96596,spielberg_FP1,heart_rate,null_value,detection,0.002,True
6987a68eabb2,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.002,True
162ec0b1cd5b,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0042,True
7c094b154eb0,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0024,True
35e09465e14b,spielberg_FP1,tyre_pressure,null_value,detection,0.0019,True
e8bf0e37b0bb,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.003,True
28e2b85930bf,spielberg_FP1,ecu_canbus,null_value,detection,0.0021,True
34f711cc345e,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0033,True
659cb4c1bc95,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0043,True
14454ab1c8a3,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0042,True
6c42b6292481,spielberg_FP1,speed,bit_flip_low,detection,0.0043,True
7659256fb45f,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0033,True
dfd1173f00f0,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0026,True
0191c94f8832,spielberg_FP1,throttle,sensor_dropout,detection,0.0022,True
ce30de0972c9,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0035,True
3fc44310730c,spielberg_FP1,aero_load,sensor_dropout,detection,0.0021,True
fe6fd9232aa8,spielberg_FP1,g_force_lateral,null_value,detection,0.002,True
035537ae151a,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0023,True
61152aff00f6,spielberg_FP1,rpm,null_value,detection,0.002,True
9a1735aeca69,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0032,True
749279edda82,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0028,True
1bd187b73855,spielberg_FP1,rpm,null_value,detection,0.0023,True
f6af0411162a,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0051,True
a1455a6dac19,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0025,True
6f91f597c897,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0024,True
0fcf0ceefb9e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0012,True
521f77cd7ece,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0038,True
829d2e3c2501,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0042,True
88c112706e33,spielberg_FP1,throttle,bit_flip_low,detection,0.005,True
14454eec63c1,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0025,True
73c44fecee43,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0046,True
eeb3b108bf01,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0021,True
3ebb8afa11ac,spielberg_FP1,engine_temp,null_value,detection,0.002,True
eadc4838898e,spielberg_FP1,aero_load,sensor_dropout,detection,0.002,True
0850cf1c4719,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0026,True
a5f704a85328,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0024,True
4dbb684996eb,spielberg_FP1,heart_rate,null_value,detection,0.002,True
29c0f63861a0,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0042,True
e1af8440d6c9,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0045,True
074b658171a2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0037,True
6ca5b4f043aa,spielberg_FP1,rpm,bit_flip_high,detection,0.0042,True
3fd9843a1b05,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0045,True
e4bd78259820,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0024,True
a9647e7736c6,spielberg_FP1,rpm,null_value,detection,0.0047,True
abaccad2a6fc,spielberg_FP1,aero_load,bit_flip_low,detection,0.0042,True
354100375e4c,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.002,True
443269056cb3,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0037,True
8b487e7906df,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0023,True
cc2e94a46512,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0029,True
6f6945aca6e6,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0035,True
348c81fc1f1c,spielberg_FP1,ecu_canbus,null_value,detection,0.0022,True
193eefc7a879,spielberg_FP1,throttle,bit_flip_low,detection,0.0051,True
4eb87c4a3433,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0027,True
ca6523c598c6,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0045,True
8958e16dcc22,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0028,True
fb11c11d0876,spielberg_FP1,brake_temp,null_value,detection,0.0021,True
67ef8cc2b96e,spielberg_FP1,aero_load,null_value,detection,0.0024,True
f67a587dabe4,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0033,True
a2c4cc8fc02d,spielberg_FP1,throttle_new,schema_drift,detection,0.0029,True
7056a2fbbb34,spielberg_FP1,aero_load_raw,schema_drift,detection,0.003,True
b40af4bad526,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0024,True
ff89342e6067,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0043,True
443bfec2f2d4,spielberg_FP1,brake_temp,null_value,detection,0.002,True
0594d9c67c56,spielberg_FP1,rpm,sensor_dropout,detection,0.0019,True
1fb33e8ec264,spielberg_FP1,speed,string_in_numeric,detection,0.0014,True
4f94c6b6ff2f,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0033,True
8d28295f99a6,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0013,True
50b7404c9f79,spielberg_FP1,g_force_lateral,null_value,detection,0.0026,True
80006537fb8b,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0048,True
6673df3404b5,spielberg_FP1,tyre_pressure,null_value,detection,0.0022,True
68037a3ccb6d,spielberg_FP1,throttle,sensor_dropout,detection,0.0023,True
8a25862b079b,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0059,True
1009bfda4b3d,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0045,True
3188d3ccc63d,spielberg_FP1,speed,duplicate_timestamp,detection,0.003,True
6d53b9d41e21,spielberg_FP1,brake_temp,null_value,detection,0.0024,True
60989c2315dd,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0039,True
4e4d26bd936b,spielberg_FP1,heart_rate,null_value,detection,0.0023,True
359930469923,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0064,True
768090a75ccf,spielberg_FP1,rpm,sensor_dropout,detection,0.0022,True
9f2634e824d2,spielberg_FP1,ecu_canbus,null_value,detection,0.002,True
e60b744eac2d,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0021,True
c8773b974dc1,spielberg_FP1,speed,duplicate_timestamp,detection,0.0025,True
a4c801f35899,spielberg_FP1,throttle,null_value,detection,0.0021,True
028a657de944,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0057,True
dc764e650fd9,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0036,True
e0f872ed2d9f,spielberg_FP1,aero_load,sensor_dropout,detection,0.002,True
7edb5aeaf4d0,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0046,True
bd029b032e83,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0028,True
adfd9dbde1c1,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0021,True
9d5780a32c4a,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0012,True
af434e7a0e82,spielberg_FP1,throttle_raw,schema_drift,detection,0.0031,True
1f86f0d6371a,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0022,True
1c83ffe0d5ca,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0022,True
1f603b9559a5,spielberg_FP1,aero_load,bit_flip_low,detection,0.017,True
e33aabef51fc,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.003,True
42d164b40448,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0035,True
66fd681d9b9a,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0028,True
723987234642,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0022,True
9947bb3c6796,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0043,True
29085a21c037,spielberg_FP1,rpm,null_value,detection,0.0021,True
c2244f7ba861,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0012,True
a8e4d3ea047c,spielberg_FP1,speed,string_in_numeric,detection,0.001,True
6ed5528fdb12,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0025,True
f6cc45219659,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0025,True
ea9afd2ea55f,spielberg_FP1,engine_temp,null_value,detection,0.002,True
b9bdc87cb048,spielberg_FP1,brake_temp,sensor_dropout,detection,0.011,True
2e2a02c02bdf,spielberg_FP1,throttle,bit_flip_low,detection,0.005,True
c4da598c4eff,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0027,True
9cbf50e3e7b9,spielberg_FP1,aero_load,bit_flip_low,detection,0.0038,True
810a98935d54,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0036,True
023c492ecddb,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0022,True
21d47efeec5a,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
2dfc0c750313,spielberg_FP1,speed,string_in_numeric,detection,0.001,True
d159f1db4aaa,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0043,True
c8235ce61e04,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0029,True
2829b8660bc0,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0023,True
9efcb3020416,spielberg_FP1,throttle,string_in_numeric,detection,0.001,True
1234c0246f4a,spielberg_FP1,heart_rate,null_value,detection,0.0018,True
3de855cefe3d,spielberg_FP1,heart_rate,null_value,detection,0.0021,True
c62aa268262f,spielberg_FP1,aero_load,bit_flip_high,detection,0.0043,True
ec515e72615e,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0013,True
076b602147db,spielberg_FP1,rpm,bit_flip_high,detection,0.0047,True
87a1d94ba5b6,spielberg_FP1,engine_temp,null_value,detection,0.0023,True
a83f5c7a7637,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0023,True
80f0cdf90396,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0023,True
ec31b4b4cadb,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0025,True
4905eb0399f9,spielberg_FP1,rpm,bit_flip_low,detection,0.0048,True
6ce31c364be1,spielberg_FP1,rpm,null_value,detection,0.0022,True
4e65680f7028,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0031,True
84d63593e2e6,spielberg_FP1,tyre_pressure,null_value,detection,0.002,True
4fee81b1e53f,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0024,True
c1c8c61bdd8b,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0013,True
e9babe589a94,spielberg_FP1,engine_temp,null_value,detection,0.0022,True
362b1842821f,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.002,True
2501d48df223,spielberg_FP1,brake_temp,bit_flip_high,detection,0.004,True
3efd791c4c3e,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
8abd5475cbab,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0052,True
b86ccdafb36f,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0036,True
06442da28c4d,spielberg_FP1,ecu_canbus,null_value,detection,0.0026,True
7268fc7254ba,spielberg_FP1,heart_rate,sensor_dropout,detection,0.006,True
2cb706bcb5ce,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0028,True
c69df501493a,spielberg_FP1,aero_load,sensor_dropout,detection,0.0022,True
736b041ce474,spielberg_FP1,speed,bit_flip_high,detection,0.0046,True
4c50bdf7ff60,spielberg_FP1,engine_temp,sensor_dropout,detection,0.002,True
a08c9e4fc357,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0037,True
4ec9229cab20,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0023,True
880774fe3631,spielberg_FP1,rpm,null_value,detection,0.0018,True
921db94c593c,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0035,True
ffa32af8a5a0,spielberg_FP1,throttle,sensor_dropout,detection,0.002,True
9b6d4cc2781d,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0012,True
66afc0893009,spielberg_FP1,heart_rate,null_value,detection,0.0021,True
0bfcb7c2a457,spielberg_FP1,rpm,sensor_dropout,detection,0.0019,True
