packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
f0727e11bed7,spielberg_FP1,rpm,string_in_numeric,detection,0.0046,True
2b2b5df547ba,spielberg_FP1,brake_temp,string_in_numeric,detection,0.1168,True
0ba9592adf1c,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0029,True
a09ae20e6888,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0141,True
4f00e6ab61e8,spielberg_FP1,rpm,duplicate_timestamp,detection,0.006,True
37921c53f7ef,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0072,True
86b83801c46c,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0056,True
58d6d56f2ecf,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0029,True
6e49c4edb9a7,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0058,True
1acf360366a8,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0088,True
5589efafefbc,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0065,True
3aa5e86a12d0,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0026,True
4c695e0d09c9,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0049,True
d28e58d9d9b7,spielberg_FP1,speed_alt,schema_drift,detection,0.006,True
f4af9723f59a,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0062,True
3fef399808f1,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0054,True
c91cb1299a02,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0431,True
8ee32982c692,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0059,True
92872a4dcd9a,spielberg_FP1,throttle,string_in_numeric,detection,0.003,True
8eba00e51510,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0027,True
84a2107bea81,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0119,True
5129de6e7a7b,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0072,True
52060552e224,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0053,True
d2e84feb4d4f,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0379,True
7ba5d653185e,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0026,True
d7eb76fce892,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0061,True
a6fe66ffa0f6,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0067,True
853ae5205751,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0123,True
a7c59d7ef38f,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.005,True
cdf6edfc6b83,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0052,True
5df49ed10e30,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.003,True
d67b37021f6c,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0071,True
29375cf8631c,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0055,True
c6aaf525f974,spielberg_FP1,aero_load,string_in_numeric,detection,0.0029,True
de2bbafc2d88,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0362,True
ef1b2181e6fd,spielberg_FP1,speed_new,schema_drift,detection,0.0058,True
bf8e74fbd705,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0068,True
e9befcfea983,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0032,True
