packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
20003db7a83d,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0106,True
62a790ac8dc8,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0055,True
10fc670b7712,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0071,True
bb69633e407b,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.008,True
a4bf6eb3990f,spielberg_FP1,throttle,bit_flip_low,detection,0.0104,True
6a5397f4494e,spielberg_FP1,rpm,string_in_numeric,detection,0.0033,True
cec7d5185003,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0087,True
415e67e3a098,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0063,True
04a33f4cce12,spielberg_FP1,speed,bit_flip_low,detection,0.0077,True
f2bf9d8b8a80,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0114,True
e391c02321d8,spielberg_FP1,speed,bit_flip_low,detection,0.0074,True
e14ab66516b1,spielberg_FP1,aero_load,null_value,detection,0.0049,True
76c9cee10812,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0074,True
18aaec1498ad,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0061,True
90f6019fe459,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0033,True
c135f9a2f0c6,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0023,True
acd3b5863566,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0088,True
dd74fc512e83,spielberg_FP1,aero_load,bit_flip_high,detection,0.0088,True
8b7cb4b42759,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.007,True
1090b04afe29,spielberg_FP1,speed,bit_flip_high,detection,0.0082,True
63a750f3ac54,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0069,True
6c4301beefef,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0056,True
ee635ce3687b,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.005,True
8f1e339eece7,spielberg_FP1,rpm,null_value,detection,0.0048,True
5ac9bc230f73,spielberg_FP1,throttle_alt,schema_drift,detection,0.0065,True
220a68de1bed,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.005,True
b5786d5cf00b,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0048,True
5bcdbec0ca81,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0083,True
e00c87e37731,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0064,True
59a36ec7772b,spielberg_FP1,speed,bit_flip_high,detection,0.0068,True
d66de2e7edd2,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0054,True
08b2b4f46a71,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0067,True
8db646906209,spielberg_FP1,g_force_lateral,null_value,detection,0.004,True
b79f0ca57cb3,spielberg_FP1,speed_new,schema_drift,detection,0.0056,True
cd135b9cc227,spielberg_FP1,aero_load,bit_flip_low,detection,0.0303,True
318d3e4ff488,spielberg_FP1,aero_load,bit_flip_low,detection,0.0096,True
4070f9690a6a,spielberg_FP1,rpm,string_in_numeric,detection,0.0036,True
62ed3dba5605,spielberg_FP1,throttle,sensor_dropout,detection,0.0057,True
637b0eb7ecef,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
78250e4931ee,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.006,True
62920f7120a8,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
020b89e0a06f,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.018,True
7c5019aa1887,spielberg_FP1,aero_load_new,schema_drift,detection,0.0763,True
a85f54867c70,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0058,True
dc1016f12fa4,spielberg_FP1,speed,bit_flip_high,detection,0.008,True
d88836ef89d4,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.005,True
1b537c7079c7,spielberg_FP1,rpm,bit_flip_high,detection,0.0073,True
f68becaadf1f,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0065,True
629896e7d63e,spielberg_FP1,aero_load,bit_flip_high,detection,0.0061,True
11c384f3f484,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0042,True
cd52d140b5a9,spielberg_FP1,aero_load_raw,schema_drift,detection,0.006,True
e90e9827f3ca,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0082,True
d76aa5bb32b3,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0029,True
e0e59a3123b2,spielberg_FP1,speed,sensor_dropout,detection,0.0056,True
862fab564f12,spielberg_FP1,rpm,string_in_numeric,detection,0.0031,True
4e2383f338e6,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0042,True
9b64d0896054,spielberg_FP1,rpm,bit_flip_low,detection,0.0101,True
d42655278e32,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
7217b0c56728,spielberg_FP1,engine_temp,string_in_numeric,detection,0.003,True
e604c7631b9c,spielberg_FP1,aero_load,sensor_dropout,detection,0.005,True
1b2dc6be6077,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.008,True
676070c954e4,spielberg_FP1,speed,duplicate_timestamp,detection,0.0049,True
189531317393,spielberg_FP1,ecu_canbus,null_value,detection,0.004,True
c38800371db6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0042,True
1732d1a9c3b7,spielberg_FP1,aero_load,null_value,detection,0.004,True
e095cd1ea091,spielberg_FP1,throttle,bit_flip_high,detection,0.01,True
10dcb6025f43,spielberg_FP1,g_force_lateral,null_value,detection,0.0054,True
7e38d1d750ee,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0095,True
f472efbea399,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0197,True
a3a39d367618,spielberg_FP1,speed,string_in_numeric,detection,0.0037,True
e0e820896c72,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0045,True
47ae4ed6ed5d,spielberg_FP1,aero_load,string_in_numeric,detection,0.0032,True
89877d9f5c70,spielberg_FP1,rpm,string_in_numeric,detection,0.0025,True
7b3eaf2b1602,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0055,True
8f9b2effa2bb,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0088,True
d7a5fb13a3b4,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0088,True
9faf193c0291,spielberg_FP1,engine_temp,null_value,detection,0.0049,True
c45c8c737975,spielberg_FP1,rpm,bit_flip_high,detection,0.0088,True
4a4971e9a576,spielberg_FP1,brake_temp,null_value,detection,0.0046,True
4e961cd7319b,spielberg_FP1,speed_raw,schema_drift,detection,0.0071,True
f5f57c89e899,spielberg_FP1,rpm,sensor_dropout,detection,0.0059,True
90ab25ea56a0,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.006,True
e715b5f9254c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0062,True
a75401196831,spielberg_FP1,throttle,null_value,detection,0.0045,True
bfaf230b7e72,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0088,True
37cd51752db8,spielberg_FP1,rpm,bit_flip_high,detection,0.0079,True
0ab67c3796c2,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0065,True
94f052179652,spielberg_FP1,aero_load,bit_flip_high,detection,0.0063,True
e797e6feab2d,spielberg_FP1,rpm,sensor_dropout,detection,0.004,True
c49bf7b88dd6,spielberg_FP1,rpm,sensor_dropout,detection,0.0038,True
7efeae4b50e2,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0069,True
bf86dd81e580,spielberg_FP1,rpm,null_value,detection,0.0046,True
a2ce81d25170,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0055,True
8c8e55841081,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.004,True
3957fc09fda6,spielberg_FP1,throttle,bit_flip_high,detection,0.0133,True
3d6f44c1e4c9,spielberg_FP1,heart_rate,bit_flip_high,detection,0.009,True
72d409a3aa24,spielberg_FP1,rpm_raw,schema_drift,detection,0.0067,True
b20997c17454,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0088,True
248227370c37,spielberg_FP1,aero_load,bit_flip_high,detection,0.0113,True
db2e0c406fba,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0045,True
23abb33e2933,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0069,True
a7c860a5fed7,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.005,True
650564b4c2f8,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0043,True
330e32bff102,spielberg_FP1,rpm,sensor_dropout,detection,0.0042,True
5f28731dee71,spielberg_FP1,speed,duplicate_timestamp,detection,0.0056,True
3edd6dc0accd,spielberg_FP1,speed,null_value,detection,0.0138,True
3667a3632346,spielberg_FP1,rpm,string_in_numeric,detection,0.0062,True
8e14116d0ea8,spielberg_FP1,speed,bit_flip_low,detection,0.0091,True
e81dd68d2e95,spielberg_FP1,engine_temp,null_value,detection,0.0054,True
6133f2323ddf,spielberg_FP1,rpm,bit_flip_low,detection,0.0091,True
9110c7a2da28,spielberg_FP1,rpm,sensor_dropout,detection,0.0041,True
9f2d3d8727a5,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0072,True
133af272bc18,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0051,True
1b10fcaf25df,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.006,True
5e9b2de57274,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0045,True
39d5a74f6c23,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0065,True
cee7dc0cb3e0,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0068,True
