packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
934120c7fd77,spielberg_FP2,engine_temp_alt,schema_drift,detection,0.0141,True
f8a06c5922c4,spielberg_FP2,aero_load,string_in_numeric,detection,0.0027,True
7ba4e12f1220,spielberg_FP2,tyre_pressure_new,schema_drift,detection,0.0063,True
198bd1030a65,spielberg_FP3,tyre_pressure,duplicate_timestamp,detection,0.005,True
f49e487dfb9d,spielberg_QUALI,brake_temp_canbus,schema_drift,detection,0.0085,True
324068e211ea,spielberg_RACE,throttle,duplicate_timestamp,detection,0.0054,True
b87f9e8d4b41,spielberg_RACE,g_force_lateral_v2,schema_drift,detection,0.0077,True
984d162882ac,silverstone_FP1,ecu_canbus,duplicate_timestamp,detection,0.0076,True
d7c5fe4a9b54,silverstone_FP1,tyre_pressure,duplicate_timestamp,detection,0.0051,True
bcaf890e6c52,silverstone_FP1,aero_load,duplicate_timestamp,detection,0.0051,True
206e94fb498b,silverstone_FP2,speed,duplicate_timestamp,detection,0.0048,True
18c7ba6c3ca4,silverstone_FP2,ecu_canbus,string_in_numeric,detection,0.0027,True
e45f13c10d99,silverstone_QUALI,engine_temp,duplicate_timestamp,detection,0.0073,True
96daa9e70a47,silverstone_QUALI,aero_load,duplicate_timestamp,detection,0.0052,True
eeac280e54a3,silverstone_QUALI,speed,string_in_numeric,detection,0.0025,True
664322aa4951,silverstone_QUALI,tyre_pressure,duplicate_timestamp,detection,0.005,True
e1eefa824a10,silverstone_QUALI,ecu_canbus_raw,schema_drift,detection,0.0145,True
c2d27c49616f,silverstone_QUALI,tyre_pressure_new,schema_drift,detection,0.0101,True
4e5c4ef33bd2,silverstone_RACE,tyre_pressure,duplicate_timestamp,detection,0.0051,True
b0d8fc2f8261,silverstone_RACE,throttle,string_in_numeric,detection,0.0025,True
991ae1f315b3,budapest_FP1,heart_rate,string_in_numeric,detection,0.0028,True
72bbda123226,budapest_FP1,aero_load,string_in_numeric,detection,0.0027,True
5d80209e199c,budapest_FP1,brake_temp_canbus,schema_drift,detection,0.0068,True
d439f3fb1b41,budapest_FP1,speed,duplicate_timestamp,detection,0.0052,True
914d818558ab,budapest_FP2,aero_load_new,schema_drift,detection,0.006,True
c916a96ec4ce,budapest_FP2,engine_temp_raw,schema_drift,detection,0.0061,True
eb7684947017,budapest_FP3,brake_temp_v2,schema_drift,detection,0.0277,True
00e3641b5534,budapest_FP3,aero_load_alt,schema_drift,detection,0.0056,True
0ee8fdd71e31,budapest_FP3,tyre_pressure,string_in_numeric,detection,0.0026,True
78313e015134,budapest_QUALI,engine_temp,string_in_numeric,detection,0.0025,True
4f3a326180c3,budapest_QUALI,rpm,string_in_numeric,detection,0.0025,True
9839126a1527,budapest_RACE,heart_rate,string_in_numeric,detection,0.0025,True
984d162882ac,,,dlq_repair,repair,0.1645,True
18c7ba6c3ca4,,,dlq_repair,repair,0.0181,False
e45f13c10d99,,,dlq_repair,repair,0.0307,True
78313e015134,,,dlq_repair,repair,0.0108,False
f8a06c5922c4,,,dlq_repair,repair,0.0085,False
198bd1030a65,,,dlq_repair,repair,0.0183,True
324068e211ea,,,dlq_repair,repair,0.0158,True
d7c5fe4a9b54,,,dlq_repair,repair,0.0144,True
bcaf890e6c52,,,dlq_repair,repair,0.0146,True
206e94fb498b,,,dlq_repair,repair,0.0157,True
96daa9e70a47,,,dlq_repair,repair,0.0142,True
eeac280e54a3,,,dlq_repair,repair,0.0062,False
664322aa4951,,,dlq_repair,repair,0.0142,True
4e5c4ef33bd2,,,dlq_repair,repair,0.0145,True
b0d8fc2f8261,,,dlq_repair,repair,0.0047,False
991ae1f315b3,,,dlq_repair,repair,0.0081,False
72bbda123226,,,dlq_repair,repair,0.0047,False
d439f3fb1b41,,,dlq_repair,repair,0.0179,True
0ee8fdd71e31,,,dlq_repair,repair,0.0046,False
4f3a326180c3,,,dlq_repair,repair,0.0044,False
9839126a1527,,,dlq_repair,repair,0.0047,False
