packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
6054420fed7c,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0025,True
f36b4c079b47,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0047,True
0b937ed6bc4a,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0024,True
e5a138ab10ca,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0055,True
48f3b64be503,spielberg_FP1,speed,string_in_numeric,detection,0.0024,True
12d6d27277cc,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0061,True
4704bbfe879f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0025,True
bdfb7222fb35,spielberg_FP1,throttle_canbus,schema_drift,detection,0.006,True
182340be1676,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0048,True
bce61b4417c0,spielberg_FP1,rpm,string_in_numeric,detection,0.0023,True
0e723cf9678e,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0053,True
eedef971e636,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
d2eb96d117d9,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0056,True
e345ca97e47b,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0063,True
04b7c3e1d619,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0052,True
12003a5f2f7c,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0053,True
34d74479516c,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0064,True
98d3f8450e4a,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0026,True
96dde3092f19,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0051,True
ab1f966b5470,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0025,True
58e14c2721b4,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0048,True
9990ef2d32cc,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0062,True
