packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
d7938a8d4805,spielberg_FP1,rpm_new,schema_drift,detection,0.0068,True
3b12937ded3f,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0054,True
bc805e7569a0,spielberg_FP1,rpm_v2,schema_drift,detection,0.0059,True
aae64853e428,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0055,True
f96b9db59f21,spielberg_FP1,throttle,string_in_numeric,detection,0.0027,True
08fc89304a69,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0045,True
6032ac10e328,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0206,True
7ab052cd7cad,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.006,True
ba2ff364ab5f,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0048,True
05f9b93163c9,spielberg_FP1,rpm,duplicate_timestamp,detection,0.004,True
57258a203868,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0025,True
e15721751298,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0053,True
33db04a7c422,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0027,True
3d5691b05b61,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0058,True
b958f14ece9b,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0048,True
bff93947d904,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
db51926a8a7e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0022,True
6d6f85adf9c5,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0057,True
c4fa0bf2dae0,spielberg_FP1,speed,string_in_numeric,detection,0.0027,True
28ea92979d05,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
0a77ef9c2554,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0058,True
88fd4957e599,spielberg_FP1,speed,duplicate_timestamp,detection,0.0045,True
35a6b0ec38b0,spielberg_FP1,throttle_new,schema_drift,detection,0.0108,True
6ae140fa1021,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0045,True
145d1a87619f,spielberg_FP1,rpm_canbus,schema_drift,detection,0.006,True
f032833b8bf3,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0023,True
bd9127ff3ad8,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0052,True
0a8db3afba1f,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0058,True
bac605b64fcb,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0057,True
c9d2182efdab,spielberg_FP1,speed,duplicate_timestamp,detection,0.0045,True
213c15d72767,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0055,True
34e82c85c2fc,spielberg_FP1,speed_v2,schema_drift,detection,0.0057,True
1d627de4f7be,spielberg_FP1,rpm_v2,schema_drift,detection,0.006,True
573ce0463a47,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0026,True
972bd1aeb4a5,spielberg_FP1,rpm_v2,schema_drift,detection,0.0057,True
44d1aad05229,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0027,True
0ccc8b15096f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0056,True
090310a67619,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0024,True
c267d6189594,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.006,True
026b37088b5f,spielberg_FP1,throttle,string_in_numeric,detection,0.0023,True
59611a56e122,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
6916355fa827,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0024,True
4abeaacc3816,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0048,True
ad84db5fd2fa,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0044,True
379224278e5a,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0057,True
8672d4ad5d0e,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0055,True
8e40f059cd75,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0045,True
affbad1fcb8f,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0055,True
0570eefdb131,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0028,True
ececf6268ca0,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
ba8b3efb39ea,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0049,True
b13392ca3bee,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0026,True
fa7abd1484be,spielberg_FP1,throttle,string_in_numeric,detection,0.0025,True
77394055ad81,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0048,True
9087a4102ef0,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0045,True
a8ec20120403,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
265320dbce22,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.005,True
8a6f63f74562,spielberg_FP1,throttle_new,schema_drift,detection,0.006,True
8ceb1c44513a,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0051,True
94ad2cea5487,spielberg_FP1,rpm_raw,schema_drift,detection,0.0067,True
cd37ee3706e0,spielberg_FP1,aero_load_new,schema_drift,detection,0.0064,True
840ae0227e23,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0059,True
82f008476a96,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0052,True
9238a74f43f1,spielberg_FP1,aero_load_new,schema_drift,detection,0.0059,True
f8d9295ea0d1,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0053,True
c729561c82c8,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0059,True
15b8217deedb,spielberg_FP1,speed,string_in_numeric,detection,0.0025,True
9952a1515bb8,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0026,True
f9929fb2f935,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0025,True
e11b33b52d4f,spielberg_FP1,speed,string_in_numeric,detection,0.0019,True
b4733f92a99c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0048,True
217bcedd2e96,spielberg_FP1,speed,string_in_numeric,detection,0.0028,True
cf48b1bf2619,spielberg_FP1,throttle,string_in_numeric,detection,0.0021,True
aea1b83d70d1,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0021,True
bc0e8007f338,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0054,True
22b17dc4fb35,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0055,True
0b21f0a1c269,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.005,True
fdd1e1dd44f4,spielberg_FP1,throttle,string_in_numeric,detection,0.0023,True
beb060ddf177,spielberg_FP1,speed_v2,schema_drift,detection,0.0055,True
ee9c32489fc6,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0045,True
4d75754b500c,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0059,True
38e50be364bb,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0022,True
4ef03ae702ed,spielberg_FP1,aero_load,string_in_numeric,detection,0.0022,True
3d8f35d65a50,spielberg_FP1,engine_temp,string_in_numeric,detection,0.002,True
95180b228109,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0053,True
05c188b24b73,spielberg_FP1,speed,string_in_numeric,detection,0.0022,True
dc29b8274ae0,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0047,True
80e742db812b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0049,True
8b7451937cfb,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.005,True
e623c6755666,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
4465c44aa4a1,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0027,True
ebc4ff27e5b2,spielberg_FP1,rpm,string_in_numeric,detection,0.0025,True
a313af80a85e,spielberg_FP1,rpm_new,schema_drift,detection,0.0061,True
b4e7ed69d562,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
5a309c93e49d,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0047,True
55d28f82b77f,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0058,True
cdcabfc81592,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
1ff6b65446fd,spielberg_FP1,speed,string_in_numeric,detection,0.0027,True
376c23f4ceae,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0052,True
7f3e925924fe,spielberg_FP1,speed,duplicate_timestamp,detection,0.0055,True
b190023ff5be,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.005,True
11d9dc1b0577,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0065,True
453318448ba7,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0058,True
cbdbe76f403b,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0028,True
8ee2307c7aa4,spielberg_FP1,throttle,string_in_numeric,detection,0.0024,True
8624f4ff742b,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0049,True
c075fe4c4917,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0067,True
