packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
efe701baf078,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0106,True
db254c9f3001,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0288,True
c796cd212d93,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0069,True
90649ac81cc0,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0032,True
d8f9e094f551,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0028,True
fb76e112b73d,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0023,True
5998cc5e5ed2,spielberg_FP1,aero_load_new,schema_drift,detection,0.0063,True
b128f8386269,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0046,True
66e48c38ac29,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0164,True
88d92d6aa351,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0096,True
7c56b58bca06,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0097,True
4103500cb0ce,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0064,True
b6cf60d66ae6,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0046,True
b201f19aa560,spielberg_FP1,tyre_pressure,null_value,detection,0.0052,True
2c46b6bea04d,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0057,True
fef90116def3,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0022,True
6cbb99c52013,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0114,True
a4d5377ff53b,spielberg_FP1,speed,bit_flip_high,detection,0.0108,True
6e9be980499c,spielberg_FP1,rpm,string_in_numeric,detection,0.0028,True
53b91a4a47a6,spielberg_FP1,speed_alt,schema_drift,detection,0.0061,True
1bd2050f7c2c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0047,True
700ca4f466ae,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0065,True
3fab007a4e4e,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0067,True
c90d12573557,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0098,True
44dab4cf27dd,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0068,True
b8883228ecec,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0063,True
8071324def8e,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0047,True
22aecc957ca5,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0055,True
633926cdf031,spielberg_FP1,speed_new,schema_drift,detection,0.006,True
c4936a1f57fb,spielberg_FP1,rpm,sensor_dropout,detection,0.0043,True
375277402bea,spielberg_FP1,throttle,bit_flip_high,detection,0.0099,True
54fe1f2e597b,spielberg_FP1,brake_temp,bit_flip_low,detection,0.007,True
970c67f518a3,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0051,True
56aff7998b4b,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0045,True
5350a21a5f45,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0036,True
ff6d1db6baa6,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0078,True
f1e261ac028c,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0067,True
e6387f04fda6,spielberg_FP1,g_force_lateral,null_value,detection,0.0039,True
28b133c331d2,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0058,True
bedebf11c867,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.006,True
6b9e0a6e3be9,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0045,True
63212036dc0b,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.004,True
447122040e4f,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0053,True
5103354c0bca,spielberg_FP1,rpm,duplicate_timestamp,detection,0.004,True
93f7b51d4447,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0041,True
aba3c26fe970,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0049,True
09220c61dc5b,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0178,True
b3479d5476b3,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0032,True
042cef1ef29c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.005,True
f0abef117fee,spielberg_FP1,speed,bit_flip_high,detection,0.0107,True
f7e6e8d7c6d6,spielberg_FP1,g_force_lateral,null_value,detection,0.0042,True
386fcd8e9c39,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0038,True
e3200b35676f,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0057,True
8ba997b67b3c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0046,True
3570677aad26,spielberg_FP1,speed,null_value,detection,0.0043,True
fd6490986cee,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0048,True
38acdcc67028,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0074,True
225cff680d25,spielberg_FP1,aero_load,bit_flip_low,detection,0.0081,True
cba2e09dce5a,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0141,True
e4daa974b304,spielberg_FP1,ecu_canbus,null_value,detection,0.0081,True
8ea9dbcc9adb,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0101,True
21177286f7a1,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0059,True
07877ec1176f,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0081,True
fb857b795ae3,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0045,True
a759fee69040,spielberg_FP1,aero_load,sensor_dropout,detection,0.004,True
9c9383140591,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0039,True
c5064e82f502,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0062,True
52a6829c7d13,spielberg_FP1,speed,null_value,detection,0.0038,True
