packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
8d94db7fd25c,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0042,True
03c9a17f5e06,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0028,True
9a84cf4a2deb,spielberg_FP1,aero_load,null_value,detection,0.0022,True
ac46032d923b,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.002,True
93fcf512cfab,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0016,True
ce0e1fae353a,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0038,True
a91b29ac4ba0,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0023,True
45a9be673d58,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0024,True
cbbfb808bfcf,spielberg_FP1,aero_load,bit_flip_low,detection,0.0047,True
620354ea55e5,spielberg_FP1,speed,bit_flip_high,detection,0.0038,True
648d6c1b8bbe,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0021,True
158499ecddc8,spielberg_FP1,speed_canbus,schema_drift,detection,0.0032,True
c9e14b717d64,spielberg_FP1,heart_rate,null_value,detection,0.0018,True
58d5615bdb6a,spielberg_FP1,rpm,bit_flip_low,detection,0.0045,True
87a0ffc89243,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0014,True
2164c1c69e8e,spielberg_FP1,heart_rate,null_value,detection,0.0022,True
d4a0d7cdd818,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
be73d3d63afc,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0027,True
714a447dec7f,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0039,True
6f3d31e1273d,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0031,True
6a1aecbc5910,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0044,True
63ec096b1c1d,spielberg_FP1,speed,sensor_dropout,detection,0.0025,True
07fdca834e8d,spielberg_FP1,tyre_pressure,null_value,detection,0.0019,True
5b60d425ced9,spielberg_FP1,speed,null_value,detection,0.0022,True
e61b99f816bb,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0028,True
7429c5104e30,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0024,True
44a415f92ee2,spielberg_FP1,aero_load,bit_flip_high,detection,0.0038,True
2621d5181a34,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0033,True
3cb5fb888390,spielberg_FP1,speed,bit_flip_low,detection,0.0036,True
