packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
a150fd1e89c8,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0061,True
461767e0a02e,spielberg_FP2,rpm,duplicate_timestamp,detection,0.0048,True
6cc23003953f,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0031,True
77867e8c6f53,spielberg_FP2,speed_v2,schema_drift,detection,0.0063,True
75bbb6d9e58a,spielberg_FP2,speed_v2,schema_drift,detection,0.006,True
35b4fd120481,spielberg_FP3,heart_rate_new,schema_drift,detection,0.0062,True
291bb4bfb658,spielberg_FP3,aero_load_canbus,schema_drift,detection,0.0068,True
bba09d2c18fc,spielberg_FP3,speed_alt,schema_drift,detection,0.006,True
4f8547d7e9d5,spielberg_FP3,speed,duplicate_timestamp,detection,0.0101,True
bce090ad7f35,spielberg_FP3,g_force_lateral_new,schema_drift,detection,0.008,True
0fb52907c222,spielberg_FP3,aero_load,duplicate_timestamp,detection,0.0052,True
adc0b4289521,spielberg_QUALI,aero_load_raw,schema_drift,detection,0.0064,True
f7dac33bf2f5,spielberg_QUALI,heart_rate_v2,schema_drift,detection,0.006,True
ac4ab7427b79,spielberg_QUALI,speed,string_in_numeric,detection,0.003,True
577d205b7b1f,silverstone_FP2,aero_load,string_in_numeric,detection,0.0026,True
3911efb69f82,silverstone_FP2,speed,string_in_numeric,detection,0.0023,True
109ed0f6bb8d,silverstone_FP2,aero_load_raw,schema_drift,detection,0.0084,True
b742e8e74c68,silverstone_FP3,heart_rate,duplicate_timestamp,detection,0.0047,True
1f54ccbe9b3b,silverstone_FP3,tyre_pressure,duplicate_timestamp,detection,0.0052,True
735f2d5f393a,silverstone_QUALI,rpm,string_in_numeric,detection,0.0025,True
6298e7b8c0c3,silverstone_QUALI,brake_temp,duplicate_timestamp,detection,0.0051,True
6a1307acfa49,silverstone_RACE,ecu_canbus,duplicate_timestamp,detection,0.0051,True
db7c7786d314,silverstone_RACE,throttle,string_in_numeric,detection,0.0025,True
205f3a9dd0c5,silverstone_RACE,aero_load,string_in_numeric,detection,0.0046,True
1f8a2b8fe078,budapest_FP1,aero_load_canbus,schema_drift,detection,0.0184,True
96fc7a980425,budapest_FP2,tyre_pressure_alt,schema_drift,detection,0.0135,True
7fba24e73f02,budapest_FP2,tyre_pressure,duplicate_timestamp,detection,0.0049,True
f908bcc24bd0,budapest_FP2,heart_rate,string_in_numeric,detection,0.0026,True
7cb4a6dea6ab,budapest_FP3,brake_temp_v2,schema_drift,detection,0.0066,True
592d1a506136,budapest_FP3,tyre_pressure,string_in_numeric,detection,0.0029,True
c1c75be66d0c,budapest_QUALI,ecu_canbus,string_in_numeric,detection,0.0025,True
560588cf0d71,budapest_QUALI,rpm,string_in_numeric,detection,0.0025,True
67f37f060647,budapest_RACE,ecu_canbus,string_in_numeric,detection,0.0075,True
1aa64eae2256,budapest_RACE,tyre_pressure,string_in_numeric,detection,0.003,True
cc28e75ea65a,budapest_RACE,engine_temp,string_in_numeric,detection,0.0025,True
6cc23003953f,,,dlq_repair,repair,0.0362,False
6298e7b8c0c3,,,dlq_repair,repair,0.4627,False
6a1307acfa49,,,dlq_repair,repair,0.0277,True
c1c75be66d0c,,,dlq_repair,repair,0.0152,False
67f37f060647,,,dlq_repair,repair,0.0108,False
cc28e75ea65a,,,dlq_repair,repair,0.0098,False
461767e0a02e,,,dlq_repair,repair,0.021,True
4f8547d7e9d5,,,dlq_repair,repair,0.0171,True
0fb52907c222,,,dlq_repair,repair,0.0157,True
ac4ab7427b79,,,dlq_repair,repair,0.0144,False
577d205b7b1f,,,dlq_repair,repair,0.0085,False
3911efb69f82,,,dlq_repair,repair,0.0049,False
b742e8e74c68,,,dlq_repair,repair,0.0239,True
1f54ccbe9b3b,,,dlq_repair,repair,0.0155,True
735f2d5f393a,,,dlq_repair,repair,0.0044,False
db7c7786d314,,,dlq_repair,repair,0.0048,False
205f3a9dd0c5,,,dlq_repair,repair,0.0205,False
7fba24e73f02,,,dlq_repair,repair,0.0191,True
f908bcc24bd0,,,dlq_repair,repair,0.0043,False
592d1a506136,,,dlq_repair,repair,0.0049,False
560588cf0d71,,,dlq_repair,repair,0.0037,False
1aa64eae2256,,,dlq_repair,repair,0.0032,False
