packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
c2c9efcb6d93,spielberg_FP1,throttle,bit_flip_low,detection,0.0042,True
fe696e3230da,spielberg_FP1,throttle_alt,schema_drift,detection,0.0031,True
874a3a1e6ce3,spielberg_FP1,speed,bit_flip_high,detection,0.0037,True
51d5c7b671c1,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0017,True
02b7c89463b5,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0032,True
ccf1f4556cb7,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.003,True
0127bbf812cb,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0029,True
1190a81ca14a,spielberg_FP1,heart_rate,sensor_dropout,detection,0.002,True
39f0c19ca8fd,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.003,True
a0d34d3809ee,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0029,True
0adba306f6f6,spielberg_FP1,rpm,bit_flip_high,detection,0.0047,True
870522538502,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0024,True
b82ac09d782e,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0038,True
3531a7435a1f,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0034,True
12f4e90d86cc,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0033,True
e34e8cc81345,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0029,True
6424a60c29d7,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0041,True
ea773d021acc,spielberg_FP1,throttle,string_in_numeric,detection,0.0013,True
7594b735c0bd,spielberg_FP1,ecu_canbus,null_value,detection,0.0021,True
34a6704f14fb,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0043,True
73f694ac16c6,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0035,True
ba1b30d69821,spielberg_FP1,tyre_pressure,null_value,detection,0.002,True
43d75b5cafe7,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0025,True
38719544c6e6,spielberg_FP1,rpm,bit_flip_low,detection,0.0043,True
7f95c40d1c06,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0044,True
55b102b29908,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0022,True
024d0a32e2cd,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0021,True
f4d033a3b0a2,spielberg_FP1,aero_load,sensor_dropout,detection,0.0022,True
a1ab7560d381,spielberg_FP1,engine_temp,bit_flip_low,detection,0.004,True
68c07caa4623,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0037,True
236e12129278,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0012,True
ce653a4d6af2,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0022,True
8d6808b4c1a4,spielberg_FP1,rpm_alt,schema_drift,detection,0.0032,True
f6e3bd48f72f,spielberg_FP1,heart_rate,null_value,detection,0.0023,True
8e54967869ad,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0022,True
9fc1e5074fcf,spielberg_FP1,brake_temp,null_value,detection,0.0022,True
d4784c7ed47c,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0042,True
19b56bbf3f25,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0021,True
a6268115afde,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0019,True
132d884edd2a,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0035,True
72257fe801d3,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.002,True
7621774e1e68,spielberg_FP1,speed,string_in_numeric,detection,0.0013,True
c73a459b9236,spielberg_FP1,throttle,null_value,detection,0.0021,True
8442dbe31786,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0012,True
4d63df32b49e,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0023,True
cadc8dcb7bad,spielberg_FP1,ecu_canbus,null_value,detection,0.0021,True
45ee6c7116ef,spielberg_FP1,throttle,sensor_dropout,detection,0.0022,True
0bc651fdc455,spielberg_FP1,g_force_lateral,null_value,detection,0.0022,True
42c82e2f4938,spielberg_FP1,rpm,sensor_dropout,detection,0.002,True
d27e29820d43,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.004,True
537b55ac7b9a,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0022,True
b728948c0c2a,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0023,True
ce8bce2d0fda,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0037,True
bb204e4fe465,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0014,True
4f3bf2d91235,spielberg_FP1,speed,bit_flip_high,detection,0.0036,True
8a3ea3f76763,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.004,True
225de951c01f,spielberg_FP1,heart_rate,null_value,detection,0.002,True
64c1bf0b04d1,spielberg_FP1,g_force_lateral,null_value,detection,0.0021,True
5277848a3fa2,spielberg_FP1,rpm,sensor_dropout,detection,0.002,True
7d5a61783047,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0037,True
c18e8ffa68a8,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0012,True
85a5acddb6c0,spielberg_FP1,throttle,bit_flip_high,detection,0.0036,True
6b4f77a64e86,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0023,True
ee727a2d1696,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0034,True
bb91ff198dea,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0046,True
b2f58202c67c,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0032,True
3019c8d875c4,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0023,True
9a6a6ab0d433,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0023,True
4d8ebbe2d26c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0012,True
2559ff2acf38,spielberg_FP1,g_force_lateral,null_value,detection,0.0022,True
d55b4c4ea0b4,spielberg_FP1,rpm_alt,schema_drift,detection,0.0031,True
146a2ab78406,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0038,True
b2299672137b,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0023,True
5bad4c1c093e,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0027,True
35588d7ce291,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0035,True
b2c6fc8aff68,spielberg_FP1,tyre_pressure,null_value,detection,0.002,True
6d4a181fec76,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0012,True
0c8508e22b63,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0029,True
c6dc3b06581d,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0014,True
4e7e1f29819f,spielberg_FP1,g_force_lateral,null_value,detection,0.002,True
ac8d33c22ad2,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0022,True
736f62916abc,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0023,True
23656cfb90a1,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0038,True
0b7318af1927,spielberg_FP1,aero_load,bit_flip_high,detection,0.0033,True
3fd2eb491ca8,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0033,True
b419dba99bc4,spielberg_FP1,aero_load,bit_flip_low,detection,0.0059,True
e15fa500de78,spielberg_FP1,heart_rate,bit_flip_high,detection,0.004,True
dbe1e3ec0040,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0013,True
d79cf452ad39,spielberg_FP1,heart_rate,string_in_numeric,detection,0.001,True
e3a20970c26e,spielberg_FP1,engine_temp,null_value,detection,0.0021,True
ded9f84d3591,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0044,True
f3156e16b4cc,spielberg_FP1,throttle,bit_flip_low,detection,0.0035,True
97837b51e655,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0024,True
d2e484b52037,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0029,True
