packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3bb48ee7641a,spielberg_FP1,throttle_alt,schema_drift,detection,0.0059,True
589ad953aeb0,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.005,True
c26b160f1d59,spielberg_FP1,rpm_new,schema_drift,detection,0.0063,True
fd049e2bc36f,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0056,True
17c284b09ab3,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.005,True
7f3de6dca2de,spielberg_FP1,throttle_raw,schema_drift,detection,0.0063,True
065ddfad7d8e,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0069,True
dace3c40d892,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.005,True
1882ac75c6a2,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.006,True
9a69dbc7c44b,spielberg_FP1,speed_new,schema_drift,detection,0.0072,True
42e9ff606749,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0052,True
c5a92f641d32,spielberg_FP1,throttle,duplicate_timestamp,detection,0.005,True
2b7e95ba85a1,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0068,True
21f2bf027c5b,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0035,True
bf50a05feff4,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
227a7ecb6988,spielberg_FP1,speed,duplicate_timestamp,detection,0.0052,True
6fe9dd2cc3c8,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.005,True
2cc37fec8911,spielberg_FP1,rpm,string_in_numeric,detection,0.0024,True
89a15a9f63ba,spielberg_FP1,aero_load,string_in_numeric,detection,0.0022,True
757beea2126b,spielberg_FP1,throttle,duplicate_timestamp,detection,0.005,True
152da0aa9415,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0052,True
c9dcf72d7160,spielberg_FP1,speed,string_in_numeric,detection,0.0023,True
f853fa65d71c,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0053,True
e37b830d8a0a,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0063,True
667dcb21d029,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.005,True
1c4fba996ef4,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.005,True
7043fc5faff8,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0063,True
876ed2ac75db,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0027,True
cfad31ecea9a,spielberg_FP1,rpm,string_in_numeric,detection,0.0027,True
12c92b2bd0ea,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0049,True
a9bd0fc39d7d,spielberg_FP1,throttle,string_in_numeric,detection,0.0025,True
d567d677bf1c,spielberg_FP1,speed,duplicate_timestamp,detection,0.0058,True
682f7adccf47,spielberg_FP1,aero_load,string_in_numeric,detection,0.0028,True
c7db15f7e174,spielberg_FP1,rpm,string_in_numeric,detection,0.0023,True
dc4901fddd8f,spielberg_FP1,throttle_raw,schema_drift,detection,0.006,True
f514fac1103d,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0065,True
d8fd370d4cb1,spielberg_FP1,aero_load,string_in_numeric,detection,0.0024,True
1dda2b8ef741,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
5bc467a8648e,spielberg_FP1,rpm,string_in_numeric,detection,0.0025,True
40a5ab21e170,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0059,True
d86364121420,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0061,True
1a7f7e76a371,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0062,True
745475840b31,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0056,True
4800b69dd338,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0056,True
e512a5d2f18f,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0052,True
8d0ad168215f,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0047,True
49152391629f,spielberg_FP1,speed,string_in_numeric,detection,0.0027,True
484be09271d3,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0057,True
aa0ccefd8baf,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0025,True
62164f6eb6b1,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0052,True
0328b25e0a2f,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0062,True
03633871191a,spielberg_FP1,rpm_v2,schema_drift,detection,0.0066,True
737bd7a40a4d,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
d8a998be206a,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0048,True
c41536c952c7,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0058,True
024dfc5e0c17,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0055,True
e272357ec868,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0053,True
10e27c694433,spielberg_FP1,speed,string_in_numeric,detection,0.0024,True
2fc568b19123,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0061,True
3cdb6cdfd146,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0047,True
8aa5a909fe97,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0073,True
58c8c366ec08,spielberg_FP1,speed,string_in_numeric,detection,0.0027,True
2f7721136094,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0053,True
a237857b2d0f,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0024,True
4b6a3af9b51a,spielberg_FP1,speed_raw,schema_drift,detection,0.0059,True
85e388495a33,spielberg_FP1,speed_new,schema_drift,detection,0.0062,True
afa51ff57417,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0045,True
dffc40b968e9,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0047,True
6645edea81eb,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0055,True
420e59022a5b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.003,True
5b42e0c2a78f,spielberg_FP1,speed_new,schema_drift,detection,0.0114,True
ca2d2e319591,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0052,True
32bc2ab4e5b3,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0053,True
839594350f4f,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0061,True
7d51763b54f9,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
874f90bc2b7a,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0028,True
976e00710ff9,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0062,True
016fef9b729e,spielberg_FP1,speed_canbus,schema_drift,detection,0.0061,True
b3838c999313,spielberg_FP1,speed,duplicate_timestamp,detection,0.0048,True
b7d17286e04b,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0062,True
d9edf2696203,spielberg_FP1,aero_load,string_in_numeric,detection,0.0024,True
3538c42f5a79,spielberg_FP1,rpm,string_in_numeric,detection,0.004,True
f9ecf93346f7,spielberg_FP1,rpm_alt,schema_drift,detection,0.0069,True
030a617c8941,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.021,True
5bb8fb7b2be0,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.006,True
d4e17f4dfad2,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0048,True
e15a874fa832,spielberg_FP1,aero_load,string_in_numeric,detection,0.0024,True
1ae7e2ba8ceb,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0048,True
b78d780d18e7,spielberg_FP1,throttle,duplicate_timestamp,detection,0.005,True
e9ec2a1f51d0,spielberg_FP1,rpm,string_in_numeric,detection,0.0027,True
d02daac56ae2,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0063,True
12f7d1e8e55f,spielberg_FP1,speed,string_in_numeric,detection,0.0027,True
900d08f675e2,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.003,True
