=== MISSED DETECTIONS BY SENSOR ===
sensor_id,miss_count,total_injected,miss_rate
ecu_canbus,3,152,0.0197

=== MISSED DETECTIONS BY CHAOS MODE ===
chaos_mode,miss_count,total_injected,miss_rate
bit_flip_low,3,234,0.0128

=== MISSED DETECTIONS BY SESSION ===
session,miss_count,total_injected,miss_rate
budapest_RACE,1,105,0.0095
spielberg_FP2,1,96,0.0104
spielberg_RACE,1,97,0.0103

=== MISSED DETECTIONS BY SENSOR + CHAOS MODE ===
sensor_id,chaos_mode,miss_count,total_injected,miss_rate
ecu_canbus,bit_flip_low,3,24,0.1250
