packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
2354ca8711fc,spielberg_FP1,heart_rate,null_value,detection,0.0025,True
131cf06b62ff,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0091,True
ce0bd4d46a30,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0052,True
fdd3de7b3b3e,spielberg_FP1,g_force_lateral,null_value,detection,0.0016,True
bcd236a36eb0,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0031,False
d980592ae7c0,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0025,False
e4e2be713df0,spielberg_FP1,tyre_pressure,null_value,detection,0.0013,True
331164d5ed60,spielberg_FP1,throttle,null_value,detection,0.0022,True
9a68be2135bf,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0053,True
46841ffbdabf,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0013,True
84e359b42a71,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0025,False
35952eb3d449,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0039,True
6751390e2c39,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0387,True
22b71f593876,spielberg_FP1,rpm,string_in_numeric,detection,0.0022,True
fdbe1b180f41,spielberg_FP1,speed,bit_flip_low,detection,0.0055,True
966961720072,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0015,True
cb79c51f197a,spielberg_FP1,speed,bit_flip_low,detection,0.0121,True
da0fc7496b13,spielberg_FP1,throttle,bit_flip_high,detection,0.0041,True
fc7285748f55,spielberg_FP1,aero_load,bit_flip_high,detection,0.0044,True
ff127106ea77,spielberg_FP1,throttle,string_in_numeric,detection,0.0014,True
07cc39f9a636,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0057,True
6e36888489a0,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0065,True
177175ce0411,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0063,True
7316a62e37e3,spielberg_FP1,heart_rate,null_value,detection,0.0012,True
6ed1e1064612,spielberg_FP1,ecu_canbus,null_value,detection,0.0023,True
763af48b246e,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0059,True
6fe454e72a58,spielberg_FP1,throttle,string_in_numeric,detection,0.0026,True
057477a462f0,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0051,True
072fc11033ef,spielberg_FP1,rpm_raw,schema_drift,detection,0.0012,False
d3a1b6b9fa5c,spielberg_FP1,g_force_lateral,null_value,detection,0.0012,True
46cae7f1c0d6,spielberg_FP1,speed,duplicate_timestamp,detection,0.0029,False
73c61263e964,spielberg_FP1,speed_new,schema_drift,detection,0.0013,False
cfb95765778d,spielberg_FP1,speed_alt,schema_drift,detection,0.007,False
da7466f906da,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0087,False
591c1a8a9ace,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0043,True
32da49235697,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0012,False
f53ee0359e6d,spielberg_FP1,heart_rate,null_value,detection,0.0011,True
229ef8da8ef5,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0096,False
9f2a0723ffe2,spielberg_FP1,brake_temp,null_value,detection,0.0016,True
01506db89ba2,spielberg_FP1,heart_rate,null_value,detection,0.0013,True
606c28f97ab9,spielberg_FP1,speed,sensor_dropout,detection,0.0049,True
8decd8ac7b0e,spielberg_FP1,speed,string_in_numeric,detection,0.0015,True
d563440453bf,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0049,True
a96ba7b7c8b5,spielberg_FP1,speed,bit_flip_low,detection,0.0043,True
e0236d3304c7,spielberg_FP1,speed,duplicate_timestamp,detection,0.0009,False
64e2ca291b80,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0024,False
43e0596ae2e2,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0019,False
d18343eee4cf,spielberg_FP1,tyre_pressure,null_value,detection,0.0013,True
477c376fe61a,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0022,False
36d321ad38f4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0092,False
485ba11c7fa4,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0063,True
971bcec27e0e,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.002,False
940e85492c48,spielberg_FP1,tyre_pressure,null_value,detection,0.0046,True
eff88bc6249c,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0064,True
f135a94f0ae1,spielberg_FP1,rpm,sensor_dropout,detection,0.0012,True
554176a2a6dc,spielberg_FP1,speed,duplicate_timestamp,detection,0.0022,False
d4300446c221,spielberg_FP1,aero_load,string_in_numeric,detection,0.0013,True
fe763fca2e46,spielberg_FP1,ecu_canbus,null_value,detection,0.001,True
0148710b480f,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0045,False
3b263c03fc03,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0076,True
5f2cace1178e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0021,False
af407c2e7bb7,spielberg_FP1,throttle,string_in_numeric,detection,0.0024,True
821d9c9940d0,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0084,True
f492cbf6a4d6,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0074,True
c7a8914930d4,spielberg_FP1,aero_load,bit_flip_high,detection,0.0084,True
0c27a1d30d8c,spielberg_FP1,speed_v2,schema_drift,detection,0.0014,False
f6c0f13f6131,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0025,False
40294ec2ea13,spielberg_FP1,tyre_pressure,null_value,detection,0.0053,True
55e7659f92c9,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0015,True
62ec2d7597f2,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0013,True
ea37a3e887e3,spielberg_FP1,engine_temp,bit_flip_high,detection,0.014,True
ae00bca58dab,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0015,True
368ffe4305bf,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0034,True
565326ca2e35,spielberg_FP1,aero_load,bit_flip_low,detection,0.0148,True
9892e47b8b90,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0016,False
d97c02cd2fa2,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0035,False
f008cbb7418d,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0014,True
1690d874d77b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0084,False
2c752ba532bc,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0034,False
2008b44ab39f,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
9d90144e545c,spielberg_FP1,rpm,sensor_dropout,detection,0.0054,True
33c83baf1237,spielberg_FP1,aero_load,sensor_dropout,detection,0.0022,True
7d46548c5ec2,spielberg_FP1,heart_rate,null_value,detection,0.0032,True
7b2edeb8266d,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0072,True
82687c4b3cc9,spielberg_FP1,rpm,sensor_dropout,detection,0.0013,True
c3e0055f20ed,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0072,False
99139c821d52,spielberg_FP1,rpm,bit_flip_low,detection,0.0052,True
2781b611ac3e,spielberg_FP1,ecu_canbus,null_value,detection,0.0011,True
4a40960669d9,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0051,True
1ed41d4740bf,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0019,False
070bc03f973a,spielberg_FP1,ecu_canbus,null_value,detection,0.0013,True
8ef58d48c819,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0083,False
52cf16f043d8,spielberg_FP1,aero_load,null_value,detection,0.0012,True
083b2106128a,spielberg_FP1,speed,sensor_dropout,detection,0.0009,True
d228878724f0,spielberg_FP1,speed,string_in_numeric,detection,0.0016,True
4cca5bc2b671,spielberg_FP1,speed,bit_flip_low,detection,0.0053,True
ccfab0d90314,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0151,True
7b82e1ee5100,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0055,True
a6637ddf01a2,spielberg_FP1,rpm,null_value,detection,0.0056,True
cb60860d6c69,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0018,True
3059090dba64,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0027,False
e26981289972,spielberg_FP1,throttle,null_value,detection,0.0013,True
8eb5b0dfb642,spielberg_FP1,throttle,null_value,detection,0.0063,True
3e81c3a63374,spielberg_FP1,throttle,string_in_numeric,detection,0.0033,True
9c012e9039dd,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0017,True
7f45ef6ee4ca,spielberg_FP1,speed,bit_flip_low,detection,0.0132,True
e998a9410c4c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0048,False
afc947654a4e,spielberg_FP1,aero_load,bit_flip_high,detection,0.0051,True
3c3f5d63e0e3,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0013,True
802cf44dbffe,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0026,False
970b05264d34,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0059,True
4fa65f0bd66b,spielberg_FP1,throttle,null_value,detection,0.0014,True
5e4a4f3ec35c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0095,False
d53edba8c362,spielberg_FP1,g_force_lateral,null_value,detection,0.0017,True
7759dc192c06,spielberg_FP1,speed,sensor_dropout,detection,0.0013,True
fb44381a1a9a,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.003,False
3f973b8934dd,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0056,True
ea507b3da19d,spielberg_FP1,speed,bit_flip_high,detection,0.0059,True
e91d75b8ca41,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0041,False
54e66408663e,spielberg_FP1,speed,duplicate_timestamp,detection,0.0017,False
3404e19e6b89,spielberg_FP1,aero_load,string_in_numeric,detection,0.003,True
dbb7d5e62b5b,spielberg_FP1,throttle,null_value,detection,0.0043,True
fca70e74f6fc,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0037,False
6e45dfd834de,spielberg_FP1,rpm,bit_flip_low,detection,0.0049,True
8729f10b8113,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0081,False
b752b1b465cd,spielberg_FP1,speed_canbus,schema_drift,detection,0.0016,False
77598cd92462,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0097,True
