packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3514ccaa4f32,spielberg_FP1,speed_v2,schema_drift,detection,0.0078,False
090649b7e263,spielberg_FP1,throttle_v2,schema_drift,detection,0.0019,False
731e0737db7d,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0014,True
9b9f4a02acb4,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0021,False
c330d2b02aea,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0017,False
0218dac11880,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0015,True
7ba89abed8ea,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0012,True
7b3f2874c63c,spielberg_FP1,rpm,string_in_numeric,detection,0.0014,True
57f855c427d6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0011,True
4ac350f89805,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0007,True
79feaef5b2fd,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0011,True
6c0eb1e7412d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.001,True
14bba3498c73,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0011,False
b8a5dcdd1f71,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.001,True
4c074a7934ae,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0012,True
4fdee5e3e674,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0009,True
6bfd874dd592,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.001,True
d04a27065915,spielberg_FP1,speed_raw,schema_drift,detection,0.0015,False
3fa892669df5,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0009,True
b0ca96df6b76,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0007,True
cf009f1c19fe,spielberg_FP1,rpm,string_in_numeric,detection,0.001,True
eeb4db792d57,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0011,True
d7e3d8c03e2b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0013,True
0ba33bc08cc0,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0009,True
46722e4f0751,spielberg_FP1,speed,duplicate_timestamp,detection,0.0008,True
5b6c150fd275,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.001,True
efedac8dd234,spielberg_FP1,speed,duplicate_timestamp,detection,0.001,True
057370874027,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0009,True
5eac271d8294,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0012,True
c702bfdde675,spielberg_FP1,rpm_alt,schema_drift,detection,0.0016,False
878886f35cea,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0008,True
b00811b76dd2,spielberg_FP1,speed,duplicate_timestamp,detection,0.0009,True
dcc8f94b850a,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0019,False
4a72aa09c308,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0011,True
f0ce98dd0684,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0012,False
43313caf3250,spielberg_FP1,rpm,duplicate_timestamp,detection,0.001,True
c015ee8c9cc4,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.001,True
4628a368f0b6,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
adc1303888b6,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0012,False
6d20f7ec2e6b,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.001,False
ad8716cee123,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0011,True
a045e27a914f,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0009,True
aa14392ee803,spielberg_FP1,aero_load,string_in_numeric,detection,0.0009,True
e256ef63f376,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0007,True
701b00e3a75b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.001,True
d601b9d62df0,spielberg_FP1,throttle,string_in_numeric,detection,0.0009,True
c42f669593f5,spielberg_FP1,speed_canbus,schema_drift,detection,0.0013,False
27e4f647ca6c,spielberg_FP1,throttle,string_in_numeric,detection,0.0011,True
610f3a450e44,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0012,True
f2c1d1bbe397,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0011,False
8ca08a5e497d,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0015,False
db75308ad88a,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0011,False
603bc55f934f,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0019,True
d7ac22dc6b9e,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.001,True
36dc6ad4927b,spielberg_FP1,throttle_new,schema_drift,detection,0.0013,False
f2be9ff9514d,spielberg_FP1,throttle,duplicate_timestamp,detection,0.001,True
c57026d7f3fa,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0016,True
bb7fe2e8e486,spielberg_FP1,rpm_new,schema_drift,detection,0.0014,False
a4b02e33dad9,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0011,False
2acb6eddfdb9,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0012,False
57d3c913ef25,spielberg_FP1,aero_load,string_in_numeric,detection,0.0012,True
25258af4171e,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.001,True
