packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
28c308bc875a,spielberg_FP1,brake_temp,string_in_numeric,detection,0.001,True
4ca352cc554d,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0016,False
4c2a65416607,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.001,False
200588e74e3e,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0012,False
cfaff8c52494,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0011,False
f9eb4a9f052a,spielberg_FP1,throttle_new,schema_drift,detection,0.0014,False
70383f266307,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.001,True
60a0c2d63ce7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0009,True
0567c81c4ab1,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0012,True
5a59b5e1c8cd,spielberg_FP1,aero_load,string_in_numeric,detection,0.0013,True
706c58187e6f,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0014,True
d108a1098b60,spielberg_FP1,rpm_alt,schema_drift,detection,0.0014,False
8a0481740846,spielberg_FP2,engine_temp_v2,schema_drift,detection,0.0011,False
f96f84d1ef49,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0012,True
44826ac55abc,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0011,True
45eaac3b3666,spielberg_FP2,ecu_canbus,string_in_numeric,detection,0.0012,True
4ad034c4350a,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0009,True
836f2fc35fcc,spielberg_FP2,aero_load_raw,schema_drift,detection,0.0012,False
0467a62d597d,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0015,True
6adf572d2b22,spielberg_FP2,brake_temp_v2,schema_drift,detection,0.0012,False
32ee74c5081c,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0013,True
360a544c5290,spielberg_FP3,aero_load,string_in_numeric,detection,0.0017,True
53f9e612ed1f,spielberg_FP3,speed,string_in_numeric,detection,0.0012,True
85a148e3e0bc,spielberg_FP3,aero_load,duplicate_timestamp,detection,0.0008,True
9f68a6ea25f5,spielberg_FP3,brake_temp_new,schema_drift,detection,0.0012,False
5f778604f881,spielberg_FP3,heart_rate,duplicate_timestamp,detection,0.0011,True
4927f5905b85,spielberg_FP3,tyre_pressure,string_in_numeric,detection,0.0012,True
7a07981b260c,spielberg_FP3,rpm,string_in_numeric,detection,0.0011,True
0a5047b59842,spielberg_FP3,engine_temp,string_in_numeric,detection,0.0011,True
1d68170111a6,spielberg_FP3,aero_load,string_in_numeric,detection,0.0012,True
7f5d983c5fd5,spielberg_FP3,heart_rate_raw,schema_drift,detection,0.0013,False
7210d4145103,spielberg_QUALI,rpm_new,schema_drift,detection,0.0015,False
8dca0f61e31e,spielberg_QUALI,speed,duplicate_timestamp,detection,0.0011,True
ac7b508a281c,spielberg_QUALI,aero_load_raw,schema_drift,detection,0.0014,False
7fe6c6ea6d93,spielberg_QUALI,g_force_lateral_alt,schema_drift,detection,0.0013,False
e54d7e2ba2fa,spielberg_QUALI,g_force_lateral_v2,schema_drift,detection,0.0013,False
dd6734a08a4d,spielberg_QUALI,aero_load,string_in_numeric,detection,0.0013,True
9bc657e85699,spielberg_QUALI,engine_temp,string_in_numeric,detection,0.0012,True
71162dfd54ac,spielberg_QUALI,speed,string_in_numeric,detection,0.0013,True
4d790b21b4a2,spielberg_QUALI,tyre_pressure_alt,schema_drift,detection,0.0013,False
082e726c3c18,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.001,True
ae36e2e022bc,spielberg_QUALI,speed,duplicate_timestamp,detection,0.0011,True
810081f7b328,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.0009,True
f11ddbae932b,spielberg_RACE,rpm_raw,schema_drift,detection,0.0014,False
f235c5c524b1,spielberg_RACE,engine_temp,string_in_numeric,detection,0.0012,True
8beedc0d7b8b,spielberg_RACE,g_force_lateral,duplicate_timestamp,detection,0.001,True
89e38d968a4a,spielberg_RACE,speed,string_in_numeric,detection,0.0012,True
1cdf7ab2ed28,spielberg_RACE,ecu_canbus,duplicate_timestamp,detection,0.001,True
918adeed65ca,spielberg_RACE,throttle,string_in_numeric,detection,0.0011,True
ad6496938a58,spielberg_RACE,heart_rate,duplicate_timestamp,detection,0.0012,True
bb0220e1a355,spielberg_RACE,rpm_new,schema_drift,detection,0.0015,False
be97c75f4499,spielberg_RACE,throttle_alt,schema_drift,detection,0.0014,False
a66ab8517953,spielberg_RACE,throttle,string_in_numeric,detection,0.0012,True
8989aa6a7ead,spielberg_RACE,heart_rate,string_in_numeric,detection,0.0013,True
f86d050d2e8a,spielberg_RACE,tyre_pressure_new,schema_drift,detection,0.0013,False
2d49413832e1,silverstone_FP1,ecu_canbus,string_in_numeric,detection,0.0015,True
2fda6923ff0c,silverstone_FP1,g_force_lateral_alt,schema_drift,detection,0.0015,False
026af2adcdf4,silverstone_FP1,throttle_v2,schema_drift,detection,0.0014,False
60270f8d65c9,silverstone_FP1,rpm,string_in_numeric,detection,0.0011,True
a832403d1b13,silverstone_FP1,aero_load,string_in_numeric,detection,0.0011,True
262fb67de510,silverstone_FP1,aero_load,string_in_numeric,detection,0.0017,True
539b8b32409a,silverstone_FP1,g_force_lateral,duplicate_timestamp,detection,0.0013,True
01caaa77ef25,silverstone_FP1,rpm,duplicate_timestamp,detection,0.0009,True
409acdb7fb20,silverstone_FP1,heart_rate_v2,schema_drift,detection,0.0013,False
c890cc35e082,silverstone_FP2,engine_temp,duplicate_timestamp,detection,0.001,True
270ab885c719,silverstone_FP2,g_force_lateral,duplicate_timestamp,detection,0.0012,True
6e7acc8660ad,silverstone_FP2,brake_temp_raw,schema_drift,detection,0.0011,False
107f61460626,silverstone_FP2,ecu_canbus_raw,schema_drift,detection,0.0015,False
82476f7578a0,silverstone_FP2,rpm_new,schema_drift,detection,0.0013,False
dedaaa7ade88,silverstone_FP2,throttle_alt,schema_drift,detection,0.0013,False
9bcfb5252a24,silverstone_FP2,g_force_lateral_alt,schema_drift,detection,0.0015,False
36595d47db39,silverstone_FP2,tyre_pressure_v2,schema_drift,detection,0.0012,False
b6be7a07365c,silverstone_FP2,brake_temp,string_in_numeric,detection,0.0012,True
b7d98dcf99c8,silverstone_FP3,heart_rate,duplicate_timestamp,detection,0.0011,True
fc95b9a652e1,silverstone_FP3,heart_rate_raw,schema_drift,detection,0.0012,False
a768665b5c38,silverstone_FP3,throttle_raw,schema_drift,detection,0.0015,False
fbb30f4476f4,silverstone_FP3,throttle,string_in_numeric,detection,0.0015,True
adb05c3afe40,silverstone_FP3,aero_load,duplicate_timestamp,detection,0.0011,True
0c59467b359d,silverstone_FP3,throttle,string_in_numeric,detection,0.0012,True
c243d067aa46,silverstone_FP3,speed_alt,schema_drift,detection,0.0013,False
a9a08be70ecf,silverstone_FP3,brake_temp,string_in_numeric,detection,0.0012,True
41b2612569e8,silverstone_FP3,rpm_v2,schema_drift,detection,0.0014,False
9427ece29e4e,silverstone_FP3,engine_temp,duplicate_timestamp,detection,0.001,True
be181cb64280,silverstone_QUALI,speed_v2,schema_drift,detection,0.0012,False
36c93baeb220,silverstone_QUALI,engine_temp,string_in_numeric,detection,0.0012,True
c0cd582a47bf,silverstone_QUALI,throttle,string_in_numeric,detection,0.0012,True
1658e6c9cf5c,silverstone_QUALI,engine_temp,duplicate_timestamp,detection,0.0011,True
29045f0ecd97,silverstone_QUALI,engine_temp,string_in_numeric,detection,0.0012,True
5c0f9cfbf8cc,silverstone_QUALI,engine_temp,duplicate_timestamp,detection,0.0011,True
cc1024e8c389,silverstone_QUALI,engine_temp,duplicate_timestamp,detection,0.001,True
786b3d8483cf,silverstone_QUALI,rpm,string_in_numeric,detection,0.0011,True
6e757e396885,silverstone_QUALI,ecu_canbus_canbus,schema_drift,detection,0.0017,False
38bc99b2bd97,silverstone_QUALI,rpm_new,schema_drift,detection,0.0014,False
65a5a481f1fa,silverstone_RACE,heart_rate,string_in_numeric,detection,0.0012,True
65b0fddb73cd,silverstone_RACE,brake_temp,string_in_numeric,detection,0.0017,True
28a76c9e2d6d,silverstone_RACE,rpm_new,schema_drift,detection,0.0014,False
3996cc736085,silverstone_RACE,speed,string_in_numeric,detection,0.002,True
41c5c8c618fe,silverstone_RACE,brake_temp,duplicate_timestamp,detection,0.0011,True
3f1dc093ff60,silverstone_RACE,throttle,string_in_numeric,detection,0.0011,True
6d84039f5234,silverstone_RACE,speed,string_in_numeric,detection,0.0015,True
3c9fe893d35f,silverstone_RACE,throttle,string_in_numeric,detection,0.001,True
2e38abe450c7,silverstone_RACE,engine_temp_raw,schema_drift,detection,0.0011,False
676cc2268344,silverstone_RACE,aero_load_new,schema_drift,detection,0.0014,False
a4fef5b08366,silverstone_RACE,throttle,duplicate_timestamp,detection,0.0011,True
9c08df243b0b,silverstone_RACE,speed,string_in_numeric,detection,0.0012,True
1b31b627ba76,budapest_FP1,throttle,duplicate_timestamp,detection,0.0011,True
98644c4c9e93,budapest_FP1,speed_alt,schema_drift,detection,0.0014,False
dc3a97a190ee,budapest_FP1,ecu_canbus_v2,schema_drift,detection,0.0012,False
3e2a69a45c77,budapest_FP1,engine_temp,string_in_numeric,detection,0.0012,True
504bab313994,budapest_FP1,aero_load,string_in_numeric,detection,0.0012,True
14d95b681a66,budapest_FP1,throttle,duplicate_timestamp,detection,0.0011,True
de462a8077de,budapest_FP1,tyre_pressure_alt,schema_drift,detection,0.0011,False
d154d46e8bc9,budapest_FP2,tyre_pressure,duplicate_timestamp,detection,0.0011,True
0fa421751bcb,budapest_FP2,heart_rate_v2,schema_drift,detection,0.0013,False
439acd96b13b,budapest_FP2,tyre_pressure_raw,schema_drift,detection,0.0013,False
a86cff3afcbd,budapest_FP2,throttle,string_in_numeric,detection,0.0012,True
8376d9cab5b0,budapest_FP3,speed,duplicate_timestamp,detection,0.0011,True
62028c9d05ac,budapest_FP3,speed,string_in_numeric,detection,0.0012,True
a9a7646f69d2,budapest_FP3,throttle,string_in_numeric,detection,0.0011,True
55befc1e594e,budapest_FP3,g_force_lateral,duplicate_timestamp,detection,0.0011,True
e778f4ed3bac,budapest_FP3,speed,string_in_numeric,detection,0.0012,True
e4fbe97d7ac9,budapest_FP3,heart_rate,duplicate_timestamp,detection,0.001,True
ba0ae0298515,budapest_FP3,engine_temp_new,schema_drift,detection,0.0014,False
615ed003042b,budapest_FP3,rpm,string_in_numeric,detection,0.0012,True
a69b07623ad5,budapest_FP3,engine_temp,duplicate_timestamp,detection,0.0011,True
7293b8282c04,budapest_QUALI,rpm_v2,schema_drift,detection,0.0013,False
8604df3e2c1f,budapest_QUALI,rpm,duplicate_timestamp,detection,0.001,True
a543b358685c,budapest_QUALI,aero_load,duplicate_timestamp,detection,0.0011,True
7ee7b4e526c6,budapest_QUALI,engine_temp,string_in_numeric,detection,0.0012,True
c9ee009d9222,budapest_QUALI,heart_rate,string_in_numeric,detection,0.0012,True
07fd4fe76d7e,budapest_QUALI,ecu_canbus_alt,schema_drift,detection,0.0014,False
ef4929b01e4f,budapest_QUALI,rpm,string_in_numeric,detection,0.0012,True
51dd1be402c0,budapest_QUALI,rpm,duplicate_timestamp,detection,0.0011,True
388f434ae60e,budapest_RACE,engine_temp_new,schema_drift,detection,0.0012,False
2499043c9148,budapest_RACE,brake_temp_v2,schema_drift,detection,0.0011,False
8e7e298ee3e0,budapest_RACE,ecu_canbus_v2,schema_drift,detection,0.0012,False
3413724ee438,budapest_RACE,ecu_canbus_v2,schema_drift,detection,0.0012,False
748291dc26ed,budapest_RACE,ecu_canbus,duplicate_timestamp,detection,0.0011,True
ec25a45c5e06,budapest_RACE,throttle_canbus,schema_drift,detection,0.0015,False
e2a7117ea51e,budapest_RACE,engine_temp_canbus,schema_drift,detection,0.0015,False
d3dc23aec590,budapest_RACE,brake_temp,string_in_numeric,detection,0.0012,True
b68bf44248b7,budapest_RACE,throttle,duplicate_timestamp,detection,0.0011,True
c1a739bf31b3,budapest_RACE,ecu_canbus,duplicate_timestamp,detection,0.0011,True
c01893b536ab,budapest_RACE,speed,duplicate_timestamp,detection,0.0011,True
10f693734148,budapest_RACE,throttle_alt,schema_drift,detection,0.0013,False
28c308bc875a,,,dlq_repair,repair,0.011,True
60a0c2d63ce7,,,dlq_repair,repair,0.046,False
0567c81c4ab1,,,dlq_repair,repair,0.0099,True
706c58187e6f,,,dlq_repair,repair,0.0052,True
f96f84d1ef49,,,dlq_repair,repair,0.049,True
45eaac3b3666,,,dlq_repair,repair,0.0047,True
0467a62d597d,,,dlq_repair,repair,0.0283,False
32ee74c5081c,,,dlq_repair,repair,0.0113,True
0a5047b59842,,,dlq_repair,repair,0.0096,True
9bc657e85699,,,dlq_repair,repair,0.0189,True
f235c5c524b1,,,dlq_repair,repair,0.0035,True
1cdf7ab2ed28,,,dlq_repair,repair,0.0169,True
2d49413832e1,,,dlq_repair,repair,0.0148,True
c890cc35e082,,,dlq_repair,repair,0.0106,True
b6be7a07365c,,,dlq_repair,repair,0.0054,True
a9a08be70ecf,,,dlq_repair,repair,0.0071,True
9427ece29e4e,,,dlq_repair,repair,0.0123,True
36c93baeb220,,,dlq_repair,repair,0.0092,True
1658e6c9cf5c,,,dlq_repair,repair,0.0124,True
29045f0ecd97,,,dlq_repair,repair,0.0092,True
5c0f9cfbf8cc,,,dlq_repair,repair,0.0107,True
cc1024e8c389,,,dlq_repair,repair,0.0137,True
65b0fddb73cd,,,dlq_repair,repair,0.0048,True
41c5c8c618fe,,,dlq_repair,repair,0.0163,False
3e2a69a45c77,,,dlq_repair,repair,0.0193,True
a69b07623ad5,,,dlq_repair,repair,0.0212,True
7ee7b4e526c6,,,dlq_repair,repair,0.018,True
748291dc26ed,,,dlq_repair,repair,0.0265,True
d3dc23aec590,,,dlq_repair,repair,0.0163,False
c1a739bf31b3,,,dlq_repair,repair,0.0301,True
70383f266307,,,dlq_repair,repair,0.0148,True
5a59b5e1c8cd,,,dlq_repair,repair,0.0074,True
44826ac55abc,,,dlq_repair,repair,0.0069,True
4ad034c4350a,,,dlq_repair,repair,0.0194,True
360a544c5290,,,dlq_repair,repair,0.006,True
53f9e612ed1f,,,dlq_repair,repair,0.0101,True
85a148e3e0bc,,,dlq_repair,repair,0.012,True
5f778604f881,,,dlq_repair,repair,0.0093,True
4927f5905b85,,,dlq_repair,repair,0.033,False
7a07981b260c,,,dlq_repair,repair,0.014,True
1d68170111a6,,,dlq_repair,repair,0.0031,True
8dca0f61e31e,,,dlq_repair,repair,0.0344,True
dd6734a08a4d,,,dlq_repair,repair,0.0035,True
71162dfd54ac,,,dlq_repair,repair,0.0096,True
082e726c3c18,,,dlq_repair,repair,0.0069,True
ae36e2e022bc,,,dlq_repair,repair,0.0199,True
810081f7b328,,,dlq_repair,repair,0.0163,True
8beedc0d7b8b,,,dlq_repair,repair,0.0144,True
89e38d968a4a,,,dlq_repair,repair,0.0074,True
918adeed65ca,,,dlq_repair,repair,0.0191,True
ad6496938a58,,,dlq_repair,repair,0.0101,True
a66ab8517953,,,dlq_repair,repair,0.0152,False
8989aa6a7ead,,,dlq_repair,repair,0.0109,True
60270f8d65c9,,,dlq_repair,repair,0.0103,True
a832403d1b13,,,dlq_repair,repair,0.005,True
262fb67de510,,,dlq_repair,repair,0.0111,True
539b8b32409a,,,dlq_repair,repair,0.0113,True
01caaa77ef25,,,dlq_repair,repair,0.0108,True
270ab885c719,,,dlq_repair,repair,0.0086,True
b7d98dcf99c8,,,dlq_repair,repair,0.0173,True
fbb30f4476f4,,,dlq_repair,repair,0.0106,False
adb05c3afe40,,,dlq_repair,repair,0.0198,True
0c59467b359d,,,dlq_repair,repair,0.0083,False
c0cd582a47bf,,,dlq_repair,repair,0.0162,True
786b3d8483cf,,,dlq_repair,repair,0.0093,True
65a5a481f1fa,,,dlq_repair,repair,0.0151,True
3996cc736085,,,dlq_repair,repair,0.0094,True
3f1dc093ff60,,,dlq_repair,repair,0.015,False
6d84039f5234,,,dlq_repair,repair,0.0136,True
3c9fe893d35f,,,dlq_repair,repair,0.0143,False
a4fef5b08366,,,dlq_repair,repair,0.0146,True
9c08df243b0b,,,dlq_repair,repair,0.0157,False
