packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
97ab3973023c,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0028,True
e2363d856eed,spielberg_QUALI,heart_rate_new,schema_drift,detection,0.0025,True
a4d066e9fc2c,spielberg_QUALI,throttle,duplicate_timestamp,detection,0.0027,True
ea7cd0f1a6b2,spielberg_RACE,tyre_pressure,string_in_numeric,detection,0.0029,True
4e473e89eb60,silverstone_FP1,heart_rate_raw,schema_drift,detection,0.0029,True
e8acfee6cb0e,silverstone_FP1,heart_rate,duplicate_timestamp,detection,0.0025,True
cba6f0c23265,silverstone_FP1,ecu_canbus_alt,schema_drift,detection,0.003,True
ea59b206af1f,silverstone_FP2,brake_temp,string_in_numeric,detection,0.002,True
6dce5c99ee81,silverstone_FP2,heart_rate,string_in_numeric,detection,0.0038,True
fdcd2331f112,silverstone_FP2,throttle,duplicate_timestamp,detection,0.0023,True
a9299fe82986,silverstone_FP2,tyre_pressure,duplicate_timestamp,detection,0.0027,True
7b932fe9205a,silverstone_FP2,engine_temp,duplicate_timestamp,detection,0.003,True
3a90e77fb251,silverstone_FP3,tyre_pressure_raw,schema_drift,detection,0.0099,True
732d2a6a8dc0,silverstone_FP3,tyre_pressure,duplicate_timestamp,detection,0.0025,True
a89654d91230,silverstone_QUALI,speed,string_in_numeric,detection,0.0024,True
3251cd50285d,silverstone_QUALI,ecu_canbus,duplicate_timestamp,detection,0.0024,True
e31cab8c3f5c,silverstone_RACE,ecu_canbus,duplicate_timestamp,detection,0.0025,True
0bc48f599b7f,budapest_FP1,throttle_raw,schema_drift,detection,0.0031,True
3fd3417001c4,budapest_FP1,tyre_pressure_v2,schema_drift,detection,0.003,True
c91edcc481a4,budapest_FP1,heart_rate,string_in_numeric,detection,0.0022,True
1cfbd95df9a2,budapest_FP1,g_force_lateral,string_in_numeric,detection,0.0023,True
3a76cf1f4583,budapest_FP2,brake_temp,string_in_numeric,detection,0.0343,True
50aedb2b9853,budapest_FP2,heart_rate,string_in_numeric,detection,0.0026,True
851a6eea16fd,budapest_FP3,rpm,string_in_numeric,detection,0.0023,True
4e00be5fe42a,budapest_QUALI,brake_temp_new,schema_drift,detection,0.0028,True
fd302287e434,budapest_QUALI,g_force_lateral,string_in_numeric,detection,0.0025,True
a064a802c60b,budapest_RACE,throttle,string_in_numeric,detection,0.0026,True
ea59b206af1f,,,dlq_repair,repair,0.0144,False
7b932fe9205a,,,dlq_repair,repair,0.0401,True
3251cd50285d,,,dlq_repair,repair,0.1251,True
e31cab8c3f5c,,,dlq_repair,repair,0.0734,True
3a76cf1f4583,,,dlq_repair,repair,0.0392,False
97ab3973023c,,,dlq_repair,repair,0.0409,True
a4d066e9fc2c,,,dlq_repair,repair,0.0363,True
ea7cd0f1a6b2,,,dlq_repair,repair,0.0162,False
e8acfee6cb0e,,,dlq_repair,repair,0.0352,True
6dce5c99ee81,,,dlq_repair,repair,0.0214,False
fdcd2331f112,,,dlq_repair,repair,0.0341,True
a9299fe82986,,,dlq_repair,repair,0.035,True
732d2a6a8dc0,,,dlq_repair,repair,0.0346,True
a89654d91230,,,dlq_repair,repair,0.0182,False
c91edcc481a4,,,dlq_repair,repair,0.0063,False
1cfbd95df9a2,,,dlq_repair,repair,0.0114,False
50aedb2b9853,,,dlq_repair,repair,0.0101,False
851a6eea16fd,,,dlq_repair,repair,0.0111,False
fd302287e434,,,dlq_repair,repair,0.0104,False
a064a802c60b,,,dlq_repair,repair,0.0114,False
