packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
e10f8515517c,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0075,True
671cc7f278a9,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0066,True
293eb42345a1,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0053,True
8b06f89ca3d3,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0045,True
bf9d2f776d26,spielberg_FP1,aero_load,null_value,detection,0.0033,True
3f4bf6e6ebd1,spielberg_FP1,speed_v2,schema_drift,detection,0.0046,True
4536c1089bdb,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0035,True
d8c21f8b0aed,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0048,True
12e470308af2,spielberg_FP1,speed,bit_flip_high,detection,0.008,True
d79b08d71953,spielberg_FP1,throttle,sensor_dropout,detection,0.0035,True
aaa30771c4f5,spielberg_FP1,aero_load,null_value,detection,0.0035,True
4f0052f9f812,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0033,True
6a4d1572952b,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0061,True
e2d9f304d1fe,spielberg_FP1,speed,sensor_dropout,detection,0.003,True
1a6f385a381f,spielberg_FP1,throttle,null_value,detection,0.0031,True
27e672ef1ca1,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0044,True
44e50001b138,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0041,True
a14d5382ecda,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0037,True
156182d56fb4,spielberg_FP1,rpm,bit_flip_high,detection,0.0074,True
a97ad5d875d0,spielberg_FP1,throttle,sensor_dropout,detection,0.0034,True
9a33ac5caa69,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0039,True
946ff8ec98e8,spielberg_FP1,rpm,bit_flip_high,detection,0.0062,True
fee05823c7b7,spielberg_FP1,throttle,null_value,detection,0.0036,True
38ba2e5d74c4,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0052,True
89900b6d459d,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0147,True
3eb7ff00a250,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0025,True
e7ecf80ed8e9,spielberg_FP1,rpm,null_value,detection,0.0033,True
