=== MISSED DETECTIONS BY SENSOR ===
sensor_id,miss_count,total_injected,miss_rate
ecu_canbus,221,10853,0.0204
g_force_lateral,40,10805,0.0037
throttle,2,10721,0.0002

=== MISSED DETECTIONS BY CHAOS MODE ===
chaos_mode,miss_count,total_injected,miss_rate
bit_flip_low,236,15224,0.0155
bit_flip_high,27,15389,0.0018

=== MISSED DETECTIONS BY SESSION ===
session,miss_count,total_injected,miss_rate
silverstone_FP1,30,7307,0.0041
spielberg_FP2,30,7269,0.0041
budapest_QUALI,27,7194,0.0038
silverstone_RACE,26,7216,0.0036
spielberg_FP1,23,6998,0.0033
budapest_FP3,21,7145,0.0029
budapest_FP2,20,7131,0.0028
budapest_RACE,20,7168,0.0028
silverstone_FP3,17,7075,0.0024
silverstone_FP2,15,7152,0.0021
spielberg_QUALI,9,7240,0.0012
spielberg_RACE,9,7203,0.0012
budapest_FP1,8,7174,0.0011
silverstone_QUALI,8,7109,0.0011

=== MISSED DETECTIONS BY SENSOR + CHAOS MODE ===
sensor_id,chaos_mode,miss_count,total_injected,miss_rate
ecu_canbus,bit_flip_low,200,1524,0.1312
g_force_lateral,bit_flip_low,36,1570,0.0229
ecu_canbus,bit_flip_high,21,1551,0.0135
g_force_lateral,bit_flip_high,4,1543,0.0026
throttle,bit_flip_high,2,1527,0.0013
