phase,api,chaos_method,reconciler,iteration,packet_idx,source_field,drifted_field,chaos_sub_type,reconciliation_status,quantum_routed
quantum,openf1,schema_alter,bert,1,19,driver,DRIVER,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,driver_number,DRIVER_NUMBER,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,team,TEAM,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,team_color,TEAM_COLOR,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,position,POSITION,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,lap_number,LAP_NUMBER,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,lap_time_ms,LAP_TIME_MS,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,pit_stop_count,PIT_STOP_COUNT,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,tire_compound,TIRE_COMPOUND,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,tire_age_laps,TIRE_AGE_LAPS,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,speed_kmh,SPEED_KMH,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,throttle,THROTTLE,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,brake,BRAKE,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,n_gear,N_GEAR,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,rpm,RPM,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,drs,DRS,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,ers_deployment_kj,ERS_DEPLOYMENT_KJ,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,fuel_remaining_kg,FUEL_REMAINING_KG,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,19,session_time,SESSION_TIME,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,51,team,team,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,team_color,team_color,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,position,position,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,lap_number,lap_number,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,lap_time_ms,lap_time_ms,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,pit_stop_count,pit_stop_count,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,tire_compound,tire_compound,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,tire_age_laps,tire_age_laps,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,speed_kmh,speed_kmh,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,throttle,throttle,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,brake,brake,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,n_gear,n_gear,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,rpm,rpm,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,drs,drs,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,ers_deployment_kj,ers_deployment_kj,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,fuel_remaining_kg,fuel_remaining_kg,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,session_time,session_time,nesting_deepen,FALSE_POSITIVE,True
quantum,openf1,schema_alter,bert,1,51,driver,,nesting_deepen,FAILURE,True
quantum,openf1,schema_alter,bert,1,51,driver_number,,nesting_deepen,FAILURE,True
quantum,openf1,schema_alter,bert,1,112,driver,DRIVER,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,112,driver_number,DRIVER_NUMBER,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,112,team,TEAM,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,112,team_color,TEAM_COLOR,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,112,position,POSITION,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,112,lap_number,LAP_NUMBER,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,112,lap_time_ms,LAP_TIME_MS,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,112,pit_stop_count,PIT_STOP_COUNT,key_case_change,SUCCESS,True
quantum,openf1,schema_alter,bert,1,112,tire_compound,TIRE_COMPOUND,key_case_change,SUCCESS,True
