phase,api,chaos_method,reconciler,n_iterations,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,hosseini_mean,hosseini_std,hosseini_min,hosseini_max,latency_mean_ms,latency_std_ms,throughput_mean_pps,throughput_std_pps,throughput_min_pps,throughput_max_pps,total_time_mean_ms,total_time_std_ms,fast_path_latency_mean_ms,fast_path_latency_std_ms,gpu_latency_mean_ms,gpu_latency_std_ms,packets_clean_mean,packets_drifted_mean,batch_size
fast,openf1,schema_alter,regex,1,0.7949019607843124,0.0,0.7949019607843124,0.7949019607843124,0.7949019607843124,0.0,0.7949019607843124,0.7949019607843124,0.06588836264449592,0.0,29250.325269669163,0.0,29250.325269669163,29250.325269669163,85.46913502505049,0.0,0.6871820078231394,0.0,13.861982035450637,0.0,2398.0,102.0,16
fast,finnhub,json_manip,levenshtein,1,0.8144329896907216,0.0,0.8144329896907216,0.8144329896907216,0.8144329896907216,0.0,0.8144329896907216,0.8144329896907216,0.011448340056003216,0.0,47958.41687964395,0.0,47958.41687964395,47958.41687964395,52.12849302915856,0.0,0.6444590399041772,0.0,3.5708919749595225,0.0,2306.0,194.0,16
fast,openf1,json_manip,regex,1,0.8109844559585457,0.0,0.8109844559585457,0.8109844559585457,0.8109844559585457,0.0,0.8109844559585457,0.8109844559585457,1.9431037296314237,0.0,5538.185123637817,0.0,5538.185123637817,5538.185123637817,451.4114180346951,0.0,0.730496016331017,0.0,379.0297730010934,0.0,2307.0,193.0,16
fast,openf1,qwen,levenshtein,1,0.7776524981043056,0.0,0.7776524981043056,0.7776524981043056,0.7776524981043056,0.0,0.7776524981043056,0.7776524981043056,0.11604841439479804,0.0,4271.480745358208,0.0,4271.480745358208,4271.480745358208,585.2771319914609,0.0,0.7209180039353669,0.0,22.099380963481963,0.0,2334.0,166.0,16
fast,finnhub,qwen,levenshtein,1,0.7067307692307693,0.0,0.7067307692307693,0.7067307692307693,0.7067307692307693,0.0,0.7067307692307693,0.7067307692307693,0.05922185776468653,0.0,40476.060639918425,0.0,40476.060639918425,40476.060639918425,61.764904006849974,0.0,0.5796740297228098,0.0,10.487029969226569,0.0,2344.0,156.0,16
fast,finnhub,qwen,regex,1,0.8217948717948739,0.0,0.8217948717948739,0.8217948717948739,0.8217948717948739,0.0,0.8217948717948739,0.8217948717948739,0.059784340779655255,0.0,51462.65832092159,0.0,51462.65832092159,51462.65832092159,48.57891297433525,0.0,0.5630409577861428,0.0,10.673511016648263,0.0,2344.0,156.0,16
fast,finnhub,json_manip,regex,1,0.8796391752577347,0.0,0.8796391752577347,0.8796391752577347,0.8796391752577347,0.0,0.8796391752577347,0.8796391752577347,0.05179035270913053,0.0,22897.111634520974,0.0,22897.111634520974,22897.111634520974,109.18407700955868,0.0,0.558642961550504,0.0,11.541824962478131,0.0,2306.0,194.0,16
fast,finnhub,schema_alter,regex,1,0.8004424778761074,0.0,0.8004424778761074,0.8004424778761074,0.8004424778761074,0.0,0.8004424778761074,0.8004424778761074,0.07213437898842766,0.0,48195.86031101727,0.0,48195.86031101727,48195.86031101727,51.87167495023459,0.0,0.5407179705798626,0.0,9.075493027921766,0.0,2387.0,113.0,16
fast,spacex,qwen,levenshtein,1,0.7228465978465979,0.0,0.7228465978465979,0.7228465978465979,0.7228465978465979,0.0,0.7228465978465979,0.7228465978465979,0.05337308894088569,0.0,43638.534190816164,0.0,43638.534190816164,43638.534190816164,57.28881701361388,0.0,0.5226529901847243,0.0,7.355047971941531,0.0,2379.0,121.0,16
fast,finnhub,schema_alter,levenshtein,1,0.5752212389380531,0.0,0.5752212389380531,0.5752212389380531,0.5752212389380531,0.0,0.5752212389380531,0.5752212389380531,0.009776999662935206,0.0,75154.41595854773,0.0,75154.41595854773,75154.41595854773,33.26484502758831,0.0,0.6397400284186006,0.0,1.8804450519382954,0.0,2387.0,113.0,16
fast,spacex,json_manip,levenshtein,1,0.8055555555555556,0.0,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.0,0.8055555555555556,0.8055555555555556,0.010933077810381456,0.0,47501.2120200725,0.0,47501.2120200725,47501.2120200725,52.63023602310568,0.0,0.5415299674496055,0.0,8.557017019484192,0.0,2311.0,189.0,16
fast,spacex,json_manip,regex,1,0.8301587301587278,0.0,0.8301587301587278,0.8301587301587278,0.8301587301587278,0.0,0.8301587301587278,0.8301587301587278,0.057196336066616435,0.0,50569.641751816045,0.0,50569.641751816045,50569.641751816045,49.43677497794852,0.0,0.5340749630704522,0.0,17.542608024086803,0.0,2311.0,189.0,16
fast,spacex,schema_alter,levenshtein,1,0.4351851851851852,0.0,0.4351851851851852,0.4351851851851852,0.4351851851851852,0.0,0.4351851851851852,0.4351851851851852,0.00955118189772798,0.0,50553.32127268248,0.0,50553.32127268248,50553.32127268248,49.45273499470204,0.0,0.5093979998491704,0.0,0.821211957372725,0.0,2446.0,54.0,16
