phase,api,chaos_method,reconciler,n_iterations,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,hosseini_mean,hosseini_std,hosseini_min,hosseini_max,latency_mean_ms,latency_std_ms,throughput_mean_pps,throughput_std_pps,throughput_min_pps,throughput_max_pps,total_time_mean_ms,total_time_std_ms,fast_path_latency_mean_ms,fast_path_latency_std_ms,gpu_latency_mean_ms,gpu_latency_std_ms,packets_clean_mean,packets_drifted_mean,batch_size
quantum,finnhub,qwen,quantum_routed,1,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0.006280155062223926,0.0,42.31767597094903,0.0,42.31767597094903,42.31767597094903,59076.96825591847,0.0,28.42135587707162,0.0,58994.70438994467,0.0,2368.0,132.0,256
quantum,openweather,schema_alter,quantum_routed,1,0.45999999999999996,0.0,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.0,0.45999999999999996,0.45999999999999996,0.008796557614749128,0.0,37.34943680372881,0.0,37.34943680372881,37.34943680372881,66935.41359505616,0.0,139.65966901741922,0.0,66689.21084795147,0.0,2445.0,55.0,256
quantum,clinical,schema_alter,quantum_routed,1,0.34566666666666673,0.0,0.34566666666666673,0.34566666666666673,0.34566666666666673,0.0,0.34566666666666673,0.34566666666666673,0.014125943804780642,0.0,37.30490265501929,0.0,37.30490265501929,37.30490265501929,67015.32029500231,0.0,29.692732030525804,0.0,66394.2496960517,0.0,2440.0,60.0,256
quantum,hockey_nhl,schema_alter,quantum_routed,1,0.7094588299640479,0.0,0.7094588299640479,0.7094588299640479,0.7094588299640479,0.0,0.7094588299640479,0.7094588299640479,0.3849896114139307,0.0,45.507504825714065,0.0,45.507504825714065,45.507504825714065,54935.99373498,0.0,12800.33050198108,0.0,32082.624941132963,0.0,2438.0,62.0,256
quantum,spacex,schema_alter,quantum_routed,1,0.2277027027027027,0.0,0.2277027027027027,0.2277027027027027,0.22770270270270268,0.0,0.22770270270270268,0.22770270270270268,0.0061239336139044245,0.0,34.95624441067786,0.0,34.95624441067786,34.95624441067786,71517.98032503575,0.0,22.951646940782666,0.0,71185.82152109593,0.0,2426.0,74.0,256
quantum,aviation_opensky,schema_alter,quantum_routed,1,0.35270270270270265,0.0,0.35270270270270265,0.35270270270270265,0.35270270270270265,0.0,0.35270270270270265,0.35270270270270265,0.006628811132867594,0.0,35.0586021445607,0.0,35.0586021445607,35.0586021445607,71309.17512602173,0.0,17459.107741015032,0.0,52674.24980690703,0.0,2426.0,74.0,256
quantum,smartcity_transit,schema_alter,quantum_routed,1,0.6467920415770231,0.0,0.6467920415770231,0.6467920415770231,0.6467920415770231,0.0,0.6467920415770231,0.6467920415770231,0.12217495851673005,0.0,33.80099358749982,0.0,33.80099358749982,33.80099358749982,73962.32283907011,0.0,277.1561520639807,0.0,72743.74771094881,0.0,2418.0,82.0,256
quantum,football_uefa,schema_alter,quantum_routed,1,0.5741258741258739,0.0,0.5741258741258739,0.5741258741258739,0.5741258741258739,0.0,0.5741258741258739,0.5741258741258739,0.07379723352972757,0.0,37.73486443873501,0.0,37.73486443873501,37.73486443873501,66251.72866485082,0.0,7343.211600091308,0.0,53523.3710820321,0.0,2412.0,88.0,256
quantum,openf1,schema_alter,quantum_routed,1,0.47010526315789475,0.0,0.47010526315789475,0.47010526315789475,0.47010526315789475,0.0,0.47010526315789475,0.47010526315789475,0.02455708178642549,0.0,31.42017254177354,0.0,31.42017254177354,31.42017254177354,79566.7177408468,0.0,237.49897512607276,0.0,79238.19094197825,0.0,2405.0,95.0,256
quantum,finnhub,schema_alter,quantum_routed,1,0.3598039215686274,0.0,0.3598039215686274,0.3598039215686274,0.3598039215686274,0.0,0.3598039215686274,0.3598039215686274,0.008694355047362693,0.0,30.811994644488664,0.0,30.811994644488664,30.811994644488664,81137.23336788826,0.0,28.191751101985574,0.0,81055.83239509724,0.0,2398.0,102.0,256
quantum,aviation_opensky,qwen,quantum_routed,1,0.34951456310679596,0.0,0.34951456310679596,0.34951456310679596,0.34951456310679596,0.0,0.34951456310679596,0.34951456310679596,0.005003788228173858,0.0,31.475732452718074,0.0,31.475732452718074,31.475732452718074,79426.26922996715,0.0,13593.896007863805,0.0,61546.616225037724,0.0,2397.0,103.0,256
quantum,openweather,qwen,quantum_routed,1,0.5934579439252338,0.0,0.5934579439252338,0.5934579439252338,0.5934579439252338,0.0,0.5934579439252338,0.5934579439252338,0.00997090703485725,0.0,29.63861050276478,0.0,29.63861050276478,29.63861050276478,84349.43330986425,0.0,37.2888739220798,0.0,84221.03614499792,0.0,2393.0,107.0,256
quantum,football_uefa,qwen,quantum_routed,1,0.575358539765319,0.0,0.575358539765319,0.575358539765319,0.575358539765319,0.0,0.575358539765319,0.575358539765319,1.66367870060948,0.0,30.132349223022153,0.0,30.132349223022153,30.132349223022153,82967.31136017479,0.0,7917.844845913351,0.0,72645.85250406526,0.0,2382.0,118.0,256
