phase,api,chaos_method,reconciler,iteration,seed,accuracy,hosseini_resilience,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_pps,total_time_ms,packets_processed,packets_clean,packets_drifted,fast_path_latency_ms,gpu_latency_ms,batch_size,drift_event_count
quantum,openweather,qwen,quantum_routed,1,2826526034,0.5363636363636364,0.5363636363636364,0.008095543608377295,0.0,0.034785945899784565,44.795628709348954,55809.01690700557,2500,2379,121,14.488402055576444,54948.66055599414,256,484
quantum,openweather,schema_alter,quantum_routed,1,3176273455,0.44814814814814813,0.44814814814814813,0.01042403487695588,0.0,0.031098956242203712,39.48038160990245,63322.58955098223,2500,2446,54,29.896462918259203,63231.94455599878,256,216
quantum,hockey_nhl,schema_alter,quantum_routed,1,864844442,0.730091650550603,0.7300916505506029,0.2827159395175321,0.0,0.5897210212424397,52.181366073366334,47909.822760964744,2500,2437,63,13852.643785998225,23852.53562196158,256,1638
quantum,clinical,schema_alter,quantum_routed,1,623136646,0.30089552238805983,0.30089552238805983,0.012285917052137317,0.0,0.05000503733754158,37.771182623950935,66188.02553496789,2500,2433,67,289.690900943242,65665.285749943,256,335
quantum,spacex,schema_alter,quantum_routed,1,2306848957,0.2013698630136986,0.2013698630136986,0.007232507588724567,0.0,0.035276985727250576,35.9102805927154,69617.94669204392,2500,2427,73,59.116540011018515,69015.50605695229,256,292
quantum,aviation_opensky,schema_alter,quantum_routed,1,3330513406,0.4226666666666666,0.4226666666666666,0.005358192138373852,0.0,0.0355869997292757,36.14467167604071,69166.48800706025,2500,2425,75,6473.484718007967,60604.33733998798,256,150
quantum,smartcity_transit,schema_alter,quantum_routed,1,4161577514,0.6463592260733829,0.6463592260733829,0.2822973471049262,0.0,4.907338065095246,35.42916408803828,70563.33572498988,2500,2413,87,985.561506007798,69132.27836496662,256,1740
quantum,football_uefa,schema_alter,quantum_routed,1,2773541159,0.5874894336432794,0.5874894336432794,0.08032323951208657,0.0,0.15382305718958378,35.55461473682153,70314.36055502854,2500,2409,91,7686.919257976115,56893.64300807938,256,1183
quantum,finnhub,schema_alter,quantum_routed,1,1753426110,0.30339805825242716,0.30339805825242716,0.007025204662197423,0.0,0.03250199370086193,32.112734598600674,77850.73526902124,2500,2397,103,171.7910229926929,77027.81114599202,256,412
quantum,openf1,schema_alter,quantum_routed,1,871865710,0.5309259259259258,0.5309259259259258,0.040292898322352104,0.0,0.340917962603271,31.12594968260776,80318.83446103893,2500,2392,108,475.0570800388232,78389.64827300515,256,1080
quantum,aviation_opensky,qwen,quantum_routed,1,2436039110,0.4192660550458713,0.4192660550458713,0.006695033409931791,0.0,0.05555502139031887,31.13786403346275,80288.1018850021,2500,2391,109,4067.0324800303206,71483.22292405646,256,218
quantum,clinical,qwen,quantum_routed,1,608992924,0.472074494949495,0.472074494949495,0.014141142795172831,0.0,0.04596705548465252,29.97711089855674,83396.96271799039,2500,2380,120,31.59530204720795,83150.66306490917,256,600
quantum,smartcity_transit,qwen,quantum_routed,1,961063833,0.6900688919077878,0.6900688919077878,0.1935828401426959,0.0,7.767474977299571,30.17846345574762,82840.53307306021,2500,2377,123,2073.9632790209725,80474.20221602079,256,2460
quantum,football_uefa,qwen,quantum_routed,1,2470270663,0.5894374282433984,0.5894374282433984,1.3385571082428431,0.0,148.81016092840582,29.579163730902103,84518.95471906755,2500,2366,134,6512.570349033922,71886.49852003437,256,1742
quantum,finnhub,qwen,quantum_routed,1,1301935308,0.3946153846153846,0.3946153846153846,0.008321444217402201,0.0,0.033112941309809685,27.62590974901228,90494.75737498142,2500,2370,130,24.088641977868974,90333.73218704946,256,520
quantum,hockey_nhl,qwen,quantum_routed,1,587980450,0.7574132944406952,0.7574132944406952,0.8699618650738288,0.0,64.56880795303732,32.34694452403953,77287.05251100473,2500,2365,135,12865.058342926204,54766.491277026944,256,3510
