phase,api,chaos_method,reconciler,n_iterations,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,hosseini_mean,hosseini_std,hosseini_min,hosseini_max,latency_mean_ms,latency_std_ms,throughput_mean_pps,throughput_std_pps,throughput_min_pps,throughput_max_pps,total_time_mean_ms,total_time_std_ms,fast_path_latency_mean_ms,fast_path_latency_std_ms,gpu_latency_mean_ms,gpu_latency_std_ms,packets_clean_mean,packets_drifted_mean,batch_size
quantum,openweather,schema_alter,quantum_routed,1,0.5277777777777777,0.0,0.5277777777777777,0.5277777777777777,0.5277777777777777,0.0,0.5277777777777777,0.5277777777777777,0.020229166559012676,0.0,47.14462069567569,0.0,47.14462069567569,47.14462069567569,53028.31931001856,0.0,105.54415298975073,0.0,50998.48688900238,0.0,2446.0,54.0,256
quantum,hockey_nhl,schema_alter,quantum_routed,1,0.6956906434744768,0.0,0.6956906434744768,0.6956906434744768,0.6956906434744768,0.0,0.6956906434744768,0.6956906434744768,0.26573124385763414,0.0,53.77083397405956,0.0,53.77083397405956,53.77083397405956,46493.606575008016,0.0,13734.877993992995,0.0,23948.017785995035,0.0,2434.0,66.0,256
quantum,clinical,schema_alter,quantum_routed,1,0.24909090909090906,0.0,0.24909090909090906,0.24909090909090906,0.24909090909090909,0.0,0.24909090909090909,0.24909090909090909,0.009702303390385527,0.0,38.66004879777106,0.0,38.66004879777106,38.66004879777106,64666.24015601701,0.0,31.166669010417536,0.0,64366.517470014514,0.0,2434.0,66.0,256
quantum,spacex,schema_alter,quantum_routed,1,0.22708333333333336,0.0,0.22708333333333336,0.22708333333333336,0.22708333333333336,0.0,0.22708333333333336,0.22708333333333336,0.007574984920211136,0.0,37.328228651442366,0.0,37.328228651442366,37.328228651442366,66973.4431639954,0.0,105.60836698277853,0.0,66770.24296298623,0.0,2428.0,72.0,256
quantum,aviation_opensky,schema_alter,quantum_routed,1,0.3233766233766233,0.0,0.3233766233766233,0.3233766233766233,0.3233766233766233,0.0,0.3233766233766233,0.3233766233766233,0.0051856479401905815,0.0,38.658165945980656,0.0,38.658165945980656,38.658165945980656,64669.38973497599,0.0,9143.070828984492,0.0,52694.02259401977,0.0,2423.0,77.0,256
quantum,smartcity_transit,schema_alter,quantum_routed,1,0.7017036782881751,0.0,0.7017036782881751,0.7017036782881751,0.7017036782881751,0.0,0.7017036782881751,0.7017036782881751,0.1441453981875296,0.0,36.33326965157465,0.0,36.33326965157465,36.33326965157465,68807.46004899265,0.0,1264.2423090001103,0.0,65038.24645100394,0.0,2417.0,83.0,256
quantum,football_uefa,schema_alter,quantum_routed,1,0.5472527472527469,0.0,0.5472527472527469,0.5472527472527469,0.5472527472527469,0.0,0.5472527472527469,0.5472527472527469,0.10028807766182901,0.0,37.85220198040725,0.0,37.85220198040725,37.85220198040725,66046.35580498143,0.0,6066.220022010384,0.0,54442.58914198144,0.0,2409.0,91.0,256
quantum,finnhub,schema_alter,quantum_routed,1,0.24215686274509798,0.0,0.24215686274509798,0.24215686274509798,0.24215686274509796,0.0,0.24215686274509796,0.24215686274509796,0.004725745883678981,0.0,32.75128919777224,0.0,32.75128919777224,32.75128919777224,76332.8730329813,0.0,29.603153001517057,0.0,76242.93751397636,0.0,2398.0,102.0,256
quantum,aviation_opensky,qwen,quantum_routed,1,0.42201834862385296,0.0,0.42201834862385296,0.42201834862385296,0.42201834862385296,0.0,0.42201834862385296,0.42201834862385296,0.006847219742458621,0.0,32.666066778511116,0.0,32.666066778511116,32.666066778511116,76532.01767298742,0.0,8381.686459993944,0.0,67757.19301798381,0.0,2391.0,109.0,256
quantum,openf1,schema_alter,quantum_routed,1,0.4948611111111109,0.0,0.4948611111111109,0.4948611111111109,0.494861111111111,0.0,0.494861111111111,0.494861111111111,0.03615391701546118,0.0,31.177004422175386,0.0,31.177004422175386,31.177004422175386,80187.3062000086,0.0,128.23045201366767,0.0,79750.75537498924,0.0,2392.0,108.0,256
