phase,api,chaos_method,reconciler,n_iterations,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,hosseini_mean,hosseini_std,hosseini_min,hosseini_max,latency_mean_ms,latency_std_ms,throughput_mean_pps,throughput_std_pps,throughput_min_pps,throughput_max_pps,total_time_mean_ms,total_time_std_ms,fast_path_latency_mean_ms,fast_path_latency_std_ms,gpu_latency_mean_ms,gpu_latency_std_ms,packets_clean_mean,packets_drifted_mean,batch_size
quantum,openf1,json_manip,quantum_routed,1,0.9052598476409912,0.0,0.9052598476409912,0.9052598476409912,0.905259907245636,0.0,0.905259907245636,0.905259907245636,12.852641071393684,0.0,959.28132202743,0.0,959.28132202743,959.28132202743,2606.1176660005003,0.0,78.44709500204772,0.0,2287.6229889225215,0.0,2333.0,167.0,64
quantum,openf1,qwen,quantum_routed,1,0.85047447681427,0.0,0.85047447681427,0.85047447681427,0.85047447681427,0.0,0.85047447681427,0.85047447681427,18.657700928331465,0.0,739.8972350851867,0.0,739.8972350851867,739.8972350851867,3378.8476040354,0.0,127.43038800545037,0.0,3125.355099909939,0.0,2343.0,157.0,64
quantum,openf1,schema_alter,quantum_routed,1,0.8670477867126465,0.0,0.8670477867126465,0.8670477867126465,0.8670477867126465,0.0,0.8670477867126465,0.8670477867126465,29.11653612363374,0.0,688.7162809325997,0.0,688.7162809325997,688.7162809325997,3629.941776045598,0.0,360.11249804869294,0.0,3198.843940976076,0.0,2395.0,105.0,64
quantum,finnhub,json_manip,quantum_routed,1,0.7790611982345581,0.0,0.7790611982345581,0.7790611982345581,0.7790611982345581,0.0,0.7790611982345581,0.7790611982345581,24.115348094918033,0.0,637.4569939837334,0.0,637.4569939837334,637.4569939837334,3921.833195956424,0.0,32.53755299374461,0.0,3687.4556890688837,0.0,2351.0,149.0,64
quantum,finnhub,qwen,quantum_routed,1,0.7881819605827332,0.0,0.7881819605827332,0.7881819605827332,0.7881819605827332,0.0,0.7881819605827332,0.7881819605827332,29.222883161310165,0.0,620.1532624095391,0.0,620.1532624095391,620.1532624095391,4031.2615470029414,0.0,61.294656014069915,0.0,3896.6685810592026,0.0,2372.0,128.0,64
quantum,finnhub,schema_alter,quantum_routed,1,0.8103238940238953,0.0,0.8103238940238953,0.8103238940238953,0.8103238940238953,0.0,0.8103238940238953,0.8103238940238953,42.816385456125786,0.0,533.2873252321294,0.0,533.2873252321294,533.2873252321294,4687.904402962886,0.0,39.8103860206902,0.0,4605.455256998539,0.0,2397.0,103.0,64
quantum,spacex,schema_alter,quantum_routed,1,0.7840275764465332,0.0,0.7840275764465332,0.7840275764465332,0.7840275764465332,0.0,0.7840275764465332,0.7840275764465332,31.413024369006354,0.0,948.076835606554,0.0,948.076835606554,948.076835606554,2636.91707898397,0.0,19.584786030463874,0.0,2339.8272279882804,0.0,2428.0,72.0,64
quantum,spacex,qwen,quantum_routed,1,0.8179329633712769,0.0,0.8179329633712769,0.8179329633712769,0.8179329633712769,0.0,0.8179329633712769,0.8179329633712769,26.426217547638245,0.0,661.659345548272,0.0,661.659345548272,661.659345548272,3778.3793379785493,0.0,19.809141056612134,0.0,3734.37832610216,0.0,2363.0,137.0,64
quantum,openweather,schema_alter,quantum_routed,1,0.826852023601532,0.0,0.826852023601532,0.826852023601532,0.826852023601532,0.0,0.826852023601532,0.826852023601532,34.54886466540672,0.0,1268.2565215557402,0.0,1268.2565215557402,1268.2565215557402,1971.2100489996374,0.0,19.50064196716994,0.0,1929.6456420561299,0.0,2446.0,54.0,64
quantum,openweather,qwen,quantum_routed,1,0.8205422163009644,0.0,0.8205422163009644,0.8205422163009644,0.8205422163009644,0.0,0.8205422163009644,0.8205422163009644,25.997136538917914,0.0,853.4128268558724,0.0,853.4128268558724,853.4128268558724,2929.4146060710773,0.0,19.72866605501622,0.0,2885.156294913031,0.0,2393.0,107.0,64
quantum,openweather,json_manip,quantum_routed,1,0.8429937362670898,0.0,0.8429937362670898,0.8429937362670898,0.8429937958717346,0.0,0.8429937958717346,0.8429937958717346,86.43403447673799,0.0,191.50252546293115,0.0,191.50252546293115,191.50252546293115,13054.658125038259,0.0,19.429744919762015,0.0,13012.59218598716,0.0,2351.0,149.0,64
quantum,spacex,json_manip,quantum_routed,1,0.8716977834701538,0.0,0.8716977834701538,0.8716977834701538,0.871697723865509,0.0,0.871697723865509,0.871697723865509,132.05388339132617,0.0,102.08123661705547,0.0,102.08123661705547,102.08123661705547,24490.298931021243,0.0,19.367325003258884,0.0,24448.66522005759,0.0,2316.0,184.0,64
quantum,hockey_nhl,schema_alter,quantum_routed,1,0.7474010996618793,0.0,0.7474010996618793,0.7474010996618793,0.7474010996618793,0.0,0.7474010996618793,0.7474010996618793,0.3070880147610225,0.0,284.4422659167202,0.0,284.4422659167202,284.4422659167202,8789.129814947955,0.0,6428.176061017439,0.0,88.15219404641539,0.0,2449.0,51.0,64
quantum,hockey_nhl,qwen,quantum_routed,1,0.8827980756759644,0.0,0.8827980756759644,0.8827980756759644,0.8827980756759644,0.0,0.8827980756759644,0.8827980756759644,183.20362075758206,0.0,80.42434934320127,0.0,80.42434934320127,80.42434934320127,31085.113158100285,0.0,6384.043755941093,0.0,22836.971312994137,0.0,2377.0,123.0,64
quantum,hockey_nhl,json_manip,quantum_routed,1,0.9239377379417419,0.0,0.9239377379417419,0.9239377379417419,0.9239377379417419,0.0,0.9239377379417419,0.9239377379417419,73.89333709709447,0.0,110.56586105114272,0.0,110.56586105114272,110.56586105114272,22610.957634053193,0.0,6394.072851981036,0.0,14053.94761892967,0.0,2315.0,185.0,64
