phase,api,chaos_method,reconciler,iteration,seed,accuracy,hosseini_resilience,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_pps,total_time_ms,packets_processed,packets_clean,packets_drifted,fast_path_latency_ms,gpu_latency_ms,batch_size,drift_event_count
quantum,openf1,qwen,quantum_routed,1,3260074454,0.47240926794724264,0.47240926794724264,0.012880550399776312,0.0,0.08287501987069845,57.06149527616995,43812.3814999999,2500,2342,158,12.466333020711318,43786.215665983036,8,1580
quantum,openf1,json_manip,quantum_routed,1,1925043681,0.5037116564417178,0.5037116564417178,0.011297546154276633,0.0,0.04033301956951618,100.64182985230966,24840.565833001165,2500,2337,163,12.671374977799132,24815.438208985142,8,1630
quantum,openf1,schema_alter,quantum_routed,1,871865710,0.47388888888888886,0.47388888888888886,0.014465251297224313,0.0,0.06633298471570015,104.03393057227044,24030.621415993664,2500,2392,108,12.67316599842161,24004.28974998067,8,1080
quantum,finnhub,qwen,quantum_routed,1,1301935308,0.3515384615384616,0.3515384615384616,0.0029516001142418156,0.0,0.03825000021606684,72.52114889845306,34472.702625003876,2500,2370,130,6.462999997893348,34457.31374999741,8,520
quantum,finnhub,json_manip,quantum_routed,1,3091342568,0.4689759036144578,0.4689759036144578,0.003422421988111034,0.0,0.015500001609325409,139.62927147980668,17904.555208981037,2500,2334,166,6.52500000433065,17888.86358300806,8,664
quantum,finnhub,schema_alter,quantum_routed,1,1753426110,0.42401960784313725,0.4240196078431373,0.005475931638833501,0.0,0.033333024475723505,99.06973371446625,25234.75037497701,2500,2398,102,6.535999971674755,25219.58641699166,8,408
quantum,spacex,qwen,quantum_routed,1,1869236560,0.41479082555724894,0.41479082555724894,0.003728671441276143,0.0,0.03787502646446228,72.10426184040462,34672.0143329876,2500,2363,137,6.554999999934807,34656.618833018,8,548
quantum,spacex,json_manip,quantum_routed,1,1880403096,0.5057065217391304,0.5057065217391304,0.003919363655807936,0.0,0.01391599653288722,69.60936409256699,35914.70820902032,2500,2316,184,6.76275001023896,35899.55208299216,8,736
quantum,spacex,schema_alter,quantum_routed,1,2306848957,0.30000000000000004,0.30000000000000004,0.0022280134241251894,0.0,0.01333298860117793,154.2180379941723,16210.814457997913,2500,2428,72,7.39283298025839,16190.501834003953,8,288
quantum,openweather,qwen,quantum_routed,1,2826526034,0.2757009345794392,0.2757009345794392,0.0024817105508888157,0.0,0.011833006283268332,86.91609970641058,28763.37075000629,2500,2393,107,6.682374980300665,28747.654834005516,8,428
