packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
298439c73a0c,spielberg_FP1,rpm_alt,schema_drift,detection,0.0016,False
00cdefb9147b,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0059,True
3b402f4ae76f,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0012,True
d9dbd9aa082e,spielberg_FP1,aero_load,bit_flip_high,detection,0.0113,True
5eadff01003a,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0048,False
efc7684cce9c,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0059,True
a4841e174017,spielberg_FP1,throttle,null_value,detection,0.0015,True
05ffa16e60b8,spielberg_FP1,speed,string_in_numeric,detection,0.0056,True
a644e8601cd3,spielberg_FP1,heart_rate,null_value,detection,0.002,True
4ec037ba3e02,spielberg_FP1,speed,duplicate_timestamp,detection,0.0021,False
a70fa022925d,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0067,True
b96ae7c69ecf,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.01,False
bfbd016096e9,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0066,True
8c391a574c2d,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0023,False
eb682e6c77da,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0014,True
e3b3fa44ff77,spielberg_FP1,ecu_canbus,null_value,detection,0.0011,True
ccfc5040650d,spielberg_FP1,rpm,string_in_numeric,detection,0.0018,True
02506b0d400c,spielberg_FP1,aero_load,bit_flip_high,detection,0.0055,True
899f2b376623,spielberg_FP1,aero_load,bit_flip_low,detection,0.0177,True
5d54268d2078,spielberg_FP1,ecu_canbus,null_value,detection,0.0016,True
4261bca24da2,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0116,False
516492804eed,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0091,False
1ea9aea6d568,spielberg_FP1,aero_load,bit_flip_low,detection,0.0096,True
69e1346fa5df,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0014,True
a7b0c1091a12,spielberg_FP1,rpm,sensor_dropout,detection,0.002,True
b3505ed069e4,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0015,True
66c211d31198,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0013,True
fda4ef031f1a,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0019,False
2cc826b68b9b,spielberg_FP1,rpm,sensor_dropout,detection,0.0025,True
87c05bb1ef0f,spielberg_FP1,aero_load,null_value,detection,0.0011,True
d6cc982bf1ae,spielberg_FP1,rpm,string_in_numeric,detection,0.0017,True
fcbdc6c26309,spielberg_FP1,speed,bit_flip_high,detection,0.0087,True
4e3d5269ac5a,spielberg_FP1,throttle,bit_flip_low,detection,0.0067,True
c1dc93b2b642,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0067,True
57a4084dcb74,spielberg_FP1,throttle_v2,schema_drift,detection,0.0025,False
ad1fe95cc46b,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0021,False
2a975966a231,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0022,False
08558041dad5,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0027,False
de4435673e9b,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0026,False
8198375a009a,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0017,True
37a4a9a34ff3,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0047,True
651140c85b59,spielberg_FP1,speed,null_value,detection,0.0012,True
064b2b362eb0,spielberg_FP1,throttle,string_in_numeric,detection,0.0014,True
e0fc38c03ed9,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0062,True
42699ddd7b0f,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0128,True
8ad70d8ffb9b,spielberg_FP1,throttle,sensor_dropout,detection,0.001,True
