packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
cd34cae82e79,spielberg_FP1,speed,bit_flip_low,detection,0.0097,True
ddc092f2eebb,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0144,True
b46da85f6837,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0008,True
f0defc38fc07,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0008,True
04c8bc365c67,spielberg_FP1,throttle,sensor_dropout,detection,0.0007,True
061fe89936ba,spielberg_FP1,rpm,bit_flip_low,detection,0.0116,True
8a8ac3621fd2,spielberg_FP1,speed,string_in_numeric,detection,0.0041,True
c215734245ca,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0015,False
f809bf807683,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0057,True
9e1c7d68d5ab,spielberg_FP1,speed,string_in_numeric,detection,0.0012,True
e29ad7445b75,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.004,True
dedf9e5d0290,spielberg_FP1,speed,sensor_dropout,detection,0.0006,True
7e2821f7c654,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0033,True
db010ce40645,spielberg_FP1,rpm,null_value,detection,0.0005,True
1368528436ed,spielberg_FP1,heart_rate,null_value,detection,0.0005,True
23655cd06c98,spielberg_FP1,throttle,bit_flip_high,detection,0.0031,True
1f41791332ff,spielberg_FP1,speed,string_in_numeric,detection,0.0007,True
de915c133bcc,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0005,True
56e1ba7f4df6,spielberg_FP1,aero_load,bit_flip_low,detection,0.0039,True
527e2b1f41b2,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.001,True
11f917c0543d,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0007,False
e30e00cd7cc3,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0017,True
b7d7d186d98c,spielberg_FP1,speed,null_value,detection,0.0005,True
93a27a5965cb,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0011,False
d6a7a6af6030,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0008,True
7fdac1368c90,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0006,False
88acb6510770,spielberg_FP1,aero_load,bit_flip_low,detection,0.004,True
6e5fd1d90cea,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0006,False
d4c1483313a1,spielberg_FP1,speed,bit_flip_high,detection,0.0028,True
59e13e2d80e7,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0008,False
0d41203435b2,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0031,True
324b3fa9f7e1,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0006,False
1383c651aac8,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0005,True
5fd206624d04,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0007,False
1f9a9bbd2765,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0042,True
d9ce5152fb27,spielberg_FP1,rpm,bit_flip_low,detection,0.0068,True
