packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
51b8d8338074,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0073,True
56f2c2245775,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0066,True
4afa43a36b46,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0039,True
1309fe904374,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0066,True
c32ebb606727,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0078,True
218ed151ece8,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0077,True
03f713d36998,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0078,True
99b18279f828,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.007,True
b3a71833cff5,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0074,True
222efaaa04a3,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0067,True
a5de01602ce7,spielberg_FP1,speed_alt,schema_drift,detection,0.0078,True
432712aaf24e,spielberg_FP1,brake_temp,string_in_numeric,detection,0.004,True
cdc4a93e9f18,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0068,True
85c456d8849f,spielberg_FP2,tyre_pressure,string_in_numeric,detection,0.0038,True
c3cff515d6ed,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0093,True
2e6f237f3d69,spielberg_FP2,rpm_alt,schema_drift,detection,0.008,True
9f5b8a7fce3d,spielberg_FP2,ecu_canbus,string_in_numeric,detection,0.0037,True
4ec256e4d856,spielberg_FP2,engine_temp_v2,schema_drift,detection,0.0072,True
6106c7288a2c,spielberg_FP2,ecu_canbus_raw,schema_drift,detection,0.0076,True
01292984fb66,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0072,True
5c592d17585c,spielberg_FP2,ecu_canbus_v2,schema_drift,detection,0.008,True
a8b711e4c9d1,spielberg_FP3,heart_rate,string_in_numeric,detection,0.0037,True
49bf58eb111c,spielberg_FP3,brake_temp_v2,schema_drift,detection,0.0074,True
b6279c2ef3b4,spielberg_FP3,speed_canbus,schema_drift,detection,0.0079,True
052af4401529,spielberg_FP3,tyre_pressure,duplicate_timestamp,detection,0.0071,True
21dde206536a,spielberg_FP3,g_force_lateral,duplicate_timestamp,detection,0.007,True
7b348c5f6231,spielberg_FP3,engine_temp,duplicate_timestamp,detection,0.0065,True
