packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
dc9acb5e979f,spielberg_FP1,aero_load,sensor_dropout,detection,0.006,True
6eced7d22703,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0062,True
f39122b23865,spielberg_FP1,rpm,sensor_dropout,detection,0.0063,True
e728625a5454,spielberg_FP1,brake_temp,null_value,detection,0.0057,True
dbc547b29a04,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0096,True
972f76058bc9,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0064,True
6ed3f39be85f,spielberg_FP1,speed_canbus,schema_drift,detection,0.0077,True
7eb49a890d02,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0061,True
5f6a4a706925,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0099,True
06a70a1fc633,spielberg_FP1,throttle,bit_flip_high,detection,0.0104,True
c28c67c1a41f,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0058,True
51972c4ce697,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0039,True
9dc1bfd72f79,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0074,True
933b952cda8d,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0071,True
1d0797ff89c4,spielberg_FP1,aero_load_new,schema_drift,detection,0.0077,True
077834db1097,spielberg_FP1,speed,bit_flip_low,detection,0.0106,True
ac55c6ad4bf6,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0062,True
4a40be3ed270,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0074,True
b870a9b479d0,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0057,True
e43f500490d5,spielberg_FP1,engine_temp,null_value,detection,0.0058,True
b7cba96447a2,spielberg_FP1,throttle,sensor_dropout,detection,0.0055,True
6bee586af2d8,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0074,True
9e9e9ad64737,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0094,True
1acbca400580,spielberg_FP1,speed,bit_flip_low,detection,0.0097,True
4d65ef15f9b5,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0062,True
dbf1ad0a6b01,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0103,True
d068325f4c0e,spielberg_FP1,throttle,bit_flip_high,detection,0.0113,True
953c8e0e59d7,spielberg_FP1,throttle_raw,schema_drift,detection,0.0075,True
b84e295cb259,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.007,True
57721a10fb61,spielberg_FP1,brake_temp,null_value,detection,0.0056,True
f74bf73e2008,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0076,True
0b33f0037c4c,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0073,True
