packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
b5c03f36a8d3,spielberg_FP1,heart_rate,null_value,detection,0.006,True
86212a3205f5,spielberg_FP1,rpm,bit_flip_low,detection,0.0112,True
0233daa08c22,spielberg_FP1,aero_load,null_value,detection,0.0059,True
1a88551045e9,spielberg_FP1,speed,duplicate_timestamp,detection,0.0065,True
9f2f765f48b5,spielberg_FP1,speed,duplicate_timestamp,detection,0.0066,True
2e4475d51301,spielberg_FP1,throttle,null_value,detection,0.0055,True
c334d4746e25,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0038,True
9fbfb630fdbf,spielberg_FP1,speed_v2,schema_drift,detection,0.0072,True
98dc9f6bb4b3,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0126,True
43db0c2b8049,spielberg_FP1,rpm,bit_flip_low,detection,0.0107,True
458d8b5e806f,spielberg_FP1,engine_temp,null_value,detection,0.0059,True
0eb0b15217a5,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0089,True
9d4c23f6ba58,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0069,True
6bbeb05e7bba,spielberg_FP1,rpm_v2,schema_drift,detection,0.0075,True
6311116983ee,spielberg_FP1,throttle,sensor_dropout,detection,0.0062,True
2c817cef52f4,spielberg_FP1,aero_load,bit_flip_low,detection,0.0111,True
a992bfc81ff3,spielberg_FP1,rpm,bit_flip_low,detection,0.0355,True
725f9b54cf2f,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0097,True
c1e2ce3fc9fd,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0075,True
5731d981c4eb,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
65fd476be8cd,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0055,True
f3d809744ec1,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0092,True
2275ddd0b8a2,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0072,True
6822ba5dfd9f,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0093,True
38d3cb8ad7a4,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0035,True
ec58a5fdebaa,spielberg_FP1,tyre_pressure,null_value,detection,0.0055,True
715b3b507a96,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0102,True
bda6fb8cb844,spielberg_FP1,throttle_alt,schema_drift,detection,0.0143,True
de70efd14ead,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0059,True
4fcdb3175ece,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0074,True
017d93042c7d,spielberg_FP1,heart_rate,null_value,detection,0.0055,True
b117a2629b8b,spielberg_FP1,speed,null_value,detection,0.0054,True
aecf326cc3d3,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0096,True
17466c1d003a,spielberg_FP1,aero_load,string_in_numeric,detection,0.0036,True
81d3db6fdf75,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0067,True
e0fe84a531af,spielberg_FP1,heart_rate,null_value,detection,0.0055,True
e2a81cdc168e,spielberg_FP1,speed,sensor_dropout,detection,0.0056,True
b9f575be8a55,spielberg_FP1,brake_temp,null_value,detection,0.0057,True
a3d248b4216f,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0106,True
