packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
62d68ba4fcc7,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.005,True
2fbe200e578d,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0025,False
188ede0c1191,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0016,True
2a91eaf0c682,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0043,True
271b52c7fa0a,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0046,True
875319513b11,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0021,False
8144983841b6,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0021,False
098050b83b14,spielberg_FP1,aero_load,bit_flip_low,detection,0.0047,True
f4e8fc1cfce0,spielberg_FP1,speed_new,schema_drift,detection,0.0023,False
951635feec7c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.002,False
8c8bcce15d1c,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0043,True
1139da31e1cd,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0024,False
e581422af1c3,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.002,False
17b07c00f936,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0044,True
50ec1e583431,spielberg_FP1,aero_load,null_value,detection,0.0015,True
2451f23918ba,spielberg_FP1,brake_temp,null_value,detection,0.0016,True
e9c70766f47b,spielberg_FP1,speed,bit_flip_low,detection,0.0047,True
fafe09a481f8,spielberg_FP1,aero_load,bit_flip_low,detection,0.0039,True
979eaf63c851,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0043,True
685f853a614d,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0018,False
e1b06eac698a,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0041,True
80f89b51b80c,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0014,True
c2d126420320,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0013,True
982fe12af0ec,spielberg_FP1,speed,duplicate_timestamp,detection,0.0021,False
2a51cc2df7e3,spielberg_FP1,speed_raw,schema_drift,detection,0.0022,False
d6fa774f8000,spielberg_FP1,throttle,sensor_dropout,detection,0.0012,True
ed1f0258a8a0,spielberg_FP1,speed,string_in_numeric,detection,0.0015,True
f3eb6bc544f5,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0017,False
626f9330e001,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0044,True
2646a542bd08,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0041,True
fdf5abf5d71d,spielberg_FP1,speed,string_in_numeric,detection,0.0015,True
375651715291,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0044,True
9f740071e84b,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0021,False
906788c603ca,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0019,False
