packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
4a090745d27e,spielberg_FP1,brake_temp,null_value,detection,0.0061,True
684d8d93856b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0071,True
c4cc5ed48873,spielberg_FP1,speed,bit_flip_high,detection,0.0102,True
099da8a85d82,spielberg_FP1,throttle,bit_flip_high,detection,0.0099,True
e6c8bea613ec,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0061,True
81239b089cd9,spielberg_FP1,speed,duplicate_timestamp,detection,0.0065,True
e201c9a37a62,spielberg_FP1,speed,null_value,detection,0.0059,True
a01a831fbebb,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0102,True
7f842352c61f,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0122,True
a981f0a74a2f,spielberg_FP1,speed,null_value,detection,0.0061,True
b92168e3055c,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0078,True
00543a8efde2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0036,True
15c7164a5ac5,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
cb2ca0c14c72,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0079,True
7bf0b44eac5f,spielberg_FP1,tyre_pressure,null_value,detection,0.0063,True
e2aaedf2cb6c,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0097,True
227eb9b3b329,spielberg_FP1,aero_load,sensor_dropout,detection,0.0072,True
a10e03e9f358,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0079,True
2213d6de515c,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0083,True
c83faba8b71f,spielberg_FP1,ecu_canbus,null_value,detection,0.0059,True
9257e50c69a9,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0077,True
8552e2287ece,spielberg_FP1,aero_load,bit_flip_low,detection,0.0105,True
c8297a49cc49,spielberg_FP1,heart_rate,null_value,detection,0.0063,True
b1929200dc9d,spielberg_FP1,speed,null_value,detection,0.0058,True
2f0862f43ef4,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0056,True
cba11137d746,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0068,True
1ceb965d7d24,spielberg_FP1,throttle,null_value,detection,0.0062,True
9f2546e9067b,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0082,True
6003dcad4c14,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0059,True
35ccd84a02e8,spielberg_FP1,rpm,bit_flip_high,detection,0.0126,True
c251d4a20258,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0119,True
9bb0bbe58b30,spielberg_FP1,rpm,null_value,detection,0.0058,True
4890fecdd4ba,spielberg_FP1,aero_load,bit_flip_high,detection,0.01,True
7bac2a65563f,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.006,True
ae2b6fc027a8,spielberg_FP1,throttle,bit_flip_low,detection,0.0099,True
5d28b71063f5,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0094,True
719c31075db6,spielberg_FP1,speed,bit_flip_low,detection,0.0094,True
e92d2059dfa2,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0099,True
b2137b6f7425,spielberg_FP1,heart_rate,null_value,detection,0.0058,True
d5a4a9c3f6fc,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0069,True
de7942966fba,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0105,True
e48c2cfa2df6,spielberg_FP1,rpm,bit_flip_low,detection,0.0099,True
feeec5561c8e,spielberg_FP1,heart_rate,null_value,detection,0.0057,True
d698d1baf471,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0066,True
43b1b01252d4,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0067,True
3258892eac2b,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0074,True
b4b75a35c470,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0099,True
777d3c33bb49,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0105,True
b2b6adbcf153,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0077,True
07ab8bb62fc6,spielberg_FP1,heart_rate,null_value,detection,0.006,True
8b257ce8fd04,spielberg_FP1,aero_load,sensor_dropout,detection,0.006,True
0abcd968ac72,spielberg_FP1,aero_load,string_in_numeric,detection,0.0036,True
5d01df72f532,spielberg_FP1,throttle,null_value,detection,0.0057,True
34289be35216,spielberg_FP1,ecu_canbus,null_value,detection,0.0057,True
54f385690b65,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0101,True
746c257cb4f8,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0054,True
66a55bf60bec,spielberg_FP1,heart_rate,null_value,detection,0.0056,True
a81e201ea523,spielberg_FP1,engine_temp,null_value,detection,0.0079,True
95ec642072ff,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0035,True
5193a61da6b5,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0067,True
fc63c23f4740,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0076,True
8919d671a46a,spielberg_FP1,rpm,bit_flip_low,detection,0.0105,True
69388150397c,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0066,True
f36951d70155,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0035,True
9358413f0fc5,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0061,True
6203c71e8469,spielberg_FP1,throttle,bit_flip_low,detection,0.0101,True
9098b29b7816,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0076,True
15171fcc4a04,spielberg_FP1,aero_load,bit_flip_high,detection,0.0111,True
4600ebf090e8,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0102,True
8bc88dd84e50,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0059,True
167b5fa22784,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0038,True
ca92abf3bd6d,spielberg_FP1,rpm,string_in_numeric,detection,0.0036,True
6726809d4848,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0099,True
16a9662a5cf3,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0092,True
44883695c038,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.018,True
2e1b54afd676,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0061,True
e4fbb3b4c90f,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0057,True
896c8ca400f7,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0036,True
2bfc2e269424,spielberg_FP1,rpm,string_in_numeric,detection,0.011,True
1acbfad277b0,spielberg_FP1,brake_temp,null_value,detection,0.0058,True
f3cc32e76f91,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0075,True
294a0952a6bf,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0036,True
72adeda695a6,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0097,True
f9cde8cf3dc6,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0035,True
8e16554ff849,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0075,True
44c4fd710313,spielberg_FP1,speed,sensor_dropout,detection,0.0058,True
cf2d43958206,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0079,True
d926a08ae5b5,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0066,True
0cd538f73b8f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0039,True
280db797d2ef,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0057,True
3ba310f0caf3,spielberg_FP1,rpm,bit_flip_high,detection,0.0107,True
0a0b272ce4d0,spielberg_FP1,speed_raw,schema_drift,detection,0.0076,True
f758385132c7,spielberg_FP2,brake_temp,sensor_dropout,detection,0.0112,True
9b6f7ded3ad0,spielberg_FP2,engine_temp,bit_flip_high,detection,0.0133,True
44c742e72ed0,spielberg_FP2,brake_temp_alt,schema_drift,detection,0.0076,True
cf887467415c,spielberg_FP2,ecu_canbus,null_value,detection,0.0056,True
d6356f550d2d,spielberg_FP2,aero_load,bit_flip_low,detection,0.0188,True
d50d63a264ae,spielberg_FP2,throttle_v2,schema_drift,detection,0.008,True
4646d83dd2a8,spielberg_FP2,throttle,bit_flip_low,detection,0.0109,True
26322ec3e915,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0038,True
2b0b7b162b2f,spielberg_FP2,g_force_lateral,duplicate_timestamp,detection,0.0068,True
65186b7d8558,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0067,True
be3f38f3f997,spielberg_FP2,speed,bit_flip_low,detection,0.01,True
5b8ec75f14f8,spielberg_FP2,throttle,bit_flip_low,detection,0.0102,True
369bf1cd6cef,spielberg_FP2,heart_rate_alt,schema_drift,detection,0.0078,True
2fb9bccf262b,spielberg_FP2,engine_temp,sensor_dropout,detection,0.007,True
b20c52a30e3e,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0066,True
7fef6776d31a,spielberg_FP2,engine_temp,bit_flip_high,detection,0.0106,True
f95847a7fef6,spielberg_FP2,engine_temp_new,schema_drift,detection,0.0086,True
b4750bb9075c,spielberg_FP2,speed,null_value,detection,0.0059,True
9ffd4ae7ba35,spielberg_FP2,brake_temp,bit_flip_low,detection,0.0102,True
bab1805bb6bc,spielberg_FP2,g_force_lateral,bit_flip_low,detection,0.0096,True
0698312e75f3,spielberg_FP2,heart_rate,null_value,detection,0.0058,True
d465df04c87d,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0035,True
0eab94897418,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0037,True
ab97a92962f9,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0035,True
cb6bbe44466b,spielberg_FP2,rpm_v2,schema_drift,detection,0.0081,True
4a7c98aedbd9,spielberg_FP2,tyre_pressure,bit_flip_high,detection,0.0106,True
