packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
65950b78b0a7,spielberg_FP1,aero_load,string_in_numeric,detection,0.0038,True
1a7ea1b171dc,spielberg_FP1,engine_temp,string_in_numeric,detection,0.004,True
0585acb4b3e3,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0069,True
6e225138f501,spielberg_FP1,speed_canbus,schema_drift,detection,0.0083,True
34b98a85b147,spielberg_FP1,rpm_raw,schema_drift,detection,0.0075,True
93452cf035fe,spielberg_FP1,speed_alt,schema_drift,detection,0.0078,True
96fd784d34f8,spielberg_FP1,throttle_raw,schema_drift,detection,0.008,True
5541891b0f8c,spielberg_FP1,speed,duplicate_timestamp,detection,0.0075,True
9ad5a594951b,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0066,True
6e46beba82d6,spielberg_FP1,throttle,string_in_numeric,detection,0.0038,True
12dc7e16c839,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0074,True
a4c58442399d,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0066,True
961f6386a4e2,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0066,True
bdf2a90bc02f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0069,True
823235cd2884,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0039,True
82dfdcf38847,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0079,True
e0413029499e,spielberg_FP1,rpm,string_in_numeric,detection,0.0038,True
771e694389c4,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0087,True
e61e4bfe85f8,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0072,True
2ac70185583b,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0065,True
0f737770ec4c,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0073,True
8f8935f33636,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0078,True
1e095cd708c0,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0067,True
3e0aed69dbe5,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0076,True
6d72171f2df4,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0074,True
7dd1e70b804a,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0071,True
c8cdd3a352df,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0039,True
3228a617176a,spielberg_FP1,aero_load_v2,schema_drift,detection,0.008,True
fe7f0811780f,spielberg_FP1,rpm,string_in_numeric,detection,0.0039,True
0fb5811b5aab,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.004,True
08fb9755703a,spielberg_FP1,throttle,string_in_numeric,detection,0.004,True
15caa6e55dcd,spielberg_FP1,aero_load,string_in_numeric,detection,0.0038,True
f9cb07a48722,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0074,True
73cd060103ae,spielberg_FP1,speed,duplicate_timestamp,detection,0.0067,True
c0166459e596,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0079,True
7c201769b627,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0078,True
1f2b9b6d5bf6,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0038,True
59c355317dfe,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
498917b306f1,spielberg_FP1,speed_v2,schema_drift,detection,0.0076,True
33a98c3db85d,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0077,True
0f9837e4cace,spielberg_FP1,speed,string_in_numeric,detection,0.0039,True
34fcafbf34d7,spielberg_FP1,speed,duplicate_timestamp,detection,0.0065,True
176a86c4e9ed,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0039,True
13642c4beb98,spielberg_FP1,speed,duplicate_timestamp,detection,0.0069,True
eeba740f7918,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0069,True
740d79389168,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0039,True
b7d9d0cd98bc,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0066,True
dd80881432c7,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0082,True
d77940f6c82b,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
6c87d6dd72e2,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0068,True
8375b152c006,spielberg_FP1,speed,duplicate_timestamp,detection,0.0066,True
5f8f41d8ba8a,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0074,True
1c9fd7e8ee4c,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
de4acaeb42dc,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0078,True
9a1be6d0eed6,spielberg_FP1,rpm,string_in_numeric,detection,0.0037,True
4a1059941eef,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0078,True
b7155b2b0f2c,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0069,True
a6a923a9d668,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0075,True
a2a18efb530c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0067,True
700b1c83894c,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0063,True
7934bfcf4c26,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0078,True
f1f63cfc20fd,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0038,True
28599fedbf28,spielberg_FP1,speed,string_in_numeric,detection,0.0038,True
822fae07f5d4,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0067,True
691c501203cf,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0077,True
15bbac6a6327,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0074,True
14679da155e4,spielberg_FP1,rpm_canbus,schema_drift,detection,0.008,True
a0fd04ab486f,spielberg_FP1,speed,duplicate_timestamp,detection,0.0067,True
15186c65903e,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0067,True
e639fb205ee5,spielberg_FP1,throttle,string_in_numeric,detection,0.0041,True
b88813481bfd,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0035,True
3f98de2197c2,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
a04d676f6a5a,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0039,True
659e915dbe96,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0038,True
e6453c650fbc,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0039,True
adeeaf7e58b7,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0068,True
9a10600c936c,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0066,True
f1a4fea855cc,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.008,True
0b23aba0fff3,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0039,True
30fa4406db0e,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0068,True
47db69c5e987,spielberg_FP1,speed_raw,schema_drift,detection,0.0078,True
cb999b4aa115,spielberg_FP1,speed,duplicate_timestamp,detection,0.0065,True
8b9de48e0d9f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0038,True
1d6bcfbbebe2,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0065,True
27fb3b736214,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0078,True
2c0259b767a1,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0074,True
5c079e0407b3,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0075,True
6af00f2dbbcd,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0072,True
f691d86a53fe,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0038,True
b2d16f0eee4e,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0035,True
192c074e34e8,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0067,True
088091731825,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0091,True
32fa16a6bff9,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0065,True
32153d87d962,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.007,True
f3306a7ee66c,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0052,True
33cc96f0d37e,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0074,True
c8f021a295e6,spielberg_FP1,heart_rate,string_in_numeric,detection,0.004,True
91f3b206c935,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0067,True
b174a7996260,spielberg_FP1,speed,duplicate_timestamp,detection,0.0067,True
009e4469dfb1,spielberg_FP1,rpm_alt,schema_drift,detection,0.0077,True
a614bdd1e7c5,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0069,True
0163a3abf479,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0074,True
