packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
d267e2e4a69b,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0039,True
d34cf12c936f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
a6d8cdeab92c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.007,True
c53f3d86809a,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
df7068645c1d,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0047,True
cb01712d9eb6,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0037,True
0fb410d0e7ba,spielberg_FP2,engine_temp_v2,schema_drift,detection,0.0079,True
c43cf23e03e4,spielberg_FP2,brake_temp_raw,schema_drift,detection,0.0072,True
7194f2daf816,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0038,True
2cf3b9735e43,spielberg_FP2,aero_load,string_in_numeric,detection,0.0042,True
a4902c454d9f,spielberg_FP2,brake_temp_v2,schema_drift,detection,0.0105,True
9cab648628b9,spielberg_FP3,heart_rate,duplicate_timestamp,detection,0.007,True
ec93bcc5abd8,spielberg_FP3,engine_temp_canbus,schema_drift,detection,0.0079,True
7379b7ae0d76,spielberg_FP3,speed,duplicate_timestamp,detection,0.0093,True
a8fc16ba5919,spielberg_FP3,heart_rate,string_in_numeric,detection,0.0036,True
1f65b7049dec,spielberg_FP3,brake_temp_new,schema_drift,detection,0.0079,True
2baae5e0a081,spielberg_FP3,g_force_lateral,duplicate_timestamp,detection,0.0072,True
99b41c2e5456,spielberg_FP3,tyre_pressure_alt,schema_drift,detection,0.0076,True
13acd050f4e5,spielberg_FP3,g_force_lateral,string_in_numeric,detection,0.004,True
4539adff0fb7,spielberg_QUALI,speed_v2,schema_drift,detection,0.0075,True
df0eeda6c004,spielberg_QUALI,ecu_canbus,string_in_numeric,detection,0.0041,True
f882551b76c2,spielberg_QUALI,engine_temp,string_in_numeric,detection,0.0037,True
2a728f6f15d8,spielberg_QUALI,rpm,duplicate_timestamp,detection,0.0067,True
b90766d3fb91,spielberg_QUALI,g_force_lateral,string_in_numeric,detection,0.0038,True
203c9866096d,spielberg_RACE,aero_load,string_in_numeric,detection,0.0038,True
8317e44ea903,spielberg_RACE,brake_temp,string_in_numeric,detection,0.0037,True
5e4cf3e1d41b,spielberg_RACE,ecu_canbus_alt,schema_drift,detection,0.0085,True
11d8ee5e867c,spielberg_RACE,tyre_pressure,string_in_numeric,detection,0.0037,True
a98586294f25,spielberg_RACE,aero_load,duplicate_timestamp,detection,0.0066,True
9b8d038e1f28,spielberg_RACE,throttle_v2,schema_drift,detection,0.0078,True
7452c5110246,spielberg_RACE,tyre_pressure_canbus,schema_drift,detection,0.0112,True
c38ac3183520,silverstone_FP1,brake_temp,duplicate_timestamp,detection,0.007,True
c8db5345adee,silverstone_FP1,speed,duplicate_timestamp,detection,0.0067,True
b8bedf156361,silverstone_FP1,aero_load_new,schema_drift,detection,0.0094,True
722b3dd2d16c,silverstone_FP1,g_force_lateral,string_in_numeric,detection,0.0039,True
f20815012b1f,silverstone_FP1,rpm,string_in_numeric,detection,0.0037,True
c58ad6042760,silverstone_FP1,throttle,duplicate_timestamp,detection,0.0068,True
f93f5ffd8279,silverstone_FP1,speed_v2,schema_drift,detection,0.0074,True
92b0da502959,silverstone_FP1,tyre_pressure_new,schema_drift,detection,0.008,True
075ab40e8967,silverstone_FP1,heart_rate_new,schema_drift,detection,0.0074,True
3a1988d07307,silverstone_FP1,speed,string_in_numeric,detection,0.0037,True
e92608a3197c,silverstone_FP1,heart_rate,duplicate_timestamp,detection,0.0066,True
688d8f74ba74,silverstone_FP1,throttle,duplicate_timestamp,detection,0.0063,True
