=== MISSED DETECTIONS BY SENSOR ===
sensor_id,miss_count,total_injected,miss_rate
ecu_canbus,20,723,0.0277
g_force_lateral,3,720,0.0042
brake_temp,1,726,0.0014

=== MISSED DETECTIONS BY CHAOS MODE ===
chaos_mode,miss_count,total_injected,miss_rate
bit_flip_low,22,1036,0.0212
bit_flip_high,1,1049,0.0010
duplicate_timestamp,1,1020,0.0010

=== MISSED DETECTIONS BY SESSION ===
session,miss_count,total_injected,miss_rate
silverstone_QUALI,5,469,0.0107
spielberg_QUALI,4,471,0.0085
silverstone_FP1,3,503,0.0060
spielberg_FP3,3,459,0.0065
silverstone_FP2,2,463,0.0043
spielberg_FP2,2,502,0.0040
budapest_FP3,1,487,0.0021
budapest_QUALI,1,455,0.0022
budapest_RACE,1,488,0.0020
silverstone_FP3,1,478,0.0021
spielberg_RACE,1,487,0.0021

=== MISSED DETECTIONS BY SENSOR + CHAOS MODE ===
sensor_id,chaos_mode,miss_count,total_injected,miss_rate
ecu_canbus,bit_flip_low,19,97,0.1959
g_force_lateral,bit_flip_low,3,112,0.0268
brake_temp,duplicate_timestamp,1,103,0.0097
ecu_canbus,bit_flip_high,1,117,0.0085
