packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
fdc4d32685d9,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0099,True
50244c064b9a,spielberg_FP1,aero_load,bit_flip_low,detection,0.0066,True
8dbe8ff92269,spielberg_FP1,engine_temp,null_value,detection,0.0021,True
ddd7843627cf,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0014,True
eb5842793cd3,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0044,True
74503eed4a55,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0017,True
f66eec4b70cb,spielberg_FP1,ecu_canbus,null_value,detection,0.0012,True
0a375d2eb0f9,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0017,True
452af397858b,spielberg_FP1,rpm_v2,schema_drift,detection,0.0033,False
b097ebc651a8,spielberg_FP1,speed,string_in_numeric,detection,0.0015,True
c7a21d5b406e,spielberg_FP1,speed,bit_flip_low,detection,0.006,True
b8ed102e36f0,spielberg_FP1,brake_temp,null_value,detection,0.0014,True
f5c262b07797,spielberg_FP1,tyre_pressure,null_value,detection,0.0011,True
099267f73f6f,spielberg_FP1,speed,null_value,detection,0.0013,True
9ffd41a0c043,spielberg_FP1,throttle,sensor_dropout,detection,0.0011,True
1e32ab00d870,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0013,True
a05c8093d320,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0013,True
326ceeb3f5e2,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0025,False
622e02028c1b,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0024,False
c3c2e7010ab7,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0043,True
0326a413a584,spielberg_FP1,rpm,string_in_numeric,detection,0.0016,True
0bebe29ba26c,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0016,True
9363223a1d04,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0017,True
2270a7cea3e7,spielberg_FP1,speed,null_value,detection,0.0014,True
f01bab31d91d,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0043,True
9b521913d5cc,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0039,True
580756b9cb8d,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0053,True
a31b23bca346,spielberg_FP1,aero_load,sensor_dropout,detection,0.0013,True
4ad0bb890483,spielberg_FP1,throttle_alt,schema_drift,detection,0.0023,False
6c925547c2cb,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0018,False
d2fb7b8d02e0,spielberg_FP1,throttle,null_value,detection,0.0013,True
6859435a1b1a,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0017,False
1bfa5d336ec3,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0016,True
a2b9e3015aee,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0045,True
a231840b4e99,spielberg_FP1,engine_temp,null_value,detection,0.0014,True
6fc6612f3762,spielberg_FP1,aero_load,bit_flip_high,detection,0.0043,True
fb3296cb16ca,spielberg_FP1,aero_load,sensor_dropout,detection,0.0013,True
66ef016b4ae5,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0043,True
a381ad7e932f,spielberg_FP1,speed,duplicate_timestamp,detection,0.0024,False
d45bcd90a46d,spielberg_FP1,aero_load,sensor_dropout,detection,0.0013,True
d36804a785c4,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0043,True
14bcfe3f8d8e,spielberg_FP1,rpm,string_in_numeric,detection,0.0015,True
7f32974042bf,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0022,False
3820a32ccc06,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0042,True
739ec4cc2c4e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0013,True
5c93f950deca,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0042,True
61f5a29ea6ed,spielberg_FP1,tyre_pressure,null_value,detection,0.0013,True
1beee9303ca8,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0023,False
c7abda2f9e34,spielberg_FP1,aero_load,bit_flip_low,detection,0.0046,True
c30c6d5c7393,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0027,False
16275c8e71ef,spielberg_FP1,rpm,bit_flip_high,detection,0.005,True
2216db31f379,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0038,True
a62649cd98ca,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0017,False
b1ec1f04d8d6,spielberg_FP1,rpm,string_in_numeric,detection,0.0014,True
141f44ad0ef3,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0041,True
eeb94c69b49c,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0014,True
d81c16631389,spielberg_FP1,throttle,sensor_dropout,detection,0.0012,True
619c7d227523,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0022,False
3e685827ac85,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0042,True
f99ba94b6ab1,spielberg_FP1,throttle,sensor_dropout,detection,0.0013,True
39d475b572cf,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.004,True
92c3c05d7e39,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0038,True
3ceb3f21b237,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0019,False
75c0da3c8272,spielberg_FP1,speed,duplicate_timestamp,detection,0.0021,False
db6e96575ac5,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0017,False
6baf9fbf64d9,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.002,False
1236b5912b5b,spielberg_FP1,rpm,bit_flip_low,detection,0.0048,True
aca26875f516,spielberg_FP1,engine_temp_new,schema_drift,detection,0.002,False
fe5a5be83022,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0019,False
9b6c45a8e5ce,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0044,True
63150aba0b71,spielberg_FP1,throttle,bit_flip_high,detection,0.0043,True
e860f4288408,spielberg_FP1,rpm,null_value,detection,0.0013,True
38cf28a0b03f,spielberg_FP1,throttle,string_in_numeric,detection,0.0015,True
d6875561dcbb,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0017,False
a15536146ff9,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.002,False
33c2d04cc505,spielberg_FP1,tyre_pressure,null_value,detection,0.0012,True
968d23ddd45a,spielberg_FP1,brake_temp,bit_flip_high,detection,0.006,True
0e0f4ea5294b,spielberg_FP1,tyre_pressure,null_value,detection,0.0013,True
b44cb4ab78fe,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.002,False
fa833ef19b2e,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0023,False
2a8fb2f5d6b6,spielberg_FP1,rpm,bit_flip_low,detection,0.0048,True
36187421216a,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0021,False
8e032cd18e7f,spielberg_FP1,aero_load,sensor_dropout,detection,0.0012,True
31a8a17f486f,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0027,False
b4e360d65b2c,spielberg_FP1,throttle,duplicate_timestamp,detection,0.002,False
631dee11f53f,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0023,False
565cb521d77d,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0013,True
e7bd977bed62,spielberg_FP1,speed,string_in_numeric,detection,0.0017,True
9d7a6c7a9e40,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0022,False
4a498f479ab6,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0012,True
b57a4ebafcad,spielberg_FP1,speed,duplicate_timestamp,detection,0.002,False
fef683018893,spielberg_FP1,speed,bit_flip_high,detection,0.0046,True
cc5a576762c9,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.002,False
91ee8f271b4d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0014,True
1a2e0e523cce,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0039,True
f379ba0c48d4,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0024,False
b5cd263fc0a7,spielberg_FP1,g_force_lateral,null_value,detection,0.0013,True
fdba905e8f91,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0014,True
1843638efa99,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0019,False
022f699ccf30,spielberg_FP1,throttle,string_in_numeric,detection,0.0014,True
86a16635154d,spielberg_FP1,throttle,sensor_dropout,detection,0.001,True
ec6278da23a7,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0041,True
998f42ce369d,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.002,False
4422f9316124,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0019,False
5aa54e403225,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0017,False
267a7ca6bfe9,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0045,True
e9561744c64d,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0019,False
95cb86307791,spielberg_FP1,speed,duplicate_timestamp,detection,0.0022,False
95c65f6a5047,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0012,True
9a5202aecfd9,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0045,True
13a666475ef5,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0042,True
1a065a2009ef,spielberg_FP1,rpm,sensor_dropout,detection,0.0012,True
936c90d0ad53,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0024,False
a795efddb553,spielberg_FP1,speed,bit_flip_low,detection,0.005,True
189b57f49a69,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.002,False
af7a889e8e5c,spielberg_FP1,rpm,string_in_numeric,detection,0.0014,True
504e1e4ac49d,spielberg_FP1,throttle,sensor_dropout,detection,0.0011,True
357d1142d428,spielberg_FP1,rpm,bit_flip_low,detection,0.0047,True
cfa7ea80a2b3,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0053,True
79b7fa51408e,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0013,True
9da01c43d488,spielberg_FP1,rpm_new,schema_drift,detection,0.0024,False
575461676cc5,spielberg_FP1,rpm,sensor_dropout,detection,0.0012,True
4061620295d2,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0024,False
2a2d43f16312,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.004,True
ce76e2570b15,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0024,False
7b5b5be2aa46,spielberg_FP1,rpm,sensor_dropout,detection,0.0013,True
95c6f061eaf5,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0013,True
f00bd47fb948,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0021,False
8d3ed3059aea,spielberg_FP1,aero_load,string_in_numeric,detection,0.0014,True
a31cee3fb782,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0019,False
1c9bcd5c02ae,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0013,True
cdc92b71f3e7,spielberg_FP1,speed,null_value,detection,0.0012,True
99418e1e94a8,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0043,True
34bdb1299280,spielberg_FP1,aero_load,bit_flip_high,detection,0.0045,True
