packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
e2b13cd9c83a,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0104,True
3a1346776554,spielberg_FP1,speed_alt,schema_drift,detection,0.0099,True
ec6dd26a7f12,spielberg_FP1,aero_load,bit_flip_low,detection,0.0099,True
29a4a90f16e5,spielberg_FP1,rpm_canbus,schema_drift,detection,0.008,True
b4ab740b30e6,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0071,True
5431566f9a7b,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0065,True
1f1d86fdfa61,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0063,True
e9b5a17631bc,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0096,True
aa04109fb58b,spielberg_FP1,aero_load,string_in_numeric,detection,0.0039,True
78565f7128a9,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0074,True
ebdf9e8c448f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.007,True
ba2d8fd8a1dc,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0063,True
ce1efe5793e9,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.007,False
0e9fbfff4436,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0061,True
01c292533572,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.009,True
6a5129c358d4,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0054,True
88cbffd41078,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0059,True
dbaa26b271a6,spielberg_FP1,throttle,bit_flip_high,detection,0.0094,True
222d3dba4a06,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0053,True
5028d36654d4,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0054,True
989ee6add797,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0062,True
09f74943e23f,spielberg_FP1,rpm,bit_flip_high,detection,0.0093,True
e5dd89d54240,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0038,True
c9e9e28a7cb8,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0055,True
ec35594c79c5,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0094,True
b1ecfd0da143,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0091,True
156ad8003cfe,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0069,True
665692e97f76,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.009,True
7b74cb4a36d9,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0087,True
3d0952262de6,spielberg_FP1,tyre_pressure,null_value,detection,0.0055,True
8709b78e4d88,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0093,True
49f0be865a10,spielberg_FP1,speed,bit_flip_high,detection,0.0098,True
2b025f07ad50,spielberg_FP1,throttle,bit_flip_low,detection,0.0095,True
feee73aedddd,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0053,True
335a4b4522d2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0063,True
0205d5e3eb90,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0092,True
e3ba5968b5d8,spielberg_FP1,rpm,sensor_dropout,detection,0.0055,True
3e8ce3ea6ad4,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0055,True
9f15e6507e1d,spielberg_FP1,aero_load,bit_flip_low,detection,0.01,True
a0841b0cce95,spielberg_FP1,speed,sensor_dropout,detection,0.0053,True
f03fbd3c6738,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0089,True
2c85fa8fb501,spielberg_FP1,speed,bit_flip_low,detection,0.0091,True
6977b38594fa,spielberg_FP1,rpm,bit_flip_high,detection,0.0094,True
08d709735586,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0072,True
0e003e4c0b14,spielberg_FP1,tyre_pressure,null_value,detection,0.0053,True
204c445ffe88,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0092,True
440c21f1eb54,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0064,True
2e67ac4a3069,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0073,True
eaf6d2aaeac8,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0093,True
a3d69ee1a7b2,spielberg_FP1,aero_load,string_in_numeric,detection,0.0036,True
729065ac9297,spielberg_FP1,ecu_canbus,null_value,detection,0.0053,True
19f6190ad614,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0073,True
78f40a918e48,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0066,True
7a173ea1ba49,spielberg_FP1,throttle,sensor_dropout,detection,0.0057,True
70e10c21b629,spielberg_FP1,ecu_canbus,null_value,detection,0.0054,True
49bb05b9e660,spielberg_FP1,engine_temp,null_value,detection,0.0053,True
cd8ffd6374b3,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0038,True
b1b5bd92d151,spielberg_FP1,aero_load,bit_flip_low,detection,0.0098,True
6d0ed219c807,spielberg_FP1,rpm_v2,schema_drift,detection,0.0075,True
ea198a2e6f71,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0071,True
8c7338a8a837,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0054,True
c5a374b7bed4,spielberg_FP1,aero_load,bit_flip_low,detection,0.0097,True
69688787d641,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0062,True
1011875c205d,spielberg_FP1,throttle,sensor_dropout,detection,0.0056,True
2b7e9bd27fb6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0063,True
a70ab06bf5cf,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0037,True
ab38e5b6b975,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0061,True
524b3cea34e0,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0066,True
1cd2ded36466,spielberg_FP1,rpm,bit_flip_high,detection,0.0106,True
6188c6a770f9,spielberg_FP1,aero_load,bit_flip_high,detection,0.0092,True
b3bca0feb591,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0055,True
0d841163156d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
0b6eae4e7c5e,spielberg_FP1,heart_rate,null_value,detection,0.0054,True
2740b6cd20d5,spielberg_FP1,throttle_v2,schema_drift,detection,0.0074,True
ec73b1b37d96,spielberg_FP1,rpm_new,schema_drift,detection,0.0073,True
71777175cc43,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0056,True
a0a84310dd07,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0071,True
8d4693cc3bfc,spielberg_FP1,engine_temp,null_value,detection,0.0063,True
649bbeff90b0,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0074,True
e08c7012082b,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0108,True
4910724ad256,spielberg_FP1,rpm,sensor_dropout,detection,0.0056,True
e27e396936d7,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0066,True
77439f674ee9,spielberg_FP1,rpm,string_in_numeric,detection,0.0036,True
ce65532af06c,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0068,False
d1dc480af6f0,spielberg_FP1,heart_rate,null_value,detection,0.0055,True
b273b1b93c59,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0108,True
d00970677f82,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0092,True
e8d578609b59,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0086,True
8827b7b5248d,spielberg_FP1,speed,bit_flip_low,detection,0.0091,True
0be508f977fd,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0036,True
de2de16b20c1,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0077,True
66b0d5e5b04e,spielberg_FP1,rpm,bit_flip_high,detection,0.0095,True
8d99f40cb1d1,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0071,True
fa6a90d3dfb2,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0065,True
3f5c70565bf0,spielberg_FP1,rpm_raw,schema_drift,detection,0.0073,True
247ed9a5ad32,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0055,True
0b566abf5850,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0038,True
15cb446d039b,spielberg_FP1,rpm,bit_flip_high,detection,0.0116,True
51830953e709,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0071,True
36faec0f79df,spielberg_FP1,ecu_canbus,null_value,detection,0.0054,True
a0775362aa4b,spielberg_FP1,speed,bit_flip_low,detection,0.0094,True
7dd1033e7417,spielberg_FP1,rpm,bit_flip_high,detection,0.0091,True
b9506b4d6476,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0072,True
74d911ce9939,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0062,True
72e405a6ce6f,spielberg_FP1,throttle,bit_flip_low,detection,0.0091,True
d9fb1aaa8062,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0039,True
