packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
164628b4d16e,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.005,True
d867e342a403,spielberg_FP2,speed,string_in_numeric,detection,0.0039,True
4921364d1c26,spielberg_FP2,heart_rate_new,schema_drift,detection,0.0083,True
232237f7bfd1,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0073,True
7bca675e3db2,spielberg_FP3,throttle,string_in_numeric,detection,0.0038,True
46500ea6d565,spielberg_QUALI,speed_alt,schema_drift,detection,0.0078,True
fac99a3f1237,spielberg_RACE,brake_temp,duplicate_timestamp,detection,0.0068,True
557ec959610a,spielberg_RACE,brake_temp,duplicate_timestamp,detection,0.0068,True
411782deef0c,spielberg_RACE,tyre_pressure_raw,schema_drift,detection,0.0075,True
8120f7268cf0,silverstone_FP1,engine_temp,duplicate_timestamp,detection,0.0067,True
c3b62d36d862,silverstone_FP2,rpm_v2,schema_drift,detection,0.0079,True
d0887bf7eac6,silverstone_FP3,engine_temp,duplicate_timestamp,detection,0.0069,True
5ac8811c7249,silverstone_QUALI,heart_rate,duplicate_timestamp,detection,0.0069,True
fb5899790596,silverstone_QUALI,throttle,duplicate_timestamp,detection,0.0073,True
dfcd67e3619f,silverstone_RACE,heart_rate,duplicate_timestamp,detection,0.0068,True
1dc9b4a92b84,budapest_FP2,tyre_pressure,duplicate_timestamp,detection,0.009,True
794aee7367da,budapest_FP2,throttle_alt,schema_drift,detection,0.0081,True
b612046d5690,budapest_FP3,tyre_pressure_canbus,schema_drift,detection,0.0102,True
024d988ea60a,budapest_FP3,speed,string_in_numeric,detection,0.005,True
d469070139c8,budapest_QUALI,ecu_canbus,duplicate_timestamp,detection,0.0075,True
1979b557ad02,budapest_QUALI,tyre_pressure_raw,schema_drift,detection,0.0078,True
4b569bc82c10,budapest_RACE,ecu_canbus_alt,schema_drift,detection,0.0079,True
2c402a86c61d,budapest_RACE,speed,string_in_numeric,detection,0.0044,True
164628b4d16e,,,dlq_repair,repair,0.0214,False
fac99a3f1237,,,dlq_repair,repair,0.0794,False
557ec959610a,,,dlq_repair,repair,0.0363,False
8120f7268cf0,,,dlq_repair,repair,0.0324,True
d0887bf7eac6,,,dlq_repair,repair,0.0301,True
d469070139c8,,,dlq_repair,repair,0.0293,True
d867e342a403,,,dlq_repair,repair,0.0115,False
232237f7bfd1,,,dlq_repair,repair,0.0248,True
7bca675e3db2,,,dlq_repair,repair,0.01,False
5ac8811c7249,,,dlq_repair,repair,0.0255,True
fb5899790596,,,dlq_repair,repair,0.0255,True
dfcd67e3619f,,,dlq_repair,repair,0.0264,True
1dc9b4a92b84,,,dlq_repair,repair,0.0256,True
024d988ea60a,,,dlq_repair,repair,0.0102,False
2c402a86c61d,,,dlq_repair,repair,0.0092,False
