packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
8852b33bd537,spielberg_FP1,throttle,string_in_numeric,detection,0.0037,True
d630c80975ee,spielberg_FP1,speed,string_in_numeric,detection,0.0035,True
d151d672f3a8,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0073,True
ce9af5594688,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0064,True
8499cb5b2992,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0077,True
f4423018f488,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0077,True
a6ab4ad094d5,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0075,True
118eab34f61e,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0064,True
4c9eb2ddc61e,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0086,True
7c3e6c1e1781,spielberg_FP1,speed,string_in_numeric,detection,0.0036,True
449ea825fd49,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.004,True
0f3b30d0c2cb,spielberg_FP1,rpm_v2,schema_drift,detection,0.0085,True
25b6c6ca5251,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0039,True
60b266071d05,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0038,True
d07809998471,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0038,True
02ec5670da4a,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0072,True
1f9203afdd53,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0068,True
401ff05dc156,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0068,True
242cc94e05d1,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0066,True
07a970749469,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0038,True
b5a2150c7120,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0066,True
c988e2782660,spielberg_FP1,speed,string_in_numeric,detection,0.0039,True
e7ce14659abb,spielberg_FP1,rpm,string_in_numeric,detection,0.0038,True
557202960207,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0065,True
005f75b77737,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0039,True
cdc4cd5030fe,spielberg_FP1,throttle_alt,schema_drift,detection,0.008,True
36ba3ad44919,spielberg_FP1,rpm,string_in_numeric,detection,0.0039,True
8e07fd6128a7,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.008,True
79c69dd73a8c,spielberg_FP1,speed,string_in_numeric,detection,0.0039,True
4c0eb860bf33,spielberg_FP1,rpm,string_in_numeric,detection,0.0037,True
2996dc8a01e2,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0037,True
6ec3c687d7fd,spielberg_FP1,speed,string_in_numeric,detection,0.0035,True
7e34add71c86,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0069,True
3c2cb27ca96e,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0464,True
78ee17819dc7,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.007,True
0029b0dde25f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.007,True
58afef87e2fe,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0036,True
4e1165dabe29,spielberg_FP1,throttle_v2,schema_drift,detection,0.0078,True
44c5b6675fb9,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0073,True
8cef6ede0ac7,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0039,True
4a1e608caa24,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0039,True
5c6c614f8448,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0065,True
d3528e06560f,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0082,True
22c03163700f,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0067,True
48e42e88b132,spielberg_FP1,aero_load,string_in_numeric,detection,0.0037,True
e75eedefaeef,spielberg_FP1,rpm,string_in_numeric,detection,0.0034,True
d82738406916,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0037,True
081a3ee1a3ea,spielberg_FP1,speed_alt,schema_drift,detection,0.0078,True
b6c36c2edcc2,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0076,True
3dee79d6095e,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0065,True
9112ec75490e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0067,True
c4a4f0ad34c8,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0071,True
304b773fddff,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0083,True
2126cad08670,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0156,True
7ee52271b673,spielberg_FP1,throttle,duplicate_timestamp,detection,0.007,True
79fabb0f904e,spielberg_FP1,aero_load,string_in_numeric,detection,0.004,True
4c3772054c5c,spielberg_FP1,speed_v2,schema_drift,detection,0.0076,True
206c98b4f701,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0066,True
7a43d88dc1bd,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0038,True
cb5c09c4c87c,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0038,True
766d4771f7cc,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0068,True
259f35ce9e4d,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0045,True
1c417ccebbc9,spielberg_FP1,throttle,string_in_numeric,detection,0.0039,True
d4ad67db1424,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
75e2b99cc7a5,spielberg_FP1,rpm,string_in_numeric,detection,0.0039,True
