packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
951ac544c4d9,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.004,True
9d97712a8542,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0072,True
36db1562275f,spielberg_FP1,g_force_lateral,null_value,detection,0.0057,True
efd6d48a4ca0,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0078,True
356fc8fce4c4,spielberg_FP1,rpm_raw,schema_drift,detection,0.0076,True
23d03a939260,spielberg_FP1,throttle,bit_flip_low,detection,0.0099,True
792584e7227c,spielberg_FP1,aero_load,bit_flip_low,detection,0.0105,True
8884ba1064c6,spielberg_FP1,aero_load,null_value,detection,0.006,True
fd87af195c3d,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0057,True
575c514c33e5,spielberg_FP1,aero_load,bit_flip_high,detection,0.0102,True
866908eef402,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0098,True
8bc667e9449c,spielberg_FP1,aero_load,string_in_numeric,detection,0.0045,True
4ab0f9c18f73,spielberg_FP1,throttle,sensor_dropout,detection,0.0056,True
4e2c7d3f88cb,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0076,True
a7ac46b66063,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0084,True
131f2bd15646,spielberg_FP1,speed,string_in_numeric,detection,0.0035,True
96045cdea21c,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0056,True
d647c3b04c2e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0038,True
7c3948e9340d,spielberg_FP1,aero_load,null_value,detection,0.0062,True
76d622a43cc9,spielberg_FP1,engine_temp,null_value,detection,0.0058,True
ecf5114ae1b8,spielberg_FP1,rpm,null_value,detection,0.0056,True
1519a8514d7f,spielberg_FP1,heart_rate,null_value,detection,0.0055,True
0a3dc9ab0509,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0103,True
b521d7ee14b1,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0069,True
79600f54fd8e,spielberg_FP1,throttle,null_value,detection,0.0055,True
217d952f3136,spielberg_FP1,ecu_canbus,null_value,detection,0.0058,True
bc26b9a0db3d,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0092,True
d3d645001fbf,spielberg_FP1,aero_load,sensor_dropout,detection,0.0059,True
ed9a0d09105b,spielberg_FP1,speed,duplicate_timestamp,detection,0.0063,True
9da7cdfaa214,spielberg_FP1,throttle,bit_flip_low,detection,0.0108,True
789b1c6605c2,spielberg_FP1,throttle_raw,schema_drift,detection,0.0077,True
abe18337dc60,spielberg_FP1,rpm,bit_flip_high,detection,0.0097,True
d0d1089ad693,spielberg_FP1,aero_load,bit_flip_low,detection,0.0095,True
65c17e89fd6d,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0113,True
4d0fec83de83,spielberg_FP1,aero_load,bit_flip_low,detection,0.0099,True
47c0dbb0bc80,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0058,True
435080f4d24e,spielberg_FP1,throttle,bit_flip_high,detection,0.0096,True
cd0b71dd1a85,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
055e27fc6f76,spielberg_FP1,throttle,null_value,detection,0.0057,True
6d48a4ce93af,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0093,True
1df2d13d7ac5,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0082,True
e1b0997c0af7,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
e6803e99ce5f,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0058,True
251e26d9fd5c,spielberg_FP1,throttle,string_in_numeric,detection,0.0041,True
b52d4b2dc571,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0106,True
db4980d8a5dc,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0035,True
7a6dc93235b9,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0094,True
b3de2a70bda6,spielberg_FP1,speed_alt,schema_drift,detection,0.0075,True
3a409987d763,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0036,True
63dbf645cb1a,spielberg_FP1,speed,sensor_dropout,detection,0.0056,True
90eda6245e38,spielberg_FP1,throttle,string_in_numeric,detection,0.0034,True
9e97736c820a,spielberg_FP1,ecu_canbus,null_value,detection,0.006,True
36ecc853d9be,spielberg_FP1,throttle,sensor_dropout,detection,0.0059,True
9c8f03a501ae,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0067,True
09539e650900,spielberg_FP1,aero_load,null_value,detection,0.0088,True
a12bb8d1e32c,spielberg_FP1,throttle_new,schema_drift,detection,0.012,True
231d19c79bea,spielberg_FP1,speed,bit_flip_high,detection,0.0158,True
613378bf3764,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0066,True
7f383bd9d04e,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0088,True
d2da9e44d433,spielberg_FP1,aero_load,bit_flip_low,detection,0.0163,True
a5bcb588cd41,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0095,True
5c4b445aa998,spielberg_FP1,speed,string_in_numeric,detection,0.0035,True
aa18a058cacb,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0074,True
cc6d986a72e0,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0068,True
6eb4475e7d41,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
ee12624eb9dc,spielberg_FP1,aero_load,sensor_dropout,detection,0.0055,True
86debf70d1fd,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0053,True
beae949de58a,spielberg_FP1,throttle,sensor_dropout,detection,0.0053,True
16e34c3f19fe,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0099,True
c3add0ee538a,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0097,True
13d71580d10e,spielberg_FP1,aero_load,bit_flip_low,detection,0.0095,True
1d81861942f3,spielberg_FP1,speed,duplicate_timestamp,detection,0.0061,True
d643d2d9b092,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0091,True
aa102a653222,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0038,True
65d531336ed3,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0056,True
a681f3b306b1,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0077,True
e3ef454e3940,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.01,True
52f427c1e368,spielberg_FP1,throttle,bit_flip_low,detection,0.0093,True
3ad6d7316a9a,spielberg_FP1,throttle_alt,schema_drift,detection,0.0074,True
26a449ef0c91,spielberg_FP1,throttle,null_value,detection,0.0059,True
0fbc9c3dc7eb,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0036,True
f0aa06c4acad,spielberg_FP1,throttle_v2,schema_drift,detection,0.0073,True
8b2c7618381c,spielberg_FP1,heart_rate,null_value,detection,0.0056,True
83d218547da5,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0097,True
