packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3c37209552c0,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0042,True
15b1d2d645a5,spielberg_FP1,throttle_raw,schema_drift,detection,0.0048,True
65971fe7413e,spielberg_FP1,throttle,string_in_numeric,detection,0.0026,True
a869368978f6,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.002,True
c0905c966104,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0019,True
7d85f76bada6,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0034,True
edb1452cc485,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0031,True
d76e66de7367,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0022,True
f9834fc58fac,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0043,True
ce8717aa7b77,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0021,True
c32da6487aeb,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0037,True
18432d597241,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0038,True
0f2588aab0bb,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0033,True
ed820e404ca9,spielberg_FP1,rpm,string_in_numeric,detection,0.0022,True
b3121e095e22,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0042,True
31d2d48fb424,spielberg_FP1,rpm,string_in_numeric,detection,0.0021,True
6379c45515d4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0031,True
29391c96ef11,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0036,True
d5ba9cd39ff2,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0031,True
dc03fba9cb8e,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0033,True
f5091f0c60ce,spielberg_FP1,throttle,string_in_numeric,detection,0.0021,True
bfc91c060a18,spielberg_FP1,speed,duplicate_timestamp,detection,0.0034,True
d0dd10011035,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0035,True
8bceae9f507b,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0036,True
e6138609b5ec,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0041,True
70212a267afb,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0116,True
8e6cb1914d64,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0044,True
54c410e60c2b,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0032,True
0f851e7dbd40,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0032,True
a64af300c6fa,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.002,True
11ae9c05e952,spielberg_FP1,rpm_alt,schema_drift,detection,0.0047,True
5b1dbaf64e56,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0036,True
ebe4d348c121,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0045,True
5a9fc0837c5f,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0044,True
7c8ca1514a64,spielberg_FP1,aero_load_new,schema_drift,detection,0.0039,True
2b12c0a456c0,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0023,True
00ae7cbef8cd,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0017,True
2ab600a798a5,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0022,True
24d48b4fa03b,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0043,True
44f925d900ba,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0021,True
d77a05fa096f,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0042,True
3ecb7c40ce7b,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0033,True
20b73f425648,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0046,True
c17202450a92,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0033,True
4ed1f6116839,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0034,True
963424698cf3,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0047,True
a86541c83923,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0034,True
03d3d951aab9,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0023,True
a3a1a2a9c9ca,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0045,True
cdee4d9f77a3,spielberg_FP1,speed_raw,schema_drift,detection,0.0041,True
3dad9871d432,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0034,True
e581e6b73eb2,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0042,True
0e98fca21a91,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0041,True
3f39b69fb5fa,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0038,True
0cd109d6811f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0035,True
51feb3b8ae76,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0033,True
ebd3e4e1e304,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0034,True
7258d4f7c754,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0037,True
e2be506b1828,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0041,True
fa98cc968506,spielberg_FP1,throttle,duplicate_timestamp,detection,0.004,True
86aff9a4dfae,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0044,True
63dc6ce45aea,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.002,True
a0764e8bc7c3,spielberg_FP1,speed,duplicate_timestamp,detection,0.0033,True
adf258008ebb,spielberg_FP1,speed_alt,schema_drift,detection,0.0044,True
701a8ff90b6c,spielberg_FP1,speed,duplicate_timestamp,detection,0.0036,True
e32829315d34,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0021,True
08b8e352ae80,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.004,True
cda3320f429d,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0045,True
d80c7659ee39,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0046,True
212dc97c63bd,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0043,True
700544c215b9,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0044,True
1a0f0ac421d6,spielberg_FP1,throttle_new,schema_drift,detection,0.0042,True
a354615ff24d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.002,True
ebc5bc2eeb91,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0021,True
db76d9a7b8d5,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0042,True
0721c1a6ef35,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0035,True
e5ba7dbda8f5,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0041,True
a960b1c7662d,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0019,True
a1359ca21149,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0045,True
a0f855516aed,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0042,True
cf24d21df6b8,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0038,True
a62dcf6af89a,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0033,True
a48ba1b81ca4,spielberg_FP1,speed,string_in_numeric,detection,0.0021,True
a1fb6a465709,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0033,True
41668e4c0a8a,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0021,True
a2c64a0315ee,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0045,True
71fae8b42e2f,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0041,True
9bdf2596307f,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0086,True
b76938278cb3,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.005,True
03b947b8713d,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0031,True
e4053c12b776,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0037,True
57bf849d5b3d,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0043,True
bbff4e7c5fb7,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0037,True
b16f2d019f03,spielberg_FP1,speed_raw,schema_drift,detection,0.0042,True
72c42beacd2d,spielberg_FP1,rpm,string_in_numeric,detection,0.0027,True
dd47fc5cab27,spielberg_FP1,heart_rate,string_in_numeric,detection,0.002,True
3312b82151ca,spielberg_FP1,aero_load,string_in_numeric,detection,0.0019,True
9826ed2fd550,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0026,True
928edaef0bcc,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
79139ad6fd9f,spielberg_FP1,throttle,string_in_numeric,detection,0.0023,True
0fa8c97fa571,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0042,True
c202b3eeede9,spielberg_FP1,throttle,string_in_numeric,detection,0.0019,True
b550aedabad0,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0036,True
b59c164e15b5,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0041,True
61be6ab02ddf,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0022,True
796b73d3afc7,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0023,True
8db8eb8b2a61,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0036,True
983e0592e3dc,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
f50f6383ae45,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0043,True
b92fd3bee0bb,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0021,True
d816f98d3de3,spielberg_FP1,rpm_new,schema_drift,detection,0.0043,True
606fec54b71b,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0032,True
57a6317bf522,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.004,True
