packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3d15395deef8,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0087,True
9d8aa4a4ba4d,spielberg_FP1,throttle,null_value,detection,0.0031,True
86e5d150fbc1,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0086,True
daedb0634909,spielberg_FP1,throttle,null_value,detection,0.003,True
1d639dfedce9,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0048,True
ab34e76f17b0,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0041,True
969f9cb20d6e,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0042,True
ab93ceb4353f,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0061,True
f57d9e8fe1a8,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0042,True
f0867d8433ba,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0018,True
538ae31a8a0c,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0063,True
759c76c7e3be,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0032,True
a1967f86466d,spielberg_FP1,ecu_canbus,null_value,detection,0.0027,True
cd68b7b51996,spielberg_FP1,rpm_alt,schema_drift,detection,0.0037,True
590c417dafe2,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0033,True
4ffcff60176e,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0024,True
039c5823490c,spielberg_FP1,rpm,bit_flip_high,detection,0.005,True
77ba12cb7514,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0035,True
ea8dc45f253b,spielberg_FP1,engine_temp,null_value,detection,0.0023,True
fb24148e2f0d,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0037,True
f7e062724bdf,spielberg_FP1,tyre_pressure,null_value,detection,0.004,True
00cc3dfeb38b,spielberg_FP1,speed,bit_flip_high,detection,0.006,True
4e954ecce869,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0027,True
326937130794,spielberg_FP1,brake_temp,null_value,detection,0.0023,True
894cd081e94b,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0024,True
557645dccf91,spielberg_FP1,tyre_pressure,null_value,detection,0.0027,True
81715d765975,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0016,True
4c5e484e41db,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0136,True
1cf245e55fa0,spielberg_FP1,throttle,bit_flip_high,detection,0.0066,True
664ac4e52dde,spielberg_FP1,heart_rate,sensor_dropout,detection,0.003,True
494dbad8b6d1,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0017,True
71ca780d6a88,spielberg_FP1,speed_new,schema_drift,detection,0.0042,True
020cb3c5c240,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0046,True
24aa7736eb29,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0032,True
cd4f5f7e82f6,spielberg_FP1,rpm,sensor_dropout,detection,0.0027,True
7a6af77119a2,spielberg_FP1,aero_load,string_in_numeric,detection,0.0017,True
0004c0a721f6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0033,True
c58f2fc1927c,spielberg_FP1,throttle,bit_flip_high,detection,0.0051,True
d83bbb0b955b,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0033,False
3554d0bc605e,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0027,True
b50b01e2e236,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0048,True
834a9ccc78e0,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0043,True
3469b315c169,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0051,True
3abd5ffbe768,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0062,True
4e078a369482,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0018,True
9914543750fc,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0017,True
6733d684f225,spielberg_FP1,rpm,sensor_dropout,detection,0.0029,True
3a47801f5abe,spielberg_FP1,throttle,sensor_dropout,detection,0.0028,True
553afcb39e45,spielberg_FP1,aero_load,null_value,detection,0.0029,True
3c254890cee0,spielberg_FP1,throttle,null_value,detection,0.0024,True
d49fe70b8dc7,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0023,True
6ee5e358d5d6,spielberg_FP1,engine_temp,null_value,detection,0.0031,True
e8fe3493b1d6,spielberg_FP1,aero_load,bit_flip_low,detection,0.0063,True
35194a71fb23,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0035,True
32d5af3bf5c2,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0059,True
7f19381123b3,spielberg_FP1,throttle,bit_flip_low,detection,0.0045,True
eaa67356f24b,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0046,True
016b07f68571,spielberg_FP1,rpm,bit_flip_low,detection,0.0061,True
0585804bc2cb,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0021,True
4f812c279193,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0048,True
8048dc6fcf36,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0028,True
ea2e38c73162,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0039,True
ff2ce489094d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0031,True
30e61643f3f5,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0032,True
45501e7aec03,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0049,True
8b7fc4b98d15,spielberg_FP1,rpm_alt,schema_drift,detection,0.0042,True
afc6450f5e1c,spielberg_FP1,engine_temp,null_value,detection,0.0027,True
04ed63bd357c,spielberg_FP1,rpm,sensor_dropout,detection,0.0026,True
03f4aef13cc6,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0047,True
0a413c957d34,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0027,True
37fee0f3ffb9,spielberg_FP1,rpm,bit_flip_low,detection,0.0048,True
7a0a82b99f54,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0033,True
e72856916e3c,spielberg_FP1,engine_temp,sensor_dropout,detection,0.003,True
4e284d3132e9,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0019,True
0a2fe2be7031,spielberg_FP1,speed,sensor_dropout,detection,0.0034,True
0fc612bb021e,spielberg_FP1,brake_temp,null_value,detection,0.0029,True
b128218af7bc,spielberg_FP1,speed,duplicate_timestamp,detection,0.0032,True
5fdba7ffd4ce,spielberg_FP1,ecu_canbus,null_value,detection,0.0025,True
d1ed0b9202bd,spielberg_FP1,tyre_pressure,null_value,detection,0.0024,True
2c0026707920,spielberg_FP1,speed,string_in_numeric,detection,0.0019,True
67adcc567d39,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.003,True
a8f1dbd8961e,spielberg_FP1,rpm,bit_flip_low,detection,0.0059,True
1889c0395b09,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0031,True
dbc525edd37a,spielberg_FP1,brake_temp,null_value,detection,0.0032,True
7dcfca8e2f49,spielberg_FP1,rpm,sensor_dropout,detection,0.0026,True
13713acdb5c9,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0041,True
f7e1629c5402,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0025,True
8d105b7bd47d,spielberg_FP1,throttle,string_in_numeric,detection,0.0018,True
8f9df2336375,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0019,True
6b91308f5a92,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0015,True
b11c62e63e07,spielberg_FP1,rpm,null_value,detection,0.0088,True
1e87fa1b0a03,spielberg_FP1,aero_load,bit_flip_low,detection,0.0056,True
f24248e071a7,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0043,True
ac0c5bdc77f7,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0046,True
5f51308985d5,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0018,True
cda33383f0d6,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0029,True
beb484359a25,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0038,True
918790f9e70f,spielberg_FP1,throttle,null_value,detection,0.003,True
2937866ecccb,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0037,True
369dcb03bd08,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0052,True
12c517792f1d,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0046,True
1816029bb457,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0049,True
4a0e87ac11e5,spielberg_FP1,speed,sensor_dropout,detection,0.0027,True
0c8c8ec034c2,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0018,True
ca10455ca9ec,spielberg_FP1,rpm,string_in_numeric,detection,0.0017,True
de46cdc0744e,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0037,True
16eeb409f274,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0053,True
d1d40a8a65ef,spielberg_FP1,throttle,bit_flip_low,detection,0.0052,True
d5489cc65cd1,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0038,True
9530dc2ea7f6,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0042,True
cc7875b1f67f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0031,True
dd8fe3ae7523,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0029,True
be913e75815d,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0054,True
bc9b6e93958a,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0047,True
b362a31b858f,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0048,True
34f4635a5f36,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0033,True
4189b37ca353,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0039,True
4f61229675a0,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0031,True
03f9793d728e,spielberg_FP1,speed,null_value,detection,0.0037,True
6e79020c3917,spielberg_FP1,rpm_canbus,schema_drift,detection,0.006,True
d16ca6dfe665,spielberg_FP1,throttle,sensor_dropout,detection,0.0028,True
798f15947514,spielberg_FP1,tyre_pressure,null_value,detection,0.0032,True
7cceb99d9953,spielberg_FP1,speed,bit_flip_low,detection,0.006,True
345c95274d2f,spielberg_FP1,throttle,string_in_numeric,detection,0.0021,True
aa49d0396113,spielberg_FP1,rpm,string_in_numeric,detection,0.0017,True
8475d5f46733,spielberg_FP1,brake_temp,null_value,detection,0.0026,True
0d42ced16600,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0037,True
170cf84e897e,spielberg_FP1,rpm,bit_flip_high,detection,0.0051,True
8ff52e378966,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0052,True
5b488bfa1e32,spielberg_FP1,throttle_v2,schema_drift,detection,0.004,True
dba20b5ce37a,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0047,True
c4f293679193,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0018,True
6f1edee623f4,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0043,True
27253c3c40f0,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0017,True
878581d5261c,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0034,True
d61c34e95f6c,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0056,True
cae28abd6c5b,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0032,True
aedb75ef07ea,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0048,True
e264133e562e,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0063,True
5442e890818f,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0041,True
c485a636c245,spielberg_FP1,speed,duplicate_timestamp,detection,0.0032,True
a6fc17a77157,spielberg_FP1,throttle,sensor_dropout,detection,0.0028,True
0904e363eb59,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0048,True
12e4f61c6a74,spielberg_FP1,speed_alt,schema_drift,detection,0.0042,True
7c0bfc359b9f,spielberg_FP1,throttle,string_in_numeric,detection,0.0022,True
030d26e8f636,spielberg_FP1,brake_temp,null_value,detection,0.0032,True
229ad6951fba,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0035,True
955743d0df08,spielberg_FP1,speed,string_in_numeric,detection,0.002,True
735d568b4236,spielberg_FP1,throttle,null_value,detection,0.0028,True
5d93c387b923,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0058,True
f4fc35fb44e9,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0028,True
23af82cf6436,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0043,True
966c7f93565c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0032,True
7f2e2c2123bc,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0047,True
56c138f3821b,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0054,True
f4233926d7be,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0026,True
5c070bb17636,spielberg_FP1,speed,bit_flip_high,detection,0.005,True
e3aa8d99668a,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0059,True
f77d9d2f1a0b,spielberg_FP1,speed,duplicate_timestamp,detection,0.0033,True
064208fb8175,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0033,True
aae8cfffc0c8,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.004,True
dee8d090bf4f,spielberg_FP1,rpm,string_in_numeric,detection,0.0019,True
3dab838a2371,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0015,True
0cbeb85bf7ab,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0031,True
f57b74b8be13,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0055,True
3817713aeeca,spielberg_FP1,g_force_lateral,null_value,detection,0.0027,True
8c6e83bf511e,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0042,True
619c06aa704c,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0023,True
fd541e6d7695,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0032,True
c58d0c6726f5,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0052,True
1d8928cf9834,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0047,True
02277f19e90f,spielberg_FP1,throttle_raw,schema_drift,detection,0.0041,True
3a2dd55c0dc1,spielberg_FP1,throttle,bit_flip_high,detection,0.0084,True
c3aa815f930d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.002,True
665e886e05dd,spielberg_FP1,ecu_canbus,null_value,detection,0.0028,True
21bb44e33e88,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0018,True
94fd042b42f9,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0052,True
e419f46d260c,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0063,True
289fd0b921db,spielberg_FP1,throttle,bit_flip_low,detection,0.0054,True
640dedd367a8,spielberg_FP1,rpm_raw,schema_drift,detection,0.0037,True
bbd265d6f10e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0017,True
c3511b2095e8,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0021,True
f7479a41a556,spielberg_FP1,heart_rate,null_value,detection,0.003,True
c620fe375f4d,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0047,True
9f5d8ef1964f,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0036,True
f37905c4fcc0,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0037,True
a1ef9dab071e,spielberg_FP1,brake_temp,null_value,detection,0.0028,True
b7c298b6f369,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.006,True
6f8a4de3a9cf,spielberg_FP1,heart_rate,null_value,detection,0.0041,True
d516f9e8c488,spielberg_FP1,throttle,sensor_dropout,detection,0.0028,True
4072ea6cefae,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0024,True
6cca2d2ef9f3,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0049,True
47315b314e39,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0048,True
2ade7ab0d3ba,spielberg_FP1,rpm,null_value,detection,0.0041,True
42169a517442,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0058,True
72ace2557487,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0038,True
47b38b8bcb0a,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0036,True
96c2cdc9000e,spielberg_FP1,brake_temp,null_value,detection,0.0027,True
0f394bcd8cfd,spielberg_FP1,throttle,sensor_dropout,detection,0.0025,True
c490b223d342,spielberg_FP1,throttle,string_in_numeric,detection,0.0022,True
77a48be46a3b,spielberg_FP1,ecu_canbus,null_value,detection,0.0027,True
ed2084dc7a25,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0053,True
bc4b478c2063,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0036,True
6d921e697f68,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0018,True
2e060ae5e514,spielberg_FP1,speed,string_in_numeric,detection,0.0016,True
138029ce18d3,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0056,True
3edd9de546a8,spielberg_FP1,throttle,bit_flip_low,detection,0.0053,True
de3750ccba10,spielberg_FP1,aero_load,sensor_dropout,detection,0.0025,True
be36db133187,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0043,True
554ce3f2e7de,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0025,True
a96e44a345c8,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0031,True
dbced9415837,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0056,True
54c322ae9969,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0033,True
ea378541bfee,spielberg_FP1,speed,bit_flip_low,detection,0.0065,True
695942f85448,spielberg_FP1,rpm,null_value,detection,0.0033,True
2ba446018f0a,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0032,True
7237e4ac2573,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0018,True
8907aa5de9f0,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0056,True
56d3a00b4b75,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.003,True
b1ce5fd95404,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0053,True
687496373781,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0049,True
d38397734c4e,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
