packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
71fe6c19f84e,spielberg_FP1,rpm,bit_flip_high,detection,0.0066,True
c55a9e8e8f3f,spielberg_FP1,speed,string_in_numeric,detection,0.0021,True
99d3203ff1d3,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0045,True
79cead12028d,spielberg_FP1,aero_load,string_in_numeric,detection,0.0018,True
3372fbe1d4d5,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0028,True
2d402830b418,spielberg_FP1,throttle_v2,schema_drift,detection,0.0038,True
203b959854d6,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0051,True
e25288ad9614,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0043,True
14a66aec8cf7,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0095,True
913f02317aa0,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0043,True
67991eed24dc,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0036,True
e5f0045ab87d,spielberg_FP1,aero_load,bit_flip_high,detection,0.0062,True
1c8bea0b0d74,spielberg_FP1,speed,bit_flip_high,detection,0.0058,True
b7b435df03ee,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0028,True
2c7e89361b3d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0033,True
cb6fb2475e12,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0035,True
6d7526488751,spielberg_FP1,speed,bit_flip_high,detection,0.0051,True
657ae81672b4,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.002,True
e10d364ab397,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0055,True
f3d990f2db22,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0115,False
159baf910a82,spielberg_FP1,rpm,bit_flip_high,detection,0.0064,True
32784f5e745c,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0042,True
da55ee2f63bb,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0043,False
6b9c26521102,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0034,True
c70f43d72c66,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0027,True
aa9d02f7ca74,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0041,True
eac6481cb7ec,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0055,True
5a20df9ca960,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0051,True
4525c9978618,spielberg_FP1,g_force_lateral,null_value,detection,0.0028,True
824de58e872d,spielberg_FP1,rpm,string_in_numeric,detection,0.0022,True
a5bf41c47eb0,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0054,True
8004f71843ee,spielberg_FP1,speed_alt,schema_drift,detection,0.0042,True
95ae21ccbdf3,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0051,True
5f7750ed02d6,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0041,True
fdb990e85bdf,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0035,True
5a47ac46cd36,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0033,True
ada6aaac0e6c,spielberg_FP1,speed,null_value,detection,0.003,True
68e25e73332e,spielberg_FP1,rpm,bit_flip_high,detection,0.0064,True
5bdb8e2e152e,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0038,True
680f39aba13e,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0031,True
85f696902daf,spielberg_FP1,heart_rate,string_in_numeric,detection,0.002,True
66fa1a1f12ab,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0062,True
ffd2a1eef853,spielberg_FP1,throttle,string_in_numeric,detection,0.0025,True
70aa89a1dab0,spielberg_FP1,aero_load,null_value,detection,0.0032,True
afddb8666d37,spielberg_FP1,rpm,bit_flip_low,detection,0.006,True
cfaf44951feb,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0029,True
4cb48f9f6f14,spielberg_FP1,throttle,bit_flip_high,detection,0.0054,True
2a54453a232f,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0051,True
0c787e9a7513,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0053,True
bb836509f198,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0049,True
171562f18b4d,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0031,True
297b857d388f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0029,True
14bb9ea97b16,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0055,True
571f4c2b9c35,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0035,True
105a7b16090a,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.005,True
ab82e20fdd21,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0031,False
61b878a36ee4,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0027,True
c46e899bdbc4,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0043,True
80ad239a6f3c,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0029,True
3e154239873d,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0034,True
a0a35b9a5eba,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0035,True
8c73d4ec9bd9,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0029,True
