packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
83dc39ccd717,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0026,True
51ab63a92468,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
b7e0cfffd748,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0044,True
145ab798c273,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0051,True
d0c83a709809,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0117,True
541622009158,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
bc1c3cacfe63,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0044,True
01332a36a3ae,spielberg_FP1,throttle,string_in_numeric,detection,0.0026,True
2c1f0a93a932,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0048,True
27dc62565da2,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0022,True
88834e60c1ae,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0026,True
0468fc4f5374,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.01,True
603dff12b23d,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0054,True
5b1e86839641,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0026,True
faf126f9637c,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0045,True
a8e64172eaee,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0048,True
baa39a184136,spielberg_FP1,throttle,string_in_numeric,detection,0.0025,True
c157668be8fd,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
be4e91d3cca8,spielberg_FP1,rpm,string_in_numeric,detection,0.0027,True
2bc3211e808c,spielberg_FP1,throttle_raw,schema_drift,detection,0.0052,True
f69c1140cfa4,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0047,True
98f3b98fdb01,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0026,True
d7c1125e723a,spielberg_FP1,speed,duplicate_timestamp,detection,0.0041,True
9bf58af1577c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0085,True
652d28d1d077,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0043,True
845213a061e2,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0045,True
4e02b04a5083,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0051,True
beec7a378046,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0045,True
71150f38ab43,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0054,True
